,team,conf,conf_rank,stars_5,stars_4,stars_3,num_star_players,avg_recruit_score,composite_score,year
425,Virginia,ACC,6,0,2,9,11,82.2,160.63,2004
426,N.C. State,ACC,7,1,1,7,9,83.26,155.87,2004
427,Pittsburgh,ACC,8,0,1,1,2,80.27,154.42,2004
428,Clemson,ACC,9,0,1,1,2,79.65,145.22,2004
429,Georgia Tech,ACC,10,1,0,7,8,78.52,141.96,2004
430,Syracuse,ACC,11,0,0,8,8,77.42,118.35,2004
431,Louisville,ACC,12,0,1,3,4,76.99,109.8,2004
432,Duke,ACC,13,0,0,4,4,76.39,107.79,2004
433,Wake Forest,ACC,14,0,0,3,3,76.58,75.52,2004
434,Oklahoma,Big-12,1,4,6,7,17,91.11,261.38,2004
435,Texas,Big-12,2,2,9,7,18,89.92,256.03,2004
436,Texas A&M,Big-12,3,0,8,1,9,85.07,241.23,2004
437,Kansas State,Big-12,4,0,3,1,4,82.91,208.77,2004
438,Missouri,Big-12,5,0,5,7,12,81.71,197.15,2004
439,Oklahoma State,Big-12,6,1,3,1,5,82.87,191.12,2004
440,West Virginia,Big-12,7,0,2,8,10,80.42,157.73,2004
441,Texas Tech,Big-12,8,0,3,7,10,81.29,157.29,2004
442,Iowa State,Big-12,9,0,0,1,1,79.23,143.53,2004
443,TCU,Big-12,10,0,1,6,7,78.99,131.89,2004
444,Kansas,Big-12,11,0,0,8,8,78.89,130.26,2004
445,Baylor,Big-12,12,0,0,4,4,75.56,80.82,2004
446,Michigan,Big-Ten,1,1,1,8,10,90.09,269.95,2004
447,Penn State,Big-Ten,2,2,2,1,5,84.83,221.53,2004
448,Michigan State,Big-Ten,3,1,3,1,5,84.1,206.6,2004
449,Maryland,Big-Ten,4,0,4,1,5,83.77,204.06,2004
450,Purdue,Big-Ten,5,1,3,1,5,82.78,202.84,2004
451,Nebraska,Big-Ten,6,0,2,1,3,83.31,188,2004
452,Wisconsin,Big-Ten,7,0,1,1,2,80.15,162.48,2004
453,Rutgers,Big-Ten,8,0,1,8,9,79.15,138.98,2004
454,Minnesota,Big-Ten,9,0,0,9,9,78.61,128.67,2004
455,Indiana,Big-Ten,10,0,0,9,9,77.56,125.43,2004
456,Ohio State,Big-Ten,11,1,4,0,5,95.71,124.55,2004
457,Illinois,Big-Ten,12,0,1,5,6,78.61,122.38,2004
458,Northwestern,Big-Ten,13,0,0,3,3,77.35,82.28,2004
459,Iowa,Big-Ten,14,1,0,0,1,81.91,35.7,2004
460,USC,Pac-12,1,6,8,3,17,93.16,291.67,2004
461,Oregon,Pac-12,2,1,7,1,9,84.93,234.92,2004
462,California,Pac-12,3,1,5,9,15,84.49,196.23,2004
463,Washington State,Pac-12,4,0,4,1,5,81.82,191.68,2004
464,Arizona State,Pac-12,5,1,0,1,2,83.33,191.49,2004
465,Washington,Pac-12,6,1,3,1,5,83.13,190.58,2004
466,Oregon State,Pac-12,7,0,2,2,4,82.66,188.9,2004
467,UCLA,Pac-12,8,0,1,1,2,81.87,177.82,2004
468,Arizona,Pac-12,9,0,1,1,2,80.12,154.87,2004
469,Colorado,Pac-12,10,0,1,1,2,80.86,143.15,2004
470,Stanford,Pac-12,11,0,2,3,5,81.73,115.28,2004
471,Utah,Pac-12,12,0,1,3,4,79.08,113.22,2004
472,LSU,SEC,1,3,1,1,5,90.3,287.64,2004
473,Florida,SEC,2,2,1,9,12,89.69,273.5,2004
474,Georgia,SEC,3,2,1,8,11,89.81,267.62,2004
475,Tennessee,SEC,4,1,8,9,18,87.29,235.04,2004
476,Arkansas,SEC,5,0,5,1,6,82.73,199.85,2004
477,Alabama,SEC,6,0,2,1,3,85.48,191.78,2004
478,South Carolina,SEC,7,0,3,1,4,80.59,182.49,2004
479,Auburn,SEC,8,0,3,1,4,81.3,182.43,2004
480,Ole Miss,SEC,9,0,2,1,3,81.66,177.18,2004
481,Mississippi State,SEC,10,0,1,4,5,78.16,123.23,2004
482,Vanderbilt,SEC,11,0,0,4,4,76.78,101.95,2004
483,Kentucky,SEC,NA,0,0,0,0,70,0,2004
484,USF,AAC,1,0,1,9,10,79.16,154.25,2004
485,Tulane,AAC,2,0,0,4,4,76.96,111.61,2004
486,Memphis,AAC,3,0,1,4,5,77.9,109.55,2004
487,Tulsa,AAC,4,0,0,5,5,77.49,105.54,2004
488,East Carolina,AAC,5,0,0,6,6,76.39,102.81,2004
489,SMU,AAC,6,0,0,3,3,77.72,98.61,2004
490,Houston,AAC,7,0,0,3,3,75.99,93.19,2004
491,Temple,AAC,8,0,0,3,3,76,90.32,2004
492,Connecticut,AAC,9,0,0,2,2,76.17,87.28,2004
493,UCF,AAC,10,0,0,1,1,75.67,73.92,2004
494,Cincinnati,AAC,11,0,0,1,1,75.9,72.99,2004
495,Southern Miss,C-USA,1,0,0,4,4,78.4,109.5,2004
496,Middle Tennessee State,C-USA,2,0,0,3,3,77.01,99.28,2004
497,Marshall,C-USA,3,0,0,2,2,76.98,91.43,2004
498,UAB,C-USA,4,0,0,3,3,77.11,88.92,2004
499,North Texas,C-USA,5,0,0,2,2,76.3,85.46,2004
500,Louisiana Tech,C-USA,6,0,0,0,0,76.34,78.11,2004
501,Rice,C-USA,7,0,0,1,1,77.04,69.01,2004
502,UTEP,C-USA,8,0,0,0,0,76.89,58.88,2004
503,Florida Atlantic,C-USA,9,0,0,1,1,77.78,15.54,2004
504,FIU,C-USA,10,0,0,0,0,72.22,4.44,2004
505,Toledo,MAC,1,0,0,2,2,77,94.07,2004
506,Western Michigan,MAC,2,0,0,3,3,77.26,85.24,2004
507,Northern Illinois,MAC,3,0,0,2,2,76.61,84.31,2004
508,Bowling Green,MAC,4,0,0,2,2,77.22,82.68,2004
509,Ohio,MAC,5,0,0,1,1,76.67,80.84,2004
510,Ball State,MAC,6,0,0,0,0,76.18,76.9,2004
511,Akron,MAC,7,0,0,0,0,76.01,75.91,2004
512,Eastern Michigan,MAC,8,0,0,0,0,76.11,72.7,2004
513,Central Michigan,MAC,9,0,0,0,0,76.01,72.4,2004
514,Miami (OH),MAC,10,0,0,0,0,74.98,72.08,2004
515,Buffalo,MAC,11,0,0,0,0,76.67,72.05,2004
516,Kent State,MAC,12,0,0,0,0,76.51,67.72,2004
517,San Diego State,M-West,1,0,1,8,9,79.23,145.04,2004
518,Colorado State,M-West,2,0,0,1,1,78.68,122.11,2004
519,Utah State,M-West,3,0,1,4,5,77.78,108.15,2004
520,Wyoming,M-West,4,0,0,2,2,77.33,94.9,2004
521,Boise State,M-West,5,0,0,4,4,76.02,94.26,2004
522,Hawaii,M-West,6,0,0,3,3,77.35,91.28,2004
523,UNLV,M-West,7,0,0,2,2,76.82,86.81,2004
524,New Mexico,M-West,8,0,0,1,1,76.28,83.14,2004
525,Nevada,M-West,9,0,0,1,1,77.06,81.94,2004
526,San Jose State,M-West,10,0,0,0,0,76.57,79.57,2004
527,Fresno State,M-West,11,0,0,1,1,76.67,72.67,2004
528,Air Force,M-West,12,0,0,0,0,75.56,21.9,2004
529,Montana,Big-Sky,NA,NA,NA,NA,NA,0,0,2004
530,Coastal Carolina,B-South,NA,0,0,0,0,70,0,2004
531,Richmond,CAA,NA,NA,NA,NA,NA,0,0,2004
532,Hampton,MEAC,NA,NA,NA,NA,NA,0,0,2004
533,Southern Illinois,MVC,1,0,0,0,0,76.67,13.29,2004
534,Northern Iowa,MVC,NA,NA,NA,NA,NA,0,0,2004
535,Tennessee State,OVC,NA,NA,NA,NA,NA,0,0,2004
536,Troy,SBC,1,0,0,2,2,77.18,91.49,2004
537,Arkansas State,SBC,2,0,0,2,2,76.98,88.33,2004
538,Idaho,SBC,3,0,0,0,0,76.63,79.45,2004
539,Louisiana,SBC,4,0,0,0,0,76.47,77.34,2004
540,New Mexico State,SBC,5,0,0,1,1,76.74,76.58,2004
541,Louisiana-Monroe,SBC,6,0,0,0,0,76.4,76.25,2004
542,Furman,Southern,NA,NA,NA,NA,NA,0,0,2004
543,Florida State,ACC,1,3,1,5,9,91.83,281.52,2005
544,Miami,ACC,2,3,8,4,15,91.57,246.36,2005
545,Clemson,ACC,3,1,5,1,7,85.13,217.21,2005
546,Virginia,ACC,4,1,4,1,6,84.67,211.72,2005
547,Virginia Tech,ACC,5,0,4,1,5,84.4,209.67,2005
548,N.C. State,ACC,6,1,2,1,4,83.14,187.69,2005
549,Louisville,ACC,7,0,3,1,4,80.94,176.69,2005
550,Pittsburgh,ACC,8,0,1,1,2,81.01,158.2,2005
551,North Carolina,ACC,9,0,1,1,2,79.31,153.2,2005
552,Boston College,ACC,10,0,2,1,3,82.22,146.65,2005
553,Duke,ACC,11,0,1,7,8,78.25,140.17,2005
554,Syracuse,ACC,12,0,1,6,7,79.65,122.04,2005
555,Wake Forest,ACC,13,0,0,8,8,78.77,119.7,2005
556,Georgia Tech,ACC,14,0,0,6,6,77.78,114.18,2005
557,Oklahoma,Big-12,1,1,1,8,10,90.6,279.2,2005
558,Texas A&M,Big-12,2,1,7,1,9,86.21,235.38,2005
559,Texas,Big-12,3,1,6,6,13,89.71,218.62,2005
560,Kansas State,Big-12,4,0,2,1,3,82.85,177.71,2005
561,West Virginia,Big-12,5,1,0,1,2,80.18,172.44,2005
562,Texas Tech,Big-12,6,0,1,1,2,82.17,172.32,2005
563,Kansas,Big-12,7,0,1,1,2,81.23,164.63,2005
564,Missouri,Big-12,8,0,0,2,2,82.61,164.44,2005
565,Oklahoma State,Big-12,9,0,1,1,2,81.27,157.39,2005
566,TCU,Big-12,10,0,1,1,2,80.79,152.76,2005
567,Iowa State,Big-12,11,0,1,1,2,80.63,151.53,2005
568,Baylor,Big-12,12,0,0,7,7,79.44,125.15,2005
569,Michigan,Big-Ten,1,2,8,1,11,88.94,266.54,2005
570,Iowa,Big-Ten,2,3,6,9,18,87.82,252.89,2005
571,Nebraska,Big-Ten,3,1,7,1,9,85.89,247.47,2005
572,Maryland,Big-Ten,4,1,3,1,5,84.1,206.08,2005
573,Penn State,Big-Ten,5,2,2,9,13,84.34,195.18,2005
574,Purdue,Big-Ten,6,0,3,1,4,83.46,188.81,2005
575,Wisconsin,Big-Ten,7,0,2,1,3,83.61,187.47,2005
576,Michigan State,Big-Ten,8,0,1,1,2,82.5,178.54,2005
577,Illinois,Big-Ten,9,0,2,8,10,81.11,156.4,2005
578,Minnesota,Big-Ten,10,0,1,1,2,80.29,142.28,2005
579,Northwestern,Big-Ten,11,0,0,1,1,80.33,141.34,2005
580,Rutgers,Big-Ten,12,1,0,4,5,77.83,125.44,2005
581,Ohio State,Big-Ten,13,2,1,2,5,88.78,109.84,2005
582,Indiana,Big-Ten,14,0,0,3,3,77.05,103.16,2005
583,USC,Pac-12,1,6,5,5,16,94.26,285.12,2005
584,California,Pac-12,2,1,8,1,10,87.3,241.37,2005
585,UCLA,Pac-12,3,0,3,1,4,85.5,209.07,2005
586,Arizona,Pac-12,4,0,6,1,7,85.5,204.44,2005
587,Stanford,Pac-12,5,1,5,6,12,84.89,200.1,2005
588,Oregon,Pac-12,6,1,2,1,4,82.62,184.71,2005
589,Arizona State,Pac-12,7,0,1,1,2,84.44,180.3,2005
590,Colorado,Pac-12,8,0,1,1,2,80.84,165.97,2005
591,Washington State,Pac-12,9,0,0,1,1,81.69,162.68,2005
592,Oregon State,Pac-12,10,1,1,8,10,80.52,159.77,2005
593,Utah,Pac-12,11,0,1,7,8,76.93,128.26,2005
594,Washington,Pac-12,12,0,2,3,5,80.26,114.56,2005
595,Tennessee,SEC,1,1,1,7,9,91.33,276.14,2005
596,Georgia,SEC,2,1,9,7,17,90.64,248.26,2005
597,Florida,SEC,3,0,7,1,8,88.9,220.98,2005
598,LSU,SEC,4,1,7,5,13,90.82,218.34,2005
599,Alabama,SEC,5,0,4,2,6,84.77,216.52,2005
600,South Carolina,SEC,6,0,5,1,6,82.91,210.9,2005
601,Auburn,SEC,7,1,5,1,7,84.95,209.75,2005
602,Arkansas,SEC,8,1,3,1,5,84.76,192.49,2005
603,Mississippi State,SEC,9,1,2,1,4,80.89,188.28,2005
604,Ole Miss,SEC,10,2,1,1,4,81.17,183.26,2005
605,Vanderbilt,SEC,11,0,0,2,2,75.07,88.91,2005
606,Kentucky,SEC,NA,0,0,0,0,70,0,2005
607,USF,AAC,1,0,1,6,7,78.36,130.19,2005
608,Tulsa,AAC,2,0,0,6,6,78.73,126.2,2005
609,SMU,AAC,3,0,0,6,6,77.82,122.19,2005
610,UCF,AAC,4,0,0,6,6,77.16,115.27,2005
611,Connecticut,AAC,5,0,0,6,6,76.49,114.29,2005
612,Houston,AAC,6,0,0,4,4,77.57,102.37,2005
613,Memphis,AAC,7,0,0,3,3,76.27,94.57,2005
614,Cincinnati,AAC,8,0,0,3,3,75.16,93.59,2005
615,Tulane,AAC,9,0,0,3,3,75.26,82.95,2005
616,Temple,AAC,10,0,0,1,1,72.14,53,2005
617,East Carolina,AAC,11,0,0,1,1,72.22,47.3,2005
618,Southern Miss,C-USA,1,0,0,8,8,77.68,117.82,2005
619,UTEP,C-USA,2,0,0,6,6,78.28,112.64,2005
620,UAB,C-USA,3,0,0,6,6,75.76,110.09,2005
621,Marshall,C-USA,4,0,0,6,6,75.24,106.85,2005
622,Middle Tennessee State,C-USA,5,0,0,5,5,74.68,92.75,2005
623,Louisiana Tech,C-USA,6,0,0,2,2,76.9,85.65,2005
624,Rice,C-USA,7,0,0,1,1,76.67,81.71,2005
625,North Texas,C-USA,8,0,0,1,1,73.61,72.06,2005
626,Florida Atlantic,C-USA,9,0,0,2,2,75.78,28.65,2005
627,FIU,C-USA,10,0,0,0,0,73.81,26.01,2005
628,Northern Illinois,MAC,1,0,0,5,5,76.3,103.92,2005
629,Western Michigan,MAC,2,0,0,2,2,77.65,95.69,2005
630,Akron,MAC,3,0,0,5,5,74.54,88.92,2005
631,Bowling Green,MAC,4,0,0,0,0,76.03,77.41,2005
632,Buffalo,MAC,5,0,0,0,0,76.8,75.75,2005
633,Miami (OH),MAC,6,0,0,1,1,76.84,70.84,2005
634,Ball State,MAC,7,0,0,0,0,75.49,70.61,2005
635,Toledo,MAC,8,0,0,1,1,73.99,70.41,2005
636,Ohio,MAC,9,0,0,0,0,73.62,68.71,2005
637,Kent State,MAC,10,0,0,2,2,73.24,65.23,2005
638,Central Michigan,MAC,11,0,0,2,2,72.93,64.54,2005
639,Eastern Michigan,MAC,12,0,0,1,1,71.6,28.36,2005
640,San Diego State,M-West,1,0,2,1,3,79.92,160.86,2005
641,Boise State,M-West,2,0,1,7,8,80.4,122.57,2005
642,Hawaii,M-West,3,0,1,5,6,77.67,112.61,2005
643,UNLV,M-West,4,0,0,6,6,75.32,104.85,2005
644,Fresno State,M-West,5,0,1,4,5,75.5,100.59,2005
645,Colorado State,M-West,6,0,0,4,4,76.79,94.42,2005
646,New Mexico,M-West,7,0,0,3,3,77.32,91.3,2005
647,Nevada,M-West,8,0,0,3,3,75.24,83.33,2005
648,Wyoming,M-West,9,0,0,3,3,73.58,58.87,2005
649,San Jose State,M-West,10,0,0,1,1,77.78,44.52,2005
650,Utah State,M-West,11,0,0,0,0,72.02,41.79,2005
651,Air Force,M-West,12,0,0,0,0,73.11,41.08,2005
652,Idaho State,Big-Sky,NA,NA,NA,NA,NA,0,0,2005
653,William & Mary,CAA,NA,0,0,0,0,70,0,2005
654,Harvard,Ivy,NA,NA,NA,NA,NA,0,0,2005
655,Norfolk State,MEAC,NA,NA,NA,NA,NA,0,0,2005
656,Western Illinois,MVC,NA,NA,NA,NA,NA,0,0,2005
657,Southern Illinois,MVC,NA,NA,NA,NA,NA,0,0,2005
658,North Dakota State,MVC,NA,0,0,0,0,70,0,2005
659,Louisiana,SBC,1,0,0,3,3,76.78,94.87,2005
660,Troy,SBC,2,0,0,2,2,74.37,86.53,2005
661,Idaho,SBC,3,0,0,3,3,73.82,72.1,2005
662,Arkansas State,SBC,4,0,0,3,3,73.03,61.04,2005
663,Louisiana-Monroe,SBC,5,0,0,0,0,72.08,55.67,2005
664,New Mexico State,SBC,6,0,0,0,0,70.91,19.8,2005
665,Texas State,SBC,NA,NA,NA,NA,NA,0,0,2005
666,Nicholls State,SLC,NA,NA,NA,NA,NA,0,0,2005
667,Florida State,ACC,1,3,1,1,5,90.16,286.53,2006
668,Miami,ACC,2,1,7,8,16,89.33,237.13,2006
669,Clemson,ACC,3,2,4,1,7,87.5,232.26,2006
670,Pittsburgh,ACC,4,0,5,1,6,85.62,229.68,2006
671,Louisville,ACC,5,0,3,1,4,84.28,201.32,2006
672,North Carolina,ACC,6,0,2,2,4,84.05,197.92,2006
673,Virginia Tech,ACC,7,0,3,1,4,84.31,185.47,2006
674,Boston College,ACC,8,0,2,1,3,83.39,179.61,2006
675,N.C. State,ACC,9,0,0,1,1,82.15,154.99,2006
676,Duke,ACC,10,0,1,1,2,79.26,152.48,2006
677,Syracuse,ACC,11,0,2,8,10,79.95,150.59,2006
678,Georgia Tech,ACC,12,0,0,1,1,81.74,138.67,2006
679,Wake Forest,ACC,13,0,1,8,9,80.75,122.34,2006
680,Virginia,ACC,14,0,2,6,8,76.28,111.11,2006
681,Texas,Big-12,1,2,1,8,11,91.6,281.78,2006
682,Oklahoma,Big-12,2,2,8,1,11,89.26,262.96,2006
683,Texas A&M,Big-12,3,1,2,1,4,86.13,215.25,2006
684,Oklahoma State,Big-12,4,0,5,2,7,85.3,213.74,2006
685,Texas Tech,Big-12,5,0,1,2,3,83.7,192.05,2006
686,Kansas,Big-12,6,0,0,2,2,82.91,169.98,2006
687,Kansas State,Big-12,7,0,2,1,3,80.59,168.16,2006
688,Iowa State,Big-12,8,0,0,2,2,81.22,164.57,2006
689,Missouri,Big-12,9,0,0,1,1,81.39,162.96,2006
690,Baylor,Big-12,10,0,0,1,1,80.45,154.18,2006
691,TCU,Big-12,11,0,0,1,1,80.99,143.23,2006
692,West Virginia,Big-12,12,0,0,1,1,81.92,142.51,2006
693,Penn State,Big-Ten,1,1,1,6,8,88.64,270.41,2006
694,Michigan,Big-Ten,2,1,8,8,17,89.74,256.69,2006
695,Nebraska,Big-Ten,3,0,5,1,6,85.92,207.2,2006
696,Maryland,Big-Ten,4,0,6,9,15,83.25,202.78,2006
697,Ohio State,Big-Ten,5,1,8,0,9,83.99,198.91,2006
698,Illinois,Big-Ten,6,0,4,1,5,82.1,193.1,2006
699,Wisconsin,Big-Ten,7,0,3,1,4,84,177.1,2006
700,Iowa,Big-Ten,8,0,2,1,3,82.41,174.47,2006
701,Rutgers,Big-Ten,9,0,2,1,3,80.84,170.43,2006
702,Michigan State,Big-Ten,10,0,2,1,3,82.74,162.06,2006
703,Purdue,Big-Ten,11,0,0,1,1,80.28,151.9,2006
704,Minnesota,Big-Ten,12,0,0,1,1,80.37,142.77,2006
705,Indiana,Big-Ten,13,0,0,9,9,78.25,122.15,2006
706,Northwestern,Big-Ten,14,0,0,7,7,80.15,115.18,2006
707,USC,Pac-12,1,6,1,1,8,92.73,316.97,2006
708,Arizona,Pac-12,2,0,4,1,5,86.92,213.58,2006
709,California,Pac-12,3,0,6,1,7,86.42,212.65,2006
710,Arizona State,Pac-12,4,0,2,1,3,84.31,188.18,2006
711,Washington,Pac-12,5,0,3,1,4,82.83,183.52,2006
712,Oregon State,Pac-12,6,0,0,2,2,82.47,180.86,2006
713,Washington State,Pac-12,7,0,0,1,1,82,161.64,2006
714,Colorado,Pac-12,8,0,0,1,1,80.45,155.35,2006
715,Oregon,Pac-12,9,0,1,1,2,80.63,152.98,2006
716,Utah,Pac-12,10,0,0,1,1,79.37,147.87,2006
717,UCLA,Pac-12,11,0,1,9,10,82.7,145.04,2006
718,Stanford,Pac-12,12,0,0,1,1,80.86,137.17,2006
719,Florida,SEC,1,3,1,3,7,90.58,294.83,2006
720,Georgia,SEC,2,2,1,1,4,91.22,292.15,2006
721,LSU,SEC,3,1,1,8,10,89.75,269.92,2006
722,Auburn,SEC,4,0,8,1,9,86.59,245.54,2006
723,Alabama,SEC,5,1,4,2,7,87.49,233.66,2006
724,Ole Miss,SEC,6,0,6,2,8,85.55,231.94,2006
725,Arkansas,SEC,7,1,2,1,4,83.77,204.67,2006
726,Tennessee,SEC,8,0,1,1,2,86.35,191.71,2006
727,South Carolina,SEC,9,0,3,1,4,81.13,182.76,2006
728,Mississippi State,SEC,10,0,3,1,4,81.02,168.98,2006
729,Vanderbilt,SEC,11,0,1,1,2,80.1,150.75,2006
730,Kentucky,SEC,12,1,1,8,10,75.7,139.71,2006
731,USF,AAC,1,0,1,1,2,78.5,152.47,2006
732,East Carolina,AAC,2,0,0,7,7,76.11,115.08,2006
733,UCF,AAC,3,0,0,6,6,77.29,112.86,2006
734,Houston,AAC,4,0,0,5,5,75.86,101.62,2006
735,Tulane,AAC,5,0,0,5,5,76.45,100.71,2006
736,Connecticut,AAC,6,0,0,3,3,75.87,91.46,2006
737,Tulsa,AAC,7,0,0,3,3,76.01,88.58,2006
738,Memphis,AAC,8,0,0,4,4,77.08,84.38,2006
739,Temple,AAC,9,0,0,3,3,74.28,77.53,2006
740,SMU,AAC,10,0,0,3,3,74.59,64.64,2006
741,Cincinnati,AAC,11,0,0,2,2,74.77,63.4,2006
742,UAB,C-USA,1,0,0,2,2,81.89,155.39,2006
743,Southern Miss,C-USA,2,0,0,1,1,77.86,136.68,2006
744,UTEP,C-USA,3,0,0,9,9,77.33,120.39,2006
745,Marshall,C-USA,4,0,0,6,6,75.27,108.78,2006
746,Louisiana Tech,C-USA,5,0,0,6,6,75.71,104.59,2006
747,FIU,C-USA,6,0,0,2,2,76.94,90.73,2006
748,Rice,C-USA,7,0,0,2,2,77.47,89.39,2006
749,North Texas,C-USA,8,0,0,4,4,74.01,63.55,2006
750,Middle Tennessee State,C-USA,9,0,0,3,3,74.47,55.56,2006
751,Florida Atlantic,C-USA,10,0,0,3,3,71.65,32.72,2006
752,Northern Illinois,MAC,1,0,0,9,9,78.27,111.98,2006
753,Toledo,MAC,2,0,0,4,4,77.17,109.58,2006
754,Akron,MAC,3,0,0,6,6,75.75,102.97,2006
755,Buffalo,MAC,4,0,1,2,3,78.24,96.91,2006
756,Ball State,MAC,5,0,0,3,3,76.77,96.34,2006
757,Miami (OH),MAC,6,0,0,4,4,77.48,94.07,2006
758,Bowling Green,MAC,7,0,0,6,6,76.48,93.28,2006
759,Western Michigan,MAC,8,0,0,4,4,77.15,93.25,2006
760,Ohio,MAC,9,0,0,4,4,75.11,81.66,2006
761,Central Michigan,MAC,10,0,0,3,3,72.7,62.5,2006
762,Eastern Michigan,MAC,11,0,0,2,2,72.42,49.67,2006
763,Kent State,MAC,12,0,0,1,1,73.24,48.84,2006
764,New Mexico,M-West,1,0,0,9,9,77.13,121.96,2006
765,San Diego State,M-West,2,0,0,9,9,79.05,119.38,2006
766,Colorado State,M-West,3,0,0,7,7,76.82,112.11,2006
767,Fresno State,M-West,4,0,0,8,8,76.51,111.54,2006
768,Boise State,M-West,5,0,0,7,7,77.4,106.05,2006
769,San Jose State,M-West,6,0,0,4,4,76.63,93.62,2006
770,Wyoming,M-West,7,0,0,3,3,75.78,89.64,2006
771,UNLV,M-West,8,0,1,3,4,74.35,88.98,2006
772,Nevada,M-West,9,0,0,5,5,73.95,86.13,2006
773,Hawaii,M-West,10,0,0,1,1,72.94,46.53,2006
774,Air Force,M-West,11,0,0,1,1,73.93,45.95,2006
775,Utah State,M-West,12,0,0,2,2,72.01,40.78,2006
776,Montana State,Big-Sky,NA,NA,NA,NA,NA,0,0,2006
777,William & Mary,CAA,NA,NA,NA,NA,NA,0,0,2006
778,James Madison,CAA,NA,NA,NA,NA,NA,0,0,2006
779,Cornell,Ivy,NA,NA,NA,NA,NA,0,0,2006
780,Brown,Ivy,NA,NA,NA,NA,NA,0,0,2006
781,South Carolina State,MEAC,NA,NA,NA,NA,NA,0,0,2006
782,Hampton,MEAC,NA,NA,NA,NA,NA,0,0,2006
783,Southern Illinois,MVC,1,0,0,1,1,76.22,30.46,2006
784,Northern Iowa,MVC,NA,NA,NA,NA,NA,0,0,2006
785,Missouri State,MVC,NA,NA,NA,NA,NA,0,0,2006
786,Monmouth,NEC,NA,0,0,0,0,70,0,2006
787,Murray State,OVC,NA,0,0,0,0,70,0,2006
788,Tennessee State,OVC,NA,NA,NA,NA,NA,0,0,2006
789,Holy Cross,Patriot,NA,NA,NA,NA,NA,0,0,2006
790,Idaho,SBC,1,0,0,3,3,76.2,92.85,2006
791,Troy,SBC,2,0,0,5,5,74.7,91.69,2006
792,Louisiana,SBC,3,0,0,1,1,76.27,76.72,2006
793,Louisiana-Monroe,SBC,4,0,0,2,2,74,69.77,2006
794,Arkansas State,SBC,5,0,0,2,2,73.38,64.59,2006
795,New Mexico State,SBC,6,0,0,1,1,75.63,63.94,2006
796,Appalachian State,SBC,NA,NA,NA,NA,NA,0,0,2006
797,The Citadel,Southern,NA,NA,NA,NA,NA,0,0,2006
798,Alabama State,SW-AC,1,0,0,0,0,76.67,6.67,2006
799,North Carolina,ACC,1,2,6,1,9,86.09,244.08,2007
800,Miami,ACC,2,0,1,6,7,88.9,236.11,2007
801,Georgia Tech,ACC,3,0,6,1,7,87.31,225.49,2007
802,Clemson,ACC,4,0,5,1,6,86.56,221.47,2007
803,Florida State,ACC,5,0,7,9,16,88.4,216.82,2007
804,Pittsburgh,ACC,6,0,5,1,6,85.15,216.08,2007
805,Virginia Tech,ACC,7,1,1,1,3,84.72,208.21,2007
806,Virginia,ACC,8,0,4,1,5,85.43,207.49,2007
807,Boston College,ACC,9,0,1,1,2,83.92,168.51,2007
808,Syracuse,ACC,10,0,0,1,1,81.3,168.09,2007
809,N.C. State,ACC,11,0,1,1,2,81.85,166.16,2007
810,Louisville,ACC,12,0,2,1,3,85.02,165.31,2007
811,Wake Forest,ACC,13,0,0,1,1,79.55,133.78,2007
812,Duke,ACC,14,0,0,9,9,77.97,126.41,2007
813,Texas,Big-12,1,2,1,8,11,91.74,293.1,2007
814,Oklahoma,Big-12,2,0,6,1,7,86.53,220.6,2007
815,West Virginia,Big-12,3,1,2,2,5,84.15,210.32,2007
816,Oklahoma State,Big-12,4,0,4,1,5,85.61,208.78,2007
817,Missouri,Big-12,5,0,2,2,4,84.57,199.83,2007
818,Kansas State,Big-12,6,0,2,2,4,82.51,189.4,2007
819,Texas A&M,Big-12,7,0,3,9,12,86.16,171.74,2007
820,Texas Tech,Big-12,8,0,0,1,1,82.25,170.43,2007
821,Kansas,Big-12,9,0,0,1,1,82.37,163.81,2007
822,Iowa State,Big-12,10,0,1,1,2,80.68,155.95,2007
823,TCU,Big-12,11,0,1,1,2,80.62,155.69,2007
824,Baylor,Big-12,12,0,0,1,1,82.26,128.62,2007
825,Michigan,Big-Ten,1,1,6,1,8,88.77,242.81,2007
826,Nebraska,Big-Ten,2,0,6,1,7,86.53,218.45,2007
827,Illinois,Big-Ten,3,2,2,1,5,84.96,212.85,2007
828,Iowa,Big-Ten,4,0,3,1,4,84.17,199.85,2007
829,Rutgers,Big-Ten,5,0,2,1,3,84.81,199.38,2007
830,Wisconsin,Big-Ten,6,1,2,1,4,85.61,197.94,2007
831,Maryland,Big-Ten,7,0,3,1,4,82.99,196.41,2007
832,Penn State,Big-Ten,8,0,4,9,13,86.26,183.65,2007
833,Northwestern,Big-Ten,9,0,0,1,1,83.27,165.66,2007
834,Minnesota,Big-Ten,10,0,1,1,2,81.92,165.41,2007
835,Michigan State,Big-Ten,11,0,2,1,3,81.33,160.17,2007
836,Purdue,Big-Ten,12,0,1,1,2,82.03,151.99,2007
837,Ohio State,Big-Ten,13,1,4,1,6,79.66,128.98,2007
838,Indiana,Big-Ten,14,0,0,1,1,80.45,123.89,2007
839,USC,Pac-12,1,6,7,4,17,93.37,295.06,2007
840,Oregon,Pac-12,2,0,7,1,8,86.09,228.77,2007
