,team,conf,conf_rank,stars_5,stars_4,stars_3,num_star_players,avg_recruit_score,composite_score,year
91,Miami,ACC,2,1,3,0,4,92.54,110.37,2001
92,Virginia Tech,ACC,3,1,2,0,3,73.48,82.72,2001
93,Clemson,ACC,4,2,0,0,2,99.09,58,2001
94,Syracuse,ACC,5,1,0,0,1,71.54,29.2,2001
95,Virginia,ACC,6,1,0,0,1,79.57,28.71,2001
96,North Carolina,ACC,7,0,1,0,1,97.39,27.39,2001
97,Pittsburgh,ACC,8,0,1,0,1,71.08,27.03,2001
98,N.C. State,ACC,9,0,1,0,1,96.51,26.51,2001
99,Boston College,ACC,10,0,1,0,1,96.14,26.14,2001
100,Louisville,ACC,11,0,0,0,0,70,0,2001
101,Georgia Tech,ACC,11,0,0,0,0,70,0,2001
102,Oklahoma,Big-12,1,1,5,0,6,75.48,155.82,2001
103,Texas,Big-12,2,1,3,0,4,75.31,109.14,2001
104,Kansas State,Big-12,3,0,3,0,3,72.89,80.08,2001
105,Texas A&M,Big-12,4,1,0,0,1,71.36,28.63,2001
106,Missouri,Big-12,5,0,1,0,1,71.2,27.69,2001
107,Oklahoma State,Big-12,6,0,0,0,0,70,0,2001
108,TCU,Big-12,6,0,0,0,0,70,0,2001
109,Iowa State,Big-12,6,0,0,0,0,70,0,2001
110,Kansas,Big-12,6,0,0,0,0,70,0,2001
111,Texas Tech,Big-12,6,0,0,0,0,70,0,2001
112,West Virginia,Big-12,6,0,0,0,0,70,0,2001
113,Michigan,Big-Ten,1,3,5,0,8,80.26,204.24,2001
114,Ohio State,Big-Ten,2,0,6,0,6,79.65,155.45,2001
115,Penn State,Big-Ten,3,0,3,0,3,73.54,80.65,2001
116,Iowa,Big-Ten,4,2,0,0,2,72.6,56.95,2001
117,Wisconsin,Big-Ten,5,1,1,0,2,72.17,56.14,2001
118,Northwestern,Big-Ten,6,0,2,0,2,72.41,52.85,2001
119,Nebraska,Big-Ten,7,0,1,0,1,71.42,26.91,2001
120,Illinois,Big-Ten,8,0,1,0,1,71.17,26.83,2001
121,Purdue,Big-Ten,9,0,1,0,1,71.28,26.81,2001
122,Michigan State,Big-Ten,10,0,1,0,1,71.26,26.51,2001
123,Maryland,Big-Ten,11,0,0,0,0,70,0,2001
124,Rutgers,Big-Ten,11,0,0,0,0,70,0,2001
125,Minnesota,Big-Ten,11,0,0,0,0,70,0,2001
126,Indiana,Big-Ten,11,0,0,0,0,70,0,2001
127,UCLA,Pac-12,1,1,3,0,4,75.46,106.91,2001
128,Stanford,Pac-12,2,2,1,0,3,75.03,84.71,2001
129,Washington,Pac-12,3,1,2,0,3,73.4,84.23,2001
130,USC,Pac-12,4,1,1,0,2,73.2,57.46,2001
131,Oregon State,Pac-12,5,0,2,0,2,72.32,55.53,2001
132,Arizona,Pac-12,6,0,2,0,2,96.41,52.65,2001
133,California,Pac-12,7,1,0,0,1,98.61,28.61,2001
134,Oregon,Pac-12,8,0,1,0,1,71.38,27.69,2001
135,Colorado,Pac-12,9,0,1,0,1,97.51,27.51,2001
136,Arizona State,Pac-12,10,0,1,0,1,96.63,26.63,2001
137,Utah,Pac-12,11,0,0,0,0,70,0,2001
138,Washington State,Pac-12,11,0,0,0,0,70,0,2001
139,LSU,SEC,1,5,3,0,8,78.77,206.53,2001
140,Tennessee,SEC,2,4,3,0,7,79.45,184.16,2001
141,Auburn,SEC,3,2,3,0,5,74.52,126.96,2001
142,Arkansas,SEC,4,1,3,0,4,74.89,110.15,2001
143,Georgia,SEC,5,1,3,0,4,74.16,109.9,2001
144,Ole Miss,SEC,6,1,1,0,2,72.66,55.6,2001
145,South Carolina,SEC,7,0,2,0,2,73.19,54.01,2001
146,Alabama,SEC,8,1,0,0,1,71.49,29.86,2001
147,Mississippi State,SEC,9,0,1,0,1,71.15,26.35,2001
148,Florida,SEC,10,0,1,0,1,71.54,26.18,2001
149,Vanderbilt,SEC,11,0,1,0,1,71,26.02,2001
150,Kentucky,SEC,12,0,0,0,0,70,0,2001
151,Memphis,AAC,1,0,1,0,1,71.45,27.59,2001
152,Connecticut,AAC,2,0,0,0,0,70,0,2001
153,Cincinnati,AAC,2,0,0,0,0,70,0,2001
154,SMU,AAC,2,0,0,0,0,70,0,2001
155,Tulsa,AAC,2,0,0,0,0,70,0,2001
156,East Carolina,AAC,2,0,0,0,0,70,0,2001
157,Tulane,AAC,2,0,0,0,0,70,0,2001
158,Houston,AAC,2,0,0,0,0,70,0,2001
159,Temple,AAC,2,0,0,0,0,70,0,2001
160,Middle Tennessee State,C-USA,1,0,1,0,1,93.82,23.82,2001
161,UAB,C-USA,2,0,0,0,0,70,0,2001
162,Louisiana Tech,C-USA,2,0,0,0,0,70,0,2001
163,Rice,C-USA,2,0,0,0,0,70,0,2001
164,Southern Miss,C-USA,2,0,0,0,0,70,0,2001
165,UTEP,C-USA,2,0,0,0,0,70,0,2001
166,Akron,MAC,1,0,0,0,0,70,0,2001
167,Western Michigan,MAC,1,0,0,0,0,70,0,2001
168,Toledo,MAC,1,0,0,0,0,70,0,2001
169,Colorado State,M-West,1,0,1,0,1,71.25,26.31,2001
170,Fresno State,M-West,2,0,0,0,0,70,0,2001
171,San Jose State,M-West,2,0,0,0,0,70,0,2001
172,San Diego State,M-West,2,0,0,0,0,70,0,2001
173,Hawaii,M-West,2,0,0,0,0,70,0,2001
174,UNLV,M-West,2,0,0,0,0,70,0,2001
175,Nevada,M-West,2,0,0,0,0,70,0,2001
176,New Mexico,M-West,2,0,0,0,0,70,0,2001
177,Wyoming,M-West,2,0,0,0,0,70,0,2001
178,Northern Colorado,Big-Sky,1,0,0,0,0,70,0,2001
179,Villanova,CAA,1,0,0,0,0,70,0,2001
180,Harvard,Ivy,1,0,0,0,0,70,0,2001
181,Southeast Missouri State,OVC,1,0,0,0,0,70,0,2001
182,Troy,SBC,1,0,0,0,0,70,0,2001
183,Abilene Christian,SLC,1,0,0,0,0,70,NA,2001
184,Florida State,ACC,1,6,1,3,10,91.1,303.14,2002
185,Miami,ACC,2,2,1,7,10,89.84,274.87,2002
186,Virginia,ACC,3,2,4,1,7,86.27,235.48,2002
187,Pittsburgh,ACC,4,0,4,1,5,82.76,181.22,2002
188,Clemson,ACC,5,0,3,1,4,82.7,179.37,2002
189,Boston College,ACC,6,0,4,1,5,81.83,160.57,2002
190,Virginia Tech,ACC,7,1,1,9,11,81.62,154.53,2002
191,N.C. State,ACC,8,0,3,3,6,82.14,149.75,2002
192,North Carolina,ACC,9,0,0,1,1,80.43,143.32,2002
193,Georgia Tech,ACC,10,0,2,9,11,80.83,136.09,2002
194,Louisville,ACC,11,0,2,5,7,80,135.36,2002
195,Duke,ACC,12,0,1,4,5,78.03,106.65,2002
196,Wake Forest,ACC,13,0,0,0,0,76.67,19.8,2002
197,Texas,Big-12,1,4,1,8,13,91.04,305.24,2002
198,Oklahoma,Big-12,2,1,1,7,9,91.01,273.53,2002
199,Texas A&M,Big-12,3,1,6,1,8,85.78,218.74,2002
200,Kansas State,Big-12,4,0,6,1,7,84.22,216.77,2002
201,Missouri,Big-12,5,0,5,1,6,83.49,190.06,2002
202,Oklahoma State,Big-12,6,0,2,1,3,81.89,176.17,2002
203,Texas Tech,Big-12,7,0,2,1,3,82.73,173.15,2002
204,Baylor,Big-12,8,0,1,1,2,81.87,168.66,2002
205,Iowa State,Big-12,9,0,3,9,12,81.75,166.21,2002
206,West Virginia,Big-12,10,0,1,1,2,79.4,141.52,2002
207,Kansas,Big-12,11,0,1,8,9,80.18,134.82,2002
208,TCU,Big-12,12,0,0,7,7,79.38,113.44,2002
209,Ohio State,Big-Ten,1,4,1,9,14,89.7,277.57,2002
210,Michigan,Big-Ten,2,1,7,1,9,87.21,230.11,2002
211,Penn State,Big-Ten,3,0,6,1,7,84.54,207.39,2002
212,Michigan State,Big-Ten,4,0,3,1,4,83.58,182.39,2002
213,Maryland,Big-Ten,5,0,2,1,3,83.65,176.61,2002
