"year","month","day","team","opponent","location","teamscore","oppscore","OT"
2018,2,17,"Albany (NY)","Yale","V",10,12,NA
2018,2,22,"Albany (NY)","Syracuse","V",12,19,NA
2018,2,24,"Albany (NY)","Bryant","V",6,16,NA
2018,2,28,"Albany (NY)","Dartmouth","H",8,12,NA
2018,3,7,"Albany (NY)","UConn","H",11,15,NA
2018,3,11,"Albany (NY)","Penn St.","H",7,17,NA
2018,3,15,"Albany (NY)","UC Davis","N",11,13,NA
2018,3,17,"Albany (NY)","Fresno St.","V",12,9,NA
2018,3,24,"Albany (NY)","Hartford","H",23,5,NA
2018,3,31,"Albany (NY)","Binghamton","H",NA,NA,NA
2018,4,4,"Albany (NY)","Vermont","V",NA,NA,NA
2018,4,7,"Albany (NY)","UMBC","V",NA,NA,NA
2018,4,14,"Albany (NY)","UMass Lowell","H",NA,NA,NA
2018,4,21,"Albany (NY)","New Hampshire","V",NA,NA,NA
2018,4,28,"Albany (NY)","Stony Brook","H",NA,NA,NA
2018,2,17,"American","Richmond","H",6,13,NA
2018,2,23,"American","Central Mich.","H",10,12,NA
2018,2,25,"American","Detroit Mercy","H",8,16,NA
2018,2,28,"American","Howard","H",19,8,NA
2018,3,3,"American","UMBC","V",12,14,NA
2018,3,6,"American","Old Dominion","H",17,12,NA
2018,3,9,"American","Gardner-Webb","H",12,10,NA
2018,3,14,"American","George Washington","H",11,14,NA
2018,3,18,"American","Bucknell","H",9,15,NA
2018,3,24,"American","Army West Point","V",8,17,NA
2018,3,28,"American","Loyola Maryland","V",NA,NA,NA
2018,3,31,"American","Lafayette","H",NA,NA,NA
2018,4,7,"American","Boston U.","H",NA,NA,NA
2018,4,14,"American","Colgate","V",NA,NA,NA
2018,4,18,"American","Navy","H",NA,NA,NA
2018,4,21,"American","Holy Cross","V",NA,NA,NA
2018,4,28,"American","Lehigh","H",NA,NA,NA
2018,2,9,"Arizona St.","Kennesaw St.","V",14,6,NA
2018,2,11,"Arizona St.","Stetson","V",15,13,NA
2018,2,17,"Arizona St.","San Diego St.","V",13,14,NA
2018,2,24,"Arizona St.","Manhattan","V",18,8,NA
2018,2,26,"Arizona St.","Columbia","V",15,12,NA
2018,3,3,"Arizona St.","Presbyterian","H",23,5,NA
2018,3,10,"Arizona St.","Southern California","V",3,14,NA
2018,3,16,"Arizona St.","Oregon","H",6,14,NA
2018,3,18,"Arizona St.","Colorado","H",2,18,NA
2018,3,20,"Arizona St.","Liberty","H",5,15,NA
2018,3,23,"Arizona St.","Stanford","V",7,17,NA
2018,3,25,"Arizona St.","California","V",12,11,1
2018,3,30,"Arizona St.","Stanford","H",NA,NA,NA
2018,4,1,"Arizona St.","California","H",NA,NA,NA
2018,4,6,"Arizona St.","Oregon","V",NA,NA,NA
2018,4,8,"Arizona St.","Colorado","V",NA,NA,NA
2018,4,21,"Arizona St.","Southern California","H",NA,NA,NA
2018,2,10,"Army West Point","Monmouth","V",12,9,NA
2018,2,17,"Army West Point","Marist","H",11,14,NA
2018,2,21,"Army West Point","Central Conn. St.","H",21,4,NA
2018,2,24,"Army West Point","Mt. St. Mary's","V",10,14,NA
2018,2,28,"Army West Point","Iona","V",9,6,NA
2018,3,3,"Army West Point","Siena","H",17,16,1
2018,3,8,"Army West Point","Wofford","H",19,4,NA
2018,3,11,"Army West Point","VCU","V",13,11,NA
2018,3,17,"Army West Point","Loyola Maryland","V",3,15,NA
2018,3,24,"Army West Point","American","H",17,8,NA
2018,3,28,"Army West Point","Holy Cross","V",NA,NA,NA
2018,3,31,"Army West Point","Lehigh","H",NA,NA,NA
2018,4,7,"Army West Point","Lafayette","V",NA,NA,NA
2018,4,14,"Army West Point","Navy","H",NA,NA,NA
2018,4,18,"Army West Point","Colgate","H",NA,NA,NA
2018,4,21,"Army West Point","Boston U.","H",NA,NA,NA
2018,4,27,"Army West Point","Bucknell","V",NA,NA,NA
2018,2,11,"Binghamton","Fresno St.","N",14,8,NA
2018,2,17,"Binghamton","Niagara","V",7,8,NA
2018,2,22,"Binghamton","Lafayette","V",20,13,NA
2018,2,28,"Binghamton","Colgate","H",13,9,NA
2018,3,2,"Binghamton","Boston College","V",2,14,NA
2018,3,5,"Binghamton","Canisius","H",12,13,NA
2018,3,9,"Binghamton","Ohio St.","H",13,14,NA
2018,3,17,"Binghamton","Marist","V",8,18,NA
2018,3,24,"Binghamton","Vermont","V",15,8,NA
2018,3,31,"Binghamton","Albany (NY)","V",NA,NA,NA
2018,4,4,"Binghamton","UMBC","H",NA,NA,NA
2018,4,7,"Binghamton","Stony Brook","H",NA,NA,NA
2018,4,14,"Binghamton","Hartford","V",NA,NA,NA
2018,4,17,"Binghamton","Cornell","H",NA,NA,NA
2018,4,21,"Binghamton","UMass Lowell","V",NA,NA,NA
2018,4,28,"Binghamton","New Hampshire","H",NA,NA,NA
2018,2,10,"Boston College","Notre Dame","V",13,11,NA
2018,2,13,"Boston College","Holy Cross","H",20,2,NA
2018,2,17,"Boston College","Boston U.","V",18,6,NA
2018,2,21,"Boston College","Massachusetts","H",16,9,NA
2018,2,24,"Boston College","Brown","H",22,12,NA
2018,2,27,"Boston College","Navy","H",20,14,NA
2018,3,2,"Boston College","Binghamton","H",14,2,NA
2018,3,7,"Boston College","Southern California","V",13,12,1
2018,3,10,"Boston College","San Diego St.","V",19,8,NA
2018,3,17,"Boston College","Louisville","V",19,10,NA
2018,3,20,"Boston College","Yale","V",13,9,NA
2018,3,24,"Boston College","North Carolina","H",17,11,NA
2018,3,31,"Boston College","Virginia","V",NA,NA,NA
2018,4,7,"Boston College","Duke","V",NA,NA,NA
2018,4,11,"Boston College","Dartmouth","H",NA,NA,NA
2018,4,14,"Boston College","Virginia Tech","H",NA,NA,NA
2018,4,19,"Boston College","Syracuse","H",NA,NA,NA
2018,2,17,"Boston U.","Boston College","H",6,18,NA
2018,2,21,"Boston U.","UMass Lowell","V",14,10,NA
2018,3,4,"Boston U.","Duke","V",13,21,NA
2018,3,7,"Boston U.","Johns Hopkins","V",11,18,NA
2018,3,14,"Boston U.","Fairfield","V",11,10,2
2018,3,17,"Boston U.","Lehigh","H",8,15,NA
2018,3,23,"Boston U.","Lafayette","V",16,8,NA
2018,3,28,"Boston U.","Colgate","V",NA,NA,NA
2018,3,31,"Boston U.","Loyola Maryland","H",NA,NA,NA
2018,4,4,"Boston U.","Harvard","H",NA,NA,NA
2018,4,7,"Boston U.","American","V",NA,NA,NA
2018,4,11,"Boston U.","New Hampshire","H",NA,NA,NA
2018,4,14,"Boston U.","Bucknell","H",NA,NA,NA
2018,4,18,"Boston U.","Holy Cross","H",NA,NA,NA
2018,4,21,"Boston U.","Army West Point","V",NA,NA,NA
2018,4,28,"Boston U.","Navy","V",NA,NA,NA
