"year","month","day","team","opponent","location","teamscore","oppscore","OT"
2014,2,21,"Albany (NY)","Bryant","V",20,13,NA
2014,2,26,"Albany (NY)","Manhattan","V",16,5,NA
2014,3,1,"Albany (NY)","Quinnipiac","H",16,2,NA
2014,3,8,"Albany (NY)","Dartmouth","V",13,7,NA
2014,3,16,"Albany (NY)","Cornell","H",17,10,NA
2014,3,18,"Albany (NY)","William & Mary","V",14,3,NA
2014,3,22,"Albany (NY)","Hofstra","H",10,5,NA
2014,3,24,"Albany (NY)","Niagara","V",19,9,NA
2014,3,29,"Albany (NY)","Binghamton","H",22,2,NA
2014,4,1,"Albany (NY)","Syracuse","V",11,13,NA
2014,4,5,"Albany (NY)","Vermont","V",15,7,NA
2014,4,12,"Albany (NY)","Stony Brook","H",4,8,NA
2014,4,16,"Albany (NY)","Columbia","H",18,4,NA
2014,4,19,"Albany (NY)","UMBC","V",12,8,NA
2014,4,26,"Albany (NY)","New Hampshire","V",19,5,NA
2014,5,2,"Albany (NY)","Vermont","N",12,8,NA
2014,5,4,"Albany (NY)","Stony Brook","V",1,7,NA
2014,2,8,"American","High Point","V",6,11,NA
2014,2,16,"American","Campbell","H",11,9,NA
2014,2,22,"American","UMBC","V",10,11,3
2014,2,27,"American","Richmond","H",4,13,NA
2014,3,1,"American","Johns Hopkins","V",5,17,NA
2014,3,5,"American","Mt. St. Mary's","V",11,9,NA
2014,3,8,"American","Boston U.","H",11,12,NA
2014,3,15,"American","Holy Cross","V",7,9,NA
2014,3,19,"American","Navy","H",1,13,NA
2014,3,22,"American","Old Dominion","H",13,11,NA
2014,3,26,"American","George Mason","H",15,3,NA
2014,3,29,"American","Bucknell","V",10,11,NA
2014,4,1,"American","Virginia","V",4,18,NA
2014,4,5,"American","Lafayette","H",13,15,1
2014,4,9,"American","Loyola Maryland","V",5,18,NA
2014,4,13,"American","Lehigh","V",6,10,NA
2014,4,19,"American","Colgate","H",10,9,NA
2014,2,22,"Binghamton","Howard","H",20,6,NA
2014,2,25,"Binghamton","Lehigh","V",10,9,NA
2014,3,1,"Binghamton","Lafayette","V",6,12,NA
2014,3,6,"Binghamton","Niagara","H",17,7,NA
2014,3,8,"Binghamton","St. Bonaventure","H",19,3,NA
2014,3,11,"Binghamton","Cornell","H",4,15,NA
2014,3,17,"Binghamton","Canisius","V",10,19,NA
2014,3,20,"Binghamton","Siena","V",16,11,NA
2014,3,23,"Binghamton","Quinnipiac","H",9,8,NA
2014,3,26,"Binghamton","Marist","V",7,12,NA
