"year","month","day","team","opponent","location","teamscore","oppscore","OT"
2014,2,8,"Air Force","Denver","H",8,14,NA
2014,2,15,"Air Force","Furman","H",15,6,NA
2014,2,22,"Air Force","Canisius","N",6,7,NA
2014,2,23,"Air Force","Marist","N",17,9,NA
2014,3,2,"Air Force","VMI","V",4,6,NA
2014,3,8,"Air Force","Bellarmine","H",13,9,NA
2014,3,15,"Air Force","Jacksonville","V",15,12,NA
2014,3,23,"Air Force","Binghamton","V",10,8,NA
2014,3,29,"Air Force","Michigan","H",15,12,NA
2014,4,5,"Air Force","Mercer","H",19,6,NA
2014,4,12,"Air Force","Fairfield","H",16,8,NA
2014,4,19,"Air Force","Ohio St.","V",6,8,NA
2014,4,26,"Air Force","Quinnipiac","V",10,15,NA
2014,5,1,"Air Force","Ohio St.","V",14,7,NA
2014,5,3,"Air Force","Fairfield","N",9,8,NA
2014,5,7,"Air Force","Richmond","H",13,5,NA
2014,5,11,"Air Force","Duke","V",9,20,NA
2014,2,16,"Albany (NY)","Syracuse","V",16,17,1
2014,2,22,"Albany (NY)","Drexel","H",13,14,NA
2014,3,1,"Albany (NY)","Harvard","H",14,8,NA
2014,3,8,"Albany (NY)","Massachusetts","V",25,10,NA
2014,3,15,"Albany (NY)","Bryant","H",11,12,NA
2014,3,22,"Albany (NY)","Penn St.","V",17,10,NA
2014,3,25,"Albany (NY)","Canisius","H",10,14,NA
2014,3,29,"Albany (NY)","Vermont","H",20,9,NA
2014,4,4,"Albany (NY)","Johns Hopkins","V",8,13,NA
2014,4,6,"Albany (NY)","Hartford","V",15,11,NA
2014,4,12,"Albany (NY)","Stony Brook","H",17,7,NA
2014,4,19,"Albany (NY)","UMBC","V",18,14,NA
2014,4,22,"Albany (NY)","Siena","H",19,11,NA
2014,4,26,"Albany (NY)","Binghamton","H",21,7,NA
2014,5,1,"Albany (NY)","Stony Brook","N",17,16,1
2014,5,3,"Albany (NY)","UMBC","N",20,11,NA
2014,5,10,"Albany (NY)","Loyola Maryland","V",13,6,NA
2014,5,17,"Albany (NY)","Notre Dame","N",13,14,1
2014,2,8,"Army West Point","Massachusetts","H",5,6,NA
2014,2,16,"Army West Point","VMI","V",15,6,NA
2014,2,22,"Army West Point","Furman","N",12,2,NA
2014,3,1,"Army West Point","Lafayette","V",8,6,NA
2014,3,4,"Army West Point","Rutgers","H",8,9,1
2014,3,8,"Army West Point","Holy Cross","H",13,3,NA
2014,3,15,"Army West Point","Loyola Maryland","V",6,7,NA
2014,3,22,"Army West Point","Lehigh","H",6,5,NA
2014,3,29,"Army West Point","Bucknell","H",11,6,NA
2014,4,5,"Army West Point","Boston U.","V",8,7,NA
2014,4,12,"Army West Point","Navy","H",14,7,NA
2014,4,18,"Army West Point","Colgate","V",8,7,NA
2014,4,25,"Army West Point","Lehigh","N",11,12,NA
2014,5,3,"Army West Point","Notre Dame","V",17,18,NA
2014,2,15,"Bellarmine","Robert Morris","H",10,7,NA
2014,2,22,"Bellarmine","Jacksonville","V",8,4,NA
2014,3,1,"Bellarmine","Furman","H",13,7,NA
2014,3,4,"Bellarmine","Detroit Mercy","V",12,8,NA
2014,3,8,"Bellarmine","Air Force","V",9,13,NA
2014,3,15,"Bellarmine","Michigan","H",10,11,1
2014,3,21,"Bellarmine","Ohio St.","V",7,10,NA
2014,3,29,"Bellarmine","Fairfield","H",3,9,NA
2014,4,1,"Bellarmine","Marquette","V",10,7,NA
2014,4,5,"Bellarmine","High Point","H",10,9,1
2014,4,19,"Bellarmine","Virginia","V",8,12,NA
2014,4,26,"Bellarmine","Mercer","N",13,6,NA
2014,2,16,"Binghamton","Sacred Heart","V",8,6,NA
2014,2,22,"Binghamton","Siena","H",9,13,NA
2014,2,25,"Binghamton","Cornell","H",8,14,NA
2014,3,1,"Binghamton","Hobart and William Smith Colleges","V",11,10,1
2014,3,8,"Binghamton","Delaware","H",9,10,NA
2014,3,15,"Binghamton","Colgate","H",9,10,NA
2014,3,23,"Binghamton","Air Force","H",8,10,NA
2014,3,28,"Binghamton","Hartford","V",11,10,NA
2014,4,2,"Binghamton","Syracuse","V",8,10,NA
2014,4,6,"Binghamton","UMBC","H",13,7,NA
2014,4,12,"Binghamton","Vermont","V",9,6,NA
2014,4,15,"Binghamton","Canisius","H",9,5,NA
2014,4,19,"Binghamton","Stony Brook","H",14,11,NA
2014,4,26,"Binghamton","Albany (NY)","V",7,21,NA
2014,5,1,"Binghamton","UMBC","N",10,16,NA
2014,2,8,"Boston U.","Mercer","V",6,17,NA
2014,2,15,"Boston U.","Canisius","H",3,9,NA
2014,2,22,"Boston U.","Lehigh","H",7,10,NA
2014,2,25,"Boston U.","Providence","H",7,10,NA
2014,3,1,"Boston U.","Vermont","H",9,13,NA
2014,3,8,"Boston U.","Colgate","H",5,7,NA
2014,3,15,"Boston U.","Lafayette","V",12,7,NA
2014,3,22,"Boston U.","Bucknell","V",3,7,NA
2014,3,29,"Boston U.","Navy","H",7,13,NA
2014,4,5,"Boston U.","Army West Point","H",7,8,NA
2014,4,8,"Boston U.","Harvard","V",9,14,NA
