"year","month","day","team","opponent","location","teamscore","oppscore","OT"
2015,2,8,"Air Force","Duke","V",7,13,NA
2015,2,14,"Air Force","Marist","H",6,7,NA
2015,2,21,"Air Force","Denver","V",6,16,NA
2015,2,22,"Air Force","Canisius","H",13,6,NA
2015,2,28,"Air Force","Furman","V",6,4,NA
2015,3,7,"Air Force","Vermont","N",10,11,3
2015,3,8,"Air Force","VMI","N",12,8,NA
2015,3,14,"Air Force","Detroit Mercy","H",9,6,NA
2015,3,21,"Air Force","High Point","V",9,10,NA
2015,3,28,"Air Force","Jacksonville","H",18,5,NA
2015,4,4,"Air Force","Bellarmine","N",11,8,NA
2015,4,11,"Air Force","Mercer","V",10,7,NA
2015,4,18,"Air Force","Robert Morris","H",10,9,NA
2015,4,23,"Air Force","Quinnipiac","H",10,12,NA
2015,5,2,"Air Force","Navy","H",8,9,NA
2015,2,21,"Albany (NY)","Drexel","V",15,8,NA
2015,2,28,"Albany (NY)","Cornell","N",9,16,NA
2015,3,7,"Albany (NY)","Massachusetts","H",10,9,NA
2015,3,14,"Albany (NY)","Stony Brook","V",17,15,NA
2015,3,17,"Albany (NY)","Canisius","V",26,6,NA
2015,3,21,"Albany (NY)","Hartford","H",24,6,NA
2015,3,25,"Albany (NY)","Harvard","V",21,18,NA
2015,3,28,"Albany (NY)","UMass Lowell","H",25,0,NA
2015,4,2,"Albany (NY)","Syracuse","V",12,17,NA
2015,4,4,"Albany (NY)","Vermont","V",20,10,NA
2015,4,11,"Albany (NY)","Binghamton","V",15,11,NA
2015,4,14,"Albany (NY)","Bryant","V",10,8,NA
2015,4,18,"Albany (NY)","Yale","H",12,11,NA
2015,4,21,"Albany (NY)","Siena","V",23,7,NA
2015,4,25,"Albany (NY)","UMBC","H",20,9,NA
2015,4,30,"Albany (NY)","Hartford","H",15,6,NA
2015,5,2,"Albany (NY)","Stony Brook","H",22,9,NA
2015,5,9,"Albany (NY)","Cornell","V",19,10,NA
2015,5,16,"Albany (NY)","Notre Dame","N",10,14,NA
2015,2,7,"Army West Point","Massachusetts","V",12,7,NA
2015,2,9,"Army West Point","VMI","H",24,3,NA
2015,2,15,"Army West Point","Jacksonville","V",20,4,NA
2015,2,22,"Army West Point","Syracuse","V",9,12,NA
2015,2,28,"Army West Point","Lafayette","H",14,3,NA
2015,3,3,"Army West Point","Rutgers","V",9,7,NA
2015,3,7,"Army West Point","Holy Cross","V",6,7,NA
2015,3,14,"Army West Point","Loyola Maryland","H",10,12,NA
2015,3,21,"Army West Point","Lehigh","V",7,5,NA
2015,3,28,"Army West Point","Bucknell","V",12,4,NA
2015,4,4,"Army West Point","Boston U.","H",17,8,NA
2015,4,11,"Army West Point","Navy","V",7,10,NA
2015,4,17,"Army West Point","Colgate","H",5,8,NA
2015,4,21,"Army West Point","Loyola Maryland","V",12,11,NA
2015,4,24,"Army West Point","Navy","V",11,7,NA
2015,4,26,"Army West Point","Colgate","N",8,11,NA
2015,5,2,"Army West Point","Notre Dame","H",8,17,NA
2015,2,7,"Bellarmine","Michigan","V",9,16,NA
2015,2,14,"Bellarmine","Robert Morris","V",13,10,NA
2015,2,27,"Bellarmine","Ohio St.","H",7,8,NA
2015,3,1,"Bellarmine","Detroit Mercy","H",11,14,NA
2015,3,14,"Bellarmine","Furman","V",7,9,NA
2015,3,21,"Bellarmine","VMI","H",17,7,NA
2015,3,28,"Bellarmine","Mercer","V",6,8,NA
2015,3,31,"Bellarmine","Marquette","H",9,3,NA
2015,4,4,"Bellarmine","Air Force","N",8,11,NA
2015,4,11,"Bellarmine","Jacksonville","H",17,9,NA
2015,4,18,"Bellarmine","Richmond","H",6,11,NA
2015,4,25,"Bellarmine","High Point","V",9,10,NA
2015,2,22,"Binghamton","Marist","H",9,12,NA
2015,2,24,"Binghamton","Cornell","N",10,17,NA
2015,2,28,"Binghamton","Hobart and William Smith Colleges","H",10,11,NA
2015,3,8,"Binghamton","Delaware","V",11,7,NA
2015,3,14,"Binghamton","UMBC","V",13,4,NA
2015,3,21,"Binghamton","Towson","H",8,9,NA
2015,3,24,"Binghamton","Drexel","V",5,9,NA
2015,3,28,"Binghamton","Hartford","H",12,13,NA
2015,4,4,"Binghamton","UMass Lowell","V",14,6,NA
2015,4,11,"Binghamton","Albany (NY)","H",11,15,NA
2015,4,14,"Binghamton","Canisius","V",11,9,NA
2015,4,19,"Binghamton","Stony Brook","V",13,14,1
2015,4,25,"Binghamton","Vermont","H",13,14,NA
2015,2,7,"Boston U.","Mercer","H",18,6,NA
2015,2,14,"Boston U.","Canisius","H",13,9,NA
2015,2,21,"Boston U.","Lehigh","V",9,10,NA
2015,2,25,"Boston U.","Providence","V",4,7,NA
2015,2,28,"Boston U.","Vermont","V",15,7,NA
2015,3,7,"Boston U.","Colgate","V",18,11,NA
2015,3,14,"Boston U.","Lafayette","H",17,8,NA
2015,3,21,"Boston U.","Bucknell","H",11,9,NA
2015,3,28,"Boston U.","Navy","V",6,14,NA
2015,4,4,"Boston U.","Army West Point","V",8,17,NA
2015,4,7,"Boston U.","Harvard","H",8,9,NA
2015,4,11,"Boston U.","Loyola Maryland","H",6,8,NA
2015,4,17,"Boston U.","Holy Cross","H",10,12,NA
2015,5,3,"Boston U.","Duke","V",7,13,NA
2015,2,21,"Brown","Quinnipiac","H",17,6,NA
2015,2,28,"Brown","Massachusetts","V",18,12,NA
2015,3,4,"Brown","Hartford","V",17,8,NA
2015,3,8,"Brown","Michigan","V",22,12,NA
2015,3,14,"Brown","Harvard","H",14,9,NA
