"year","month","day","team","opponent","location","teamscore","oppscore","OT"
2016,2,27,"Albany (NY)","Cornell","H",5,9,NA
2016,3,4,"Albany (NY)","Elon","V",12,4,NA
2016,3,6,"Albany (NY)","North Carolina","V",9,20,NA
2016,3,13,"Albany (NY)","Villanova","H",14,2,NA
2016,3,19,"Albany (NY)","Wagner","H",14,1,NA
2016,3,23,"Albany (NY)","Massachusetts","V",7,13,NA
2016,3,25,"Albany (NY)","Vermont","V",18,6,NA
2016,4,2,"Albany (NY)","Yale","V",13,7,NA
2016,4,6,"Albany (NY)","Binghamton","H",14,4,NA
2016,4,9,"Albany (NY)","UMBC","V",16,6,NA
2016,4,12,"Albany (NY)","Syracuse","H",7,8,NA
2016,4,16,"Albany (NY)","UMass Lowell","H",18,2,NA
2016,4,18,"Albany (NY)","Dartmouth","V",9,7,NA
2016,4,23,"Albany (NY)","New Hampshire","V",12,3,NA
2016,4,30,"Albany (NY)","Stony Brook","H",4,13,NA
2016,5,6,"Albany (NY)","UMBC","N",19,3,NA
2016,5,8,"Albany (NY)","Stony Brook","V",9,10,NA
2016,2,14,"American","Drexel","V",4,14,NA
2016,2,17,"American","Johns Hopkins","V",10,16,NA
2016,2,20,"American","Saint Joseph's","H",15,12,NA
2016,2,24,"American","UMBC","V",7,18,NA
2016,2,27,"American","Wagner","H",7,5,NA
2016,3,2,"American","Mt. St. Mary's","V",11,10,NA
2016,3,5,"American","Richmond","H",11,12,2
2016,3,8,"American","Boston U.","H",4,14,NA
2016,3,12,"American","Old Dominion","H",6,7,NA
2016,3,15,"American","Loyola Maryland","V",6,14,NA
2016,3,19,"American","Colgate","H",4,8,NA
2016,3,26,"American","Lehigh","V",6,10,NA
2016,4,2,"American","Lafayette","H",15,12,NA
2016,4,10,"American","Bucknell","V",8,12,NA
2016,4,16,"American","Army West Point","V",12,9,NA
2016,4,20,"American","Navy","H",9,14,NA
2016,4,23,"American","Holy Cross","V",13,14,NA
2016,2,12,"Army West Point","Manhattan","H",9,14,NA
2016,2,20,"Army West Point","Central Conn. St.","H",8,7,NA
2016,2,25,"Army West Point","LIU Brooklyn","H",10,9,NA
2016,2,28,"Army West Point","UMass Lowell","V",10,8,NA
2016,3,5,"Army West Point","Quinnipiac","H",5,6,NA
2016,3,12,"Army West Point","Winthrop","V",5,13,NA
2016,3,14,"Army West Point","Presbyterian","V",16,3,NA
2016,3,19,"Army West Point","Lafayette","H",4,17,NA
2016,3,22,"Army West Point","Howard","H",20,8,NA
2016,3,26,"Army West Point","Bucknell","V",9,19,NA
2016,3,30,"Army West Point","Holy Cross","V",7,15,NA
2016,4,2,"Army West Point","Navy","H",5,11,NA
2016,4,10,"Army West Point","Lehigh","V",6,14,NA
2016,4,16,"Army West Point","American","H",9,12,NA
2016,4,20,"Army West Point","Colgate","H",7,16,NA
2016,4,23,"Army West Point","Boston U.","V",3,14,NA
2016,4,30,"Army West Point","Loyola Maryland","V",7,18,NA
2016,2,14,"Binghamton","Syracuse","V",6,9,NA
2016,2,20,"Binghamton","Niagara","H",6,5,1
2016,2,23,"Binghamton","Lafayette","V",7,15,NA
2016,2,27,"Binghamton","Quinnipiac","H",13,7,NA
2016,3,1,"Binghamton","Canisius","V",7,12,NA
2016,3,9,"Binghamton","Siena","V",9,6,NA
2016,3,12,"Binghamton","Marist","V",3,4,NA
2016,3,20,"Binghamton","Sacred Heart","H",9,7,NA
2016,3,25,"Binghamton","Ohio St.","N",5,10,NA
2016,3,29,"Binghamton","Cornell","H",5,14,NA
2016,4,2,"Binghamton","New Hampshire","H",8,9,1
2016,4,6,"Binghamton","Albany (NY)","V",4,14,NA
2016,4,12,"Binghamton","Colgate","H",11,13,NA
2016,4,16,"Binghamton","UMBC","H",10,11,1
2016,4,20,"Binghamton","Stony Brook","H",0,16,NA
2016,4,24,"Binghamton","UMass Lowell","V",12,4,NA
2016,4,30,"Binghamton","Vermont","V",13,8,NA
2016,2,12,"Boston College","Boston U.","V",18,9,NA
2016,2,17,"Boston College","Holy Cross","V",19,6,NA
2016,2,21,"Boston College","Notre Dame","V",4,14,NA
2016,2,27,"Boston College","Louisville","V",6,7,1
2016,3,2,"Boston College","Massachusetts","H",9,8,NA
2016,3,5,"Boston College","Navy","H",17,9,NA
2016,3,11,"Boston College","Florida","V",5,13,NA
2016,3,13,"Boston College","Stetson","V",18,10,NA
2016,3,19,"Boston College","Syracuse","H",13,8,NA
2016,3,26,"Boston College","North Carolina","H",12,13,NA
2016,4,2,"Boston College","Virginia","V",14,15,NA
2016,4,6,"Boston College","Yale","V",15,11,NA
2016,4,9,"Boston College","Duke","V",8,12,NA
2016,4,12,"Boston College","Dartmouth","H",14,9,NA
2016,4,16,"Boston College","Virginia Tech","H",15,10,NA
2016,4,20,"Boston College","Harvard","V",16,9,NA
2016,4,23,"Boston College","Johns Hopkins","H",9,12,NA
2016,4,28,"Boston College","Syracuse","N",11,16,NA
2016,5,13,"Boston College","Stony Brook","V",9,11,NA
2016,2,12,"Boston U.","Boston College","H",9,18,NA
2016,2,20,"Boston U.","Fairfield","V",13,8,NA
2016,2,24,"Boston U.","Massachusetts","V",8,11,NA
2016,3,1,"Boston U.","Dartmouth","V",13,15,NA
2016,3,8,"Boston U.","American","V",14,4,NA
2016,3,11,"Boston U.","Johns Hopkins","V",12,13,NA
2016,3,19,"Boston U.","Bucknell","H",17,7,NA
2016,3,22,"Boston U.","Vanderbilt","H",14,13,NA
2016,3,26,"Boston U.","Loyola Maryland","H",6,10,NA
2016,3,30,"Boston U.","Colgate","V",14,11,NA
2016,4,2,"Boston U.","Lehigh","H",7,8,NA
2016,4,9,"Boston U.","Lafayette","V",15,10,NA
2016,4,13,"Boston U.","New Hampshire","H",14,7,NA
2016,4,16,"Boston U.","Navy","V",6,12,NA
2016,4,20,"Boston U.","Holy Cross","H",11,4,NA
2016,4,23,"Boston U.","Army West Point","H",14,3,NA
2016,5,3,"Boston U.","Bucknell","H",18,8,NA
2016,5,6,"Boston U.","Navy","N",7,10,NA
2016,2,20,"Brown","Iona","H",13,11,NA
2016,2,24,"Brown","Central Conn. St.","H",8,2,NA
2016,2,27,"Brown","Denver","H",3,5,NA
2016,3,5,"Brown","Penn","V",3,8,NA
2016,3,9,"Brown","Bryant","V",11,10,NA
2016,3,13,"Brown","Colgate","H",9,5,NA
2016,3,19,"Brown","Yale","V",5,6,NA
2016,3,26,"Brown","Cornell","H",2,10,NA
2016,3,30,"Brown","Louisville","V",6,14,NA
2016,4,2,"Brown","Sacred Heart","V",9,13,NA
2016,4,9,"Brown","Harvard","V",2,8,NA
2016,4,12,"Brown","UMass Lowell","V",5,4,NA
2016,4,16,"Brown","Columbia","V",9,13,NA
2016,4,23,"Brown","Dartmouth","H",8,5,NA
2016,4,30,"Brown","Princeton","H",3,8,NA
2016,2,15,"Bryant","Vermont","V",11,7,NA
2016,2,19,"Bryant","UC Davis","H",7,12,NA
2016,2,23,"Bryant","Holy Cross","V",8,7,NA
2016,2,28,"Bryant","Stony Brook","H",4,18,NA
2016,3,9,"Bryant","Brown","H",10,11,NA
2016,3,12,"Bryant","Winthrop","V",13,12,1
2016,3,15,"Bryant","Presbyterian","V",18,4,NA
2016,3,22,"Bryant","Siena","V",13,12,NA
2016,3,30,"Bryant","UMass Lowell","H",11,9,NA
2016,4,8,"Bryant","Mt. St. Mary's","V",17,7,NA
2016,4,10,"Bryant","Wagner","V",7,4,NA
2016,4,15,"Bryant","Saint Francis (PA)","H",17,12,NA
2016,4,17,"Bryant","Robert Morris","H",7,10,NA
2016,4,22,"Bryant","Central Conn. St.","V",13,4,NA
2016,4,29,"Bryant","LIU Brooklyn","V",13,7,NA
2016,5,1,"Bryant","Sacred Heart","H",16,5,NA
2016,5,6,"Bryant","Sacred Heart","H",13,12,1
2016,5,8,"Bryant","Wagner","H",7,11,NA
2016,2,17,"Bucknell","Delaware St.","H",25,1,NA
2016,2,20,"Bucknell","Mt. St. Mary's","V",11,5,NA
2016,2,27,"Bucknell","Villanova","H",8,12,NA
2016,3,5,"Bucknell","Manhattan","V",19,11,NA
2016,3,9,"Bucknell","Monmouth","H",16,17,NA
2016,3,12,"Bucknell","Saint Francis (PA)","V",21,12,NA
2016,3,14,"Bucknell","Wagner","V",6,5,NA
2016,3,16,"Bucknell","Winthrop","H",9,6,NA
2016,3,19,"Bucknell","Boston U.","V",7,17,NA
2016,3,26,"Bucknell","Army West Point","H",19,9,NA
2016,3,30,"Bucknell","Lafayette","V",13,12,NA
2016,4,2,"Bucknell","Holy Cross","H",10,9,NA
2016,4,10,"Bucknell","American","H",12,8,NA
2016,4,16,"Bucknell","Colgate","V",9,10,NA
2016,4,20,"Bucknell","Loyola Maryland","H",7,13,NA
2016,4,23,"Bucknell","Navy","H",10,11,NA
2016,4,29,"Bucknell","Lehigh","V",11,12,NA
2016,5,3,"Bucknell","Boston U.","V",8,18,NA
2016,2,19,"California","Ohio St.","H",15,16,1
2016,2,26,"California","Marquette","V",4,15,NA
2016,2,28,"California","Notre Dame","V",2,21,NA
2016,3,8,"California","Longwood","H",13,11,NA
2016,3,11,"California","Vermont","H",18,13,NA
2016,3,18,"California","Southern California","H",2,15,NA
2016,3,20,"California","San Diego St.","H",10,9,1
2016,3,23,"California","Cornell","V",4,12,NA
2016,3,26,"California","Temple","V",3,18,NA
2016,4,1,"California","Oregon","H",5,15,NA
2016,4,3,"California","Fresno St.","H",5,15,NA
2016,4,6,"California","UC Davis","V",5,7,NA
2016,4,11,"California","Stanford","V",5,19,NA
2016,4,15,"California","Denver","V",0,16,NA
2016,4,17,"California","Colorado","V",4,16,NA
2016,4,20,"California","Saint Mary's (CA)","V",15,5,NA
2016,2,4,"Campbell","Duke","V",4,20,NA
2016,2,20,"Campbell","Old Dominion","V",11,12,NA
2016,2,28,"Campbell","Fresno St.","H",13,11,NA
2016,3,3,"Campbell","Saint Francis (PA)","H",20,10,NA
2016,3,6,"Campbell","VCU","V",13,21,NA
2016,3,9,"Campbell","Jacksonville","V",7,17,NA
2016,3,12,"Campbell","Robert Morris","H",13,6,NA
2016,3,18,"Campbell","Furman","V",14,15,1
2016,3,20,"Campbell","Mercer","V",15,3,NA
2016,3,26,"Campbell","Gardner-Webb","V",20,10,NA
2016,3,30,"Campbell","High Point","H",10,15,NA
