"year","month","day","team","opponent","location","teamscore","oppscore","OT"
2018,2,3,"Air Force","Duke","V",4,18,NA
2018,2,10,"Air Force","Denver","H",5,11,NA
2018,2,17,"Air Force","Marist","V",8,7,NA
2018,2,23,"Air Force","Cleveland St.","H",7,8,NA
2018,3,3,"Air Force","Boston U.","H",9,15,NA
2018,3,9,"Air Force","Michigan","V",9,14,NA
2018,3,11,"Air Force","Detroit Mercy","V",9,7,NA
2018,3,17,"Air Force","VMI","H",11,6,NA
2018,3,24,"Air Force","Mercer","H",7,9,NA
2018,3,27,"Air Force","Cornell","V",NA,NA,NA
2018,3,31,"Air Force","Bellarmine","V",NA,NA,NA
2018,4,7,"Air Force","Jacksonville","V",NA,NA,NA
2018,4,14,"Air Force","Furman","H",NA,NA,NA
2018,4,21,"Air Force","High Point","H",NA,NA,NA
2018,4,28,"Air Force","Richmond","V",NA,NA,NA
2018,2,17,"Albany (NY)","Syracuse","V",15,3,NA
2018,2,24,"Albany (NY)","Drexel","H",18,5,NA
2018,3,4,"Albany (NY)","Cornell","H",11,9,NA
2018,3,6,"Albany (NY)","Massachusetts","V",19,8,NA
2018,3,10,"Albany (NY)","Maryland","V",11,10,NA
2018,3,17,"Albany (NY)","Vermont","H",21,5,NA
2018,3,20,"Albany (NY)","Canisius","H",19,11,NA
2018,3,24,"Albany (NY)","UMass Lowell","V",13,6,NA
2018,3,28,"Albany (NY)","Harvard","H",NA,NA,NA
2018,3,31,"Albany (NY)","Stony Brook","H",NA,NA,NA
2018,4,7,"Albany (NY)","UMBC","V",NA,NA,NA
2018,4,20,"Albany (NY)","Binghamton","H",NA,NA,NA
2018,4,22,"Albany (NY)","Yale","V",NA,NA,NA
2018,4,28,"Albany (NY)","Hartford","V",NA,NA,NA
2018,2,10,"Army West Point","Massachusetts","H",18,6,NA
2018,2,13,"Army West Point","NJIT","H",14,5,NA
2018,2,17,"Army West Point","Rutgers","H",9,7,NA
2018,2,24,"Army West Point","Syracuse","V",10,11,3
2018,3,3,"Army West Point","Lafayette","V",13,4,NA
2018,3,10,"Army West Point","Lehigh","H",7,9,NA
2018,3,17,"Army West Point","Holy Cross","H",5,3,NA
2018,3,24,"Army West Point","Colgate","V",6,8,NA
2018,3,31,"Army West Point","Bucknell","H",NA,NA,NA
2018,4,7,"Army West Point","Boston U.","V",NA,NA,NA
2018,4,14,"Army West Point","Navy","H",NA,NA,NA
2018,4,20,"Army West Point","Loyola Maryland","V",NA,NA,NA
2018,5,5,"Army West Point","Notre Dame","V",NA,NA,NA
2018,2,9,"Bellarmine","Robert Morris","H",7,15,NA
2018,2,13,"Bellarmine","Michigan","V",7,9,NA
2018,2,17,"Bellarmine","Cleveland St.","H",13,9,NA
2018,2,24,"Bellarmine","Manhattan","N",9,10,NA
2018,3,2,"Bellarmine","Detroit Mercy","N",5,11,NA
2018,3,4,"Bellarmine","Marquette","N",7,6,2
2018,3,17,"Bellarmine","High Point","V",7,15,NA
2018,3,24,"Bellarmine","Jacksonville","V",5,9,NA
2018,3,31,"Bellarmine","Air Force","H",NA,NA,NA
2018,4,7,"Bellarmine","Richmond","V",NA,NA,NA
2018,4,14,"Bellarmine","Mercer","H",NA,NA,NA
2018,4,21,"Bellarmine","VMI","V",NA,NA,NA
2018,4,28,"Bellarmine","Furman","H",NA,NA,NA
2018,2,10,"Binghamton","Syracuse","V",4,21,NA
2018,2,13,"Binghamton","Colgate","V",7,21,NA
2018,2,20,"Binghamton","Canisius","H",10,12,NA
2018,2,25,"Binghamton","Marist","V",7,8,NA
2018,3,3,"Binghamton","Hobart and William Smith","V",6,17,NA
2018,3,6,"Binghamton","Cornell","V",2,18,NA
2018,3,10,"Binghamton","Delaware","H",8,7,2
2018,3,17,"Binghamton","UMass Lowell","H",10,14,NA
2018,3,24,"Binghamton","Vermont","V",6,10,NA
2018,3,27,"Binghamton","Siena","V",NA,NA,NA
2018,3,31,"Binghamton","Lafayette","V",NA,NA,NA
2018,4,7,"Binghamton","Hartford","V",NA,NA,NA
2018,4,14,"Binghamton","UMBC","H",NA,NA,NA
2018,4,20,"Binghamton","Albany (NY)","V",NA,NA,NA
2018,4,27,"Binghamton","Stony Brook","H",NA,NA,NA
2018,2,3,"Boston U.","Providence","H",12,11,1
