"year","month","day","team","opponent","location","teamscore","oppscore","OT"
2015,2,21,"Albany (NY)","Quinnipiac","V",21,5,NA
2015,2,25,"Albany (NY)","Manhattan","H",25,7,NA
2015,2,28,"Albany (NY)","Cornell","V",12,11,NA
2015,3,7,"Albany (NY)","Central Conn. St.","H",21,3,NA
2015,3,13,"Albany (NY)","North Carolina","N",6,10,NA
2015,3,15,"Albany (NY)","Iona","H",19,5,NA
2015,3,19,"Albany (NY)","Massachusetts","H",7,4,NA
2015,3,21,"Albany (NY)","UMass Lowell","V",21,1,NA
2015,3,28,"Albany (NY)","New Hampshire","H",16,5,NA
2015,4,1,"Albany (NY)","Vermont","H",11,1,NA
2015,4,4,"Albany (NY)","Stony Brook","V",5,7,NA
2015,4,8,"Albany (NY)","Brown","H",15,4,NA
2015,4,13,"Albany (NY)","Dartmouth","H",10,5,NA
2015,4,17,"Albany (NY)","Binghamton","V",17,5,NA
2015,4,19,"Albany (NY)","Syracuse","V",12,14,NA
2015,4,25,"Albany (NY)","UMBC","H",20,5,NA
2015,5,1,"Albany (NY)","Vermont","N",14,13,1
2015,5,3,"Albany (NY)","Stony Brook","V",8,11,NA
2015,5,8,"Albany (NY)","Penn","N",10,11,1
2015,2,14,"American","Wagner","V",16,12,NA
2015,2,18,"American","Saint Joseph's","V",12,13,3
2015,2,21,"American","Richmond","V",4,5,NA
2015,2,25,"American","UMBC","H",5,9,NA
2015,3,2,"American","Johns Hopkins","V",6,19,NA
2015,3,7,"American","Boston U.","V",5,13,NA
2015,3,11,"American","Mt. St. Mary's","H",12,4,NA
2015,3,14,"American","Holy Cross","H",10,15,NA
2015,3,18,"American","Navy","V",5,11,NA
2015,3,21,"American","Old Dominion","V",6,7,NA
2015,3,28,"American","Bucknell","H",16,6,NA
2015,3,31,"American","Louisville","H",6,20,NA
2015,4,4,"American","Lafayette","V",11,10,NA
2015,4,8,"American","Loyola Maryland","H",6,19,NA
2015,4,12,"American","Lehigh","H",6,16,NA
2015,4,18,"American","Colgate","V",7,15,NA
2015,2,7,"Binghamton","Ohio St.","V",5,18,NA
2015,2,28,"Binghamton","Quinnipiac","V",11,8,NA
2015,3,4,"Binghamton","Lafayette","H",10,7,NA
2015,3,7,"Binghamton","Sacred Heart","V",9,5,NA
2015,3,11,"Binghamton","Cornell","V",3,22,NA
2015,3,14,"Binghamton","Marist","H",9,11,NA
2015,3,17,"Binghamton","Siena","H",3,12,NA
2015,3,21,"Binghamton","UMBC","V",12,13,1
2015,3,23,"Binghamton","Niagara","V",9,7,NA
2015,3,29,"Binghamton","UMass Lowell","H",15,6,NA
2015,4,1,"Binghamton","Stony Brook","V",2,15,NA
2015,4,4,"Binghamton","Vermont","H",7,18,NA
2015,4,7,"Binghamton","St. Bonaventure","V",18,13,NA
2015,4,10,"Binghamton","New Hampshire","V",9,12,NA
2015,4,14,"Binghamton","Colgate","V",5,14,NA
2015,4,17,"Binghamton","Albany (NY)","H",5,17,NA
2015,4,25,"Binghamton","Canisius","H",8,12,NA
2015,2,14,"Boston College","Johns Hopkins","V",9,5,NA
2015,2,18,"Boston College","UMass Lowell","V",24,4,NA
2015,2,21,"Boston College","Vermont","V",13,10,NA
2015,2,28,"Boston College","Syracuse","V",10,9,NA
2015,3,3,"Boston College","Holy Cross","V",17,6,NA
2015,3,6,"Boston College","Notre Dame","H",15,6,NA
2015,3,11,"Boston College","Louisville","H",16,15,1
2015,3,14,"Boston College","UConn","H",13,5,NA
2015,3,21,"Boston College","North Carolina","V",10,9,1
2015,3,25,"Boston College","Colorado","H",17,9,NA
2015,3,28,"Boston College","Virginia","H",13,15,NA
2015,3,30,"Boston College","Southern California","H",16,12,NA
2015,4,4,"Boston College","Duke","H",8,13,NA
2015,4,7,"Boston College","Harvard","H",19,13,NA
2015,4,11,"Boston College","Virginia Tech","V",13,11,NA
2015,4,18,"Boston College","New Hampshire","V",20,7,NA
2015,4,23,"Boston College","Syracuse","N",13,14,2
2015,5,2,"Boston College","Boston U.","H",17,9,NA
2015,5,10,"Boston College","Loyola Maryland","H",12,19,NA
2015,2,13,"Boston U.","Siena","V",13,9,NA
2015,2,20,"Boston U.","Vanderbilt","V",9,16,NA
2015,2,25,"Boston U.","Massachusetts","H",2,7,NA
2015,3,4,"Boston U.","Dartmouth","H",13,7,NA
2015,3,7,"Boston U.","American","H",13,5,NA
2015,3,11,"Boston U.","Denver","V",8,13,NA
2015,3,18,"Boston U.","Holy Cross","V",9,8,1
2015,3,21,"Boston U.","Navy","H",8,11,NA
2015,3,25,"Boston U.","Yale","V",6,14,NA
2015,3,28,"Boston U.","Lafayette","H",14,11,NA
2015,4,4,"Boston U.","Lehigh","V",8,5,NA
2015,4,8,"Boston U.","Colgate","H",7,11,NA
2015,4,11,"Boston U.","Loyola Maryland","V",6,9,NA
2015,4,15,"Boston U.","New Hampshire","V",8,9,1
2015,4,18,"Boston U.","Bucknell","V",11,9,NA
2015,4,21,"Boston U.","Lehigh","H",8,7,NA
2015,4,24,"Boston U.","Loyola Maryland","V",7,14,NA
2015,5,2,"Boston U.","Boston College","V",9,17,NA
2015,2,21,"Brown","Bryant","H",12,8,NA
2015,2,27,"Brown","Iona","V",13,6,NA
2015,3,1,"Brown","Central Conn. St.","V",13,5,NA
2015,3,7,"Brown","Penn","H",7,9,NA
2015,3,10,"Brown","Holy Cross","H",11,10,NA
2015,3,14,"Brown","Yale","H",3,8,NA
2015,3,21,"Brown","Cornell","V",6,14,NA
2015,3,24,"Brown","Colgate","V",11,5,NA
2015,3,31,"Brown","San Diego St.","H",12,13,NA
2015,4,4,"Brown","Harvard","H",7,9,NA
2015,4,8,"Brown","Albany (NY)","V",4,15,NA
2015,4,11,"Brown","Columbia","H",7,6,NA
2015,4,14,"Brown","UMass Lowell","H",13,6,NA
2015,4,18,"Brown","Dartmouth","V",6,10,NA
2015,4,25,"Brown","Princeton","V",8,14,NA
2015,2,14,"Bryant","Holy Cross","H",9,6,NA
2015,2,21,"Bryant","Brown","V",8,12,NA
2015,2,28,"Bryant","Manhattan","H",17,2,NA
2015,3,4,"Bryant","Yale","H",8,12,NA
2015,3,7,"Bryant","Siena","H",9,8,NA
2015,3,11,"Bryant","Fresno St.","V",14,9,NA
2015,3,14,"Bryant","UC Davis","V",13,10,NA
2015,3,23,"Bryant","UMass Lowell","V",16,3,NA
2015,3,28,"Bryant","Lehigh","H",8,9,NA
2015,4,3,"Bryant","Central Conn. St.","H",12,8,NA
