"year","month","day","team","opponent","location","teamscore","oppscore","OT"
2017,2,4,"Albany (NY)","Penn St.","V",9,20,NA
2017,2,13,"Albany (NY)","St. Bonaventure","H",19,3,NA
2017,2,18,"Albany (NY)","Yale","H",13,11,NA
2017,2,27,"Albany (NY)","Syracuse","V",12,13,NA
2017,3,3,"Albany (NY)","North Carolina","N",5,14,NA
2017,3,9,"Albany (NY)","Wagner","V",19,5,NA
2017,3,19,"Albany (NY)","Drexel","H",20,7,NA
2017,3,25,"Albany (NY)","UMBC","H",19,12,NA
2017,4,2,"Albany (NY)","Stony Brook","V",11,18,NA
2017,4,5,"Albany (NY)","Vermont","H",16,8,NA
2017,4,8,"Albany (NY)","UMass Lowell","V",15,4,NA
2017,4,11,"Albany (NY)","Cornell","V",11,10,NA
2017,4,15,"Albany (NY)","New Hampshire","H",9,8,NA
2017,4,19,"Albany (NY)","Dartmouth","V",11,8,NA
2017,4,29,"Albany (NY)","Binghamton","V",21,10,NA
2017,5,5,"Albany (NY)","UMBC","N",14,13,NA
2017,5,7,"Albany (NY)","Stony Brook","V",12,14,NA
2017,5,12,"Albany (NY)","Northwestern","N",7,15,NA
2017,2,15,"American","Johns Hopkins","H",6,18,NA
2017,2,18,"American","Saint Joseph's","V",7,15,NA
2017,2,22,"American","UMBC","H",8,10,NA
2017,2,25,"American","Drexel","H",3,14,NA
2017,3,4,"American","Richmond","V",5,15,NA
2017,3,11,"American","Old Dominion","V",11,10,NA
2017,3,15,"American","Central Conn. St.","H",12,9,NA
2017,3,18,"American","Colgate","V",6,15,NA
2017,3,25,"American","Lehigh","H",10,14,NA
2017,3,29,"American","Loyola Maryland","H",8,19,NA
2017,4,1,"American","Lafayette","V",9,20,NA
2017,4,8,"American","Bucknell","H",8,9,NA
2017,4,15,"American","Army West Point","H",12,7,NA
2017,4,19,"American","Navy","V",8,21,NA
2017,4,22,"American","Holy Cross","H",10,12,NA
2017,4,29,"American","Boston U.","V",6,17,NA
2017,2,11,"Army West Point","Marist","H",13,12,NA
2017,2,18,"Army West Point","Manhattan","V",11,6,NA
2017,2,25,"Army West Point","St. Bonaventure","H",11,12,NA
