"year","month","day","team","opponent","location","teamscore","oppscore","OT"
2016,2,6,"Air Force","Navy","V",6,10,NA
2016,2,13,"Air Force","Denver","H",9,10,NA
2016,2,20,"Air Force","Marist","V",7,6,4
2016,2,27,"Air Force","Dartmouth","N",9,3,NA
2016,2,28,"Air Force","Sacred Heart","N",13,10,NA
2016,3,5,"Air Force","Robert Morris","V",11,10,NA
2016,3,12,"Air Force","Furman","H",14,4,NA
2016,3,19,"Air Force","High Point","H",13,4,NA
2016,3,22,"Air Force","Duke","V",10,9,1
2016,3,26,"Air Force","Detroit Mercy","V",7,5,NA
2016,4,2,"Air Force","Bellarmine","V",8,7,1
2016,4,9,"Air Force","Mercer","H",15,13,NA
2016,4,16,"Air Force","VMI","H",13,3,NA
2016,4,23,"Air Force","Richmond","V",9,8,NA
2016,4,30,"Air Force","Jacksonville","V",11,6,NA
2016,5,5,"Air Force","Bellarmine","N",10,8,NA
2016,5,7,"Air Force","Richmond","H",9,8,1
2016,5,14,"Air Force","Notre Dame","H",NA,NA,NA
2016,2,21,"Albany (NY)","Syracuse","V",7,16,NA
2016,2,27,"Albany (NY)","Drexel","H",20,14,NA
2016,3,5,"Albany (NY)","Cornell","H",12,8,NA
2016,3,8,"Albany (NY)","Massachusetts","V",16,4,NA
2016,3,16,"Albany (NY)","Maryland","V",7,10,NA
2016,3,19,"Albany (NY)","Stony Brook","H",16,10,NA
2016,3,26,"Albany (NY)","Hartford","V",13,9,NA
2016,3,30,"Albany (NY)","Harvard","H",10,9,NA
2016,4,2,"Albany (NY)","UMass Lowell","V",16,9,NA
2016,4,9,"Albany (NY)","Vermont","H",13,7,NA
2016,4,16,"Albany (NY)","Binghamton","H",12,8,NA
2016,4,23,"Albany (NY)","Yale","V",14,13,1
2016,4,26,"Albany (NY)","Siena","H",17,8,NA
2016,4,30,"Albany (NY)","UMBC","V",15,14,1
2016,5,5,"Albany (NY)","Hartford","H",10,11,1
2016,5,15,"Albany (NY)","Syracuse","H",NA,NA,NA
2016,2,12,"Army West Point","Massachusetts","H",9,5,NA
2016,2,20,"Army West Point","Rutgers","H",11,13,NA
2016,2,21,"Army West Point","VMI","H",22,3,NA
2016,2,28,"Army West Point","Syracuse","V",8,9,NA
2016,3,5,"Army West Point","Lafayette","V",14,5,NA
2016,3,12,"Army West Point","Lehigh","H",13,10,NA
2016,3,13,"Army West Point","NJIT","H",16,6,NA
2016,3,19,"Army West Point","Holy Cross","H",16,7,NA
2016,3,26,"Army West Point","Colgate","V",11,7,NA
2016,4,2,"Army West Point","Bucknell","H",7,8,NA
2016,4,9,"Army West Point","Boston U.","V",15,4,NA
2016,4,16,"Army West Point","Navy","H",10,11,1
2016,4,22,"Army West Point","Loyola Maryland","V",6,12,NA
2016,4,26,"Army West Point","Lehigh","H",13,6,NA
2016,4,29,"Army West Point","Navy","V",9,3,NA
2016,5,1,"Army West Point","Loyola Maryland","N",6,14,NA
2016,5,8,"Army West Point","Notre Dame","V",7,13,NA
2016,2,13,"Bellarmine","Robert Morris","H",11,10,NA
2016,2,20,"Bellarmine","Marquette","V",7,9,NA
2016,2,24,"Bellarmine","Notre Dame","V",6,11,NA
2016,2,27,"Bellarmine","Quinnipiac","H",6,12,NA
2016,3,4,"Bellarmine","Detroit Mercy","N",7,6,NA
2016,3,6,"Bellarmine","Ohio St.","V",5,9,NA
2016,3,12,"Bellarmine","Mercer","H",11,7,NA
2016,3,19,"Bellarmine","Jacksonville","V",10,9,NA
2016,3,26,"Bellarmine","Providence","V",7,9,NA
2016,4,2,"Bellarmine","Air Force","H",7,8,1
2016,4,9,"Bellarmine","High Point","V",7,13,NA
2016,4,16,"Bellarmine","Richmond","V",7,10,NA
2016,4,23,"Bellarmine","VMI","V",15,6,NA
2016,4,30,"Bellarmine","Furman","H",15,8,NA
2016,5,5,"Bellarmine","Air Force","N",8,10,NA
2016,2,20,"Binghamton","Colgate","V",4,11,NA
2016,2,27,"Binghamton","Marist","V",8,10,NA
2016,3,5,"Binghamton","Hobart and William Smith Colleges","V",6,12,NA
2016,3,12,"Binghamton","Delaware","H",11,12,1
2016,3,19,"Binghamton","UMBC","H",16,10,NA
2016,3,22,"Binghamton","Drexel","H",10,7,NA
2016,3,26,"Binghamton","Towson","V",6,15,NA
2016,4,2,"Binghamton","Hartford","V",9,17,NA
2016,4,9,"Binghamton","UMass Lowell","H",16,5,NA
2016,4,12,"Binghamton","Canisius","H",13,12,NA
2016,4,16,"Binghamton","Albany (NY)","V",8,12,NA
2016,4,20,"Binghamton","Syracuse","V",5,13,NA
2016,4,24,"Binghamton","Stony Brook","H",11,16,NA
2016,4,30,"Binghamton","Vermont","V",9,17,NA
2016,2,6,"Boston U.","Providence","H",9,5,NA
2016,2,12,"Boston U.","UMass Lowell","H",8,5,NA
2016,2,16,"Boston U.","High Point","V",13,10,NA
2016,2,20,"Boston U.","Hartford","H",10,16,NA
2016,2,27,"Boston U.","Navy","H",10,9,2
2016,3,5,"Boston U.","Canisius","V",10,8,NA
