"year","month","day","team","opponent","location","teamscore","oppscore","OT"
2017,3,16,"Cleveland St.","Wittenberg","V",18,10,NA
2017,3,25,"Cleveland St.","Penn St.","V",8,15,NA
2017,4,4,"Cleveland St.","Virginia","V",7,20,NA
2017,4,15,"Cleveland St.","Walsh","H",13,7,NA
2017,4,22,"Cleveland St.","Sacred Heart","V",9,18,NA
2017,4,29,"Cleveland St.","Detroit Mercy","H",13,6,NA
2017,2,11,"Colgate","Marist","H",8,12,NA
2017,2,17,"Colgate","Binghamton","V",8,11,NA
2017,2,25,"Colgate","Bucknell","V",15,10,NA
2017,3,5,"Colgate","Lehigh","H",5,11,NA
2017,3,8,"Colgate","Hobart and William Smith Colleges","H",13,6,NA
2017,3,13,"Colgate","Boston U.","H",7,18,NA
2017,3,19,"Colgate","Siena","H",16,11,NA
2017,3,21,"Colgate","Cornell","V",6,15,NA
2017,3,25,"Colgate","Army West Point","V",8,10,NA
2017,4,1,"Colgate","Loyola Maryland","V",5,12,NA
2017,4,8,"Colgate","Navy","H",10,4,NA
2017,4,15,"Colgate","Holy Cross","V",11,12,NA
2017,4,21,"Colgate","Lafayette","H",11,6,NA
2017,5,6,"Colgate","Syracuse","H",9,11,NA
2017,2,18,"Cornell","Penn St.","V",10,20,NA
2017,2,25,"Cornell","Hobart and William Smith Colleges","V",8,16,NA
2017,3,5,"Cornell","Albany (NY)","H",6,17,NA
2017,3,11,"Cornell","Virginia","N",18,19,1
2017,3,18,"Cornell","Yale","V",8,17,NA
2017,3,21,"Cornell","Colgate","H",15,6,NA
2017,3,25,"Cornell","Penn","H",9,10,NA
2017,4,1,"Cornell","Dartmouth","H",14,5,NA
2017,4,8,"Cornell","Harvard","V",12,9,NA
2017,4,11,"Cornell","Syracuse","V",8,15,NA
2017,4,15,"Cornell","Lehigh","H",16,11,NA
2017,4,22,"Cornell","Brown","V",10,13,NA
2017,4,29,"Cornell","Princeton","H",18,17,NA
2017,2,18,"Dartmouth","Canisius","V",8,13,NA
2017,2,25,"Dartmouth","Sacred Heart","H",8,15,NA
2017,2,28,"Dartmouth","Vermont","H",11,9,NA
2017,3,4,"Dartmouth","Wagner","V",6,7,2
2017,3,18,"Dartmouth","North Carolina","V",6,17,NA
2017,3,21,"Dartmouth","Navy","V",6,11,NA
2017,3,25,"Dartmouth","Harvard","H",7,14,NA
2017,4,1,"Dartmouth","Cornell","V",5,14,NA
2017,4,8,"Dartmouth","Yale","V",6,13,NA
2017,4,11,"Dartmouth","UMass Lowell","H",14,8,NA
2017,4,15,"Dartmouth","Princeton","H",6,16,NA
2017,4,22,"Dartmouth","Penn","V",4,9,NA
2017,4,29,"Dartmouth","Brown","H",5,20,NA
2017,2,4,"Delaware","Bucknell","H",13,14,NA
2017,2,11,"Delaware","Mt. St. Mary's","V",18,5,NA
2017,2,18,"Delaware","Navy","H",5,11,NA
2017,2,25,"Delaware","Monmouth","H",11,10,1
2017,2,28,"Delaware","VMI","V",15,9,NA
2017,3,4,"Delaware","Villanova","V",13,10,NA
2017,3,7,"Delaware","Manhattan","H",12,9,NA
2017,3,11,"Delaware","Binghamton","H",9,13,NA
2017,3,18,"Delaware","Saint Joseph's","H",12,7,NA
2017,3,25,"Delaware","Rutgers","H",13,9,NA
2017,4,1,"Delaware","Massachusetts","V",6,9,NA
2017,4,8,"Delaware","Hofstra","H",9,11,NA
2017,4,15,"Delaware","Towson","H",6,10,NA
2017,4,22,"Delaware","Drexel","V",9,14,NA
2017,4,28,"Delaware","Fairfield","V",7,11,NA
2017,2,11,"Denver","Air Force","H",14,6,NA
2017,2,18,"Denver","Duke","H",14,9,NA
2017,2,25,"Denver","Cleveland St.","H",19,6,NA
2017,2,26,"Denver","Canisius","H",12,0,NA
2017,3,4,"Denver","North Carolina","H",9,13,NA
2017,3,12,"Denver","Notre Dame","H",11,10,NA
2017,3,19,"Denver","Ohio St.","V",7,16,NA
2017,3,25,"Denver","Towson","V",12,11,NA
2017,4,1,"Denver","Georgetown","H",20,11,NA
2017,4,9,"Denver","Villanova","H",16,11,NA
2017,4,15,"Denver","St. John's (NY)","V",18,12,NA
2017,4,22,"Denver","Providence","H",12,2,NA
2017,4,29,"Denver","Marquette","V",16,8,NA
2017,5,4,"Denver","Marquette","N",8,11,NA
2017,5,13,"Denver","Air Force","H",17,10,NA
2017,5,20,"Denver","Notre Dame","N",16,4,NA
2017,2,11,"Detroit Mercy","Ohio St.","V",8,14,NA
2017,2,15,"Detroit Mercy","Michigan","H",10,15,NA
2017,2,18,"Detroit Mercy","Mercer","N",8,10,NA
