"year","month","day","team","opponent","location","teamscore","oppscore","OT","D1"
2017,2,17,"A&M-Corpus Chris","Bradley","H",10,7,NA,2
2017,2,18,"A&M-Corpus Chris","Bradley","H",5,9,NA,2
2017,2,19,"A&M-Corpus Chris","Bradley","H",6,7,NA,2
2017,2,23,"A&M-Corpus Chris","Missouri","H",6,7,NA,2
2017,2,24,"A&M-Corpus Chris","Illinois","H",14,15,NA,2
2017,2,25,"A&M-Corpus Chris","Missouri","H",0,9,NA,2
2017,2,26,"A&M-Corpus Chris","Houston","H",2,4,NA,2
2017,2,28,"A&M-Corpus Chris","UTSA","H",3,7,NA,2
2017,3,3,"A&M-Corpus Chris","UT Arlington","H",3,7,NA,2
2017,3,3,"A&M-Corpus Chris","UT Arlington","H",6,8,NA,2
2017,3,5,"A&M-Corpus Chris","UT Arlington","H",2,4,NA,2
2017,3,8,"A&M-Corpus Chris","Texas","V",0,15,NA,2
2017,3,11,"A&M-Corpus Chris","UTRGV","V",4,1,NA,2
2017,3,13,"A&M-Corpus Chris","UTRGV","V",7,1,NA,2
2017,3,13,"A&M-Corpus Chris","UTRGV","V",7,6,NA,2
2017,3,15,"A&M-Corpus Chris","Prairie View","V",11,5,NA,2
2017,3,17,"A&M-Corpus Chris","Sam Houston St.","V",3,12,NA,2
2017,3,18,"A&M-Corpus Chris","Sam Houston St.","V",1,19,NA,2
2017,3,19,"A&M-Corpus Chris","Sam Houston St.","V",3,6,NA,2
2017,3,21,"A&M-Corpus Chris","Incarnate Word","H",10,8,NA,2
2017,3,24,"A&M-Corpus Chris","Northwestern St.","H",3,6,NA,2
2017,3,25,"A&M-Corpus Chris","Northwestern St.","H",9,1,NA,2
2017,3,26,"A&M-Corpus Chris","Northwestern St.","H",14,9,NA,2
2017,3,28,"A&M-Corpus Chris","Texas","H",2,12,NA,2
2017,3,31,"A&M-Corpus Chris","New Orleans","V",3,10,NA,2
2017,4,1,"A&M-Corpus Chris","New Orleans","V",8,4,NA,2
2017,4,1,"A&M-Corpus Chris","New Orleans","V",9,10,NA,2
2017,4,4,"A&M-Corpus Chris","UTSA","V",5,2,NA,2
2017,4,7,"A&M-Corpus Chris","Southeastern La.","H",3,2,NA,2
2017,4,8,"A&M-Corpus Chris","Southeastern La.","H",5,4,NA,2
2017,4,9,"A&M-Corpus Chris","Southeastern La.","H",5,8,NA,2
2017,4,13,"A&M-Corpus Chris","Lamar University","V",2,4,NA,2
2017,4,14,"A&M-Corpus Chris","Lamar University","V",2,8,NA,2
2017,4,15,"A&M-Corpus Chris","Lamar University","V",4,6,NA,2
2017,4,18,"A&M-Corpus Chris","UTRGV","H",3,4,NA,2
2017,4,21,"A&M-Corpus Chris","SFA","H",4,9,NA,2
2017,4,22,"A&M-Corpus Chris","SFA","H",8,5,NA,2
2017,4,23,"A&M-Corpus Chris","SFA","H",1,5,NA,2
2017,4,25,"A&M-Corpus Chris","Texas A&M","V",2,5,NA,2
2017,4,28,"A&M-Corpus Chris","Central Ark.","H",4,8,NA,2
2017,4,29,"A&M-Corpus Chris","Central Ark.","H",13,15,NA,2
2017,4,30,"A&M-Corpus Chris","Central Ark.","H",3,2,NA,2
2017,5,2,"A&M-Corpus Chris","UTRGV","V",3,13,NA,2
2017,5,5,"A&M-Corpus Chris","McNeese","V",4,6,NA,2
2017,5,6,"A&M-Corpus Chris","McNeese","V",10,4,NA,2
2017,5,7,"A&M-Corpus Chris","McNeese","V",5,4,NA,2
2017,5,12,"A&M-Corpus Chris","Incarnate Word","V",5,4,NA,2
2017,5,13,"A&M-Corpus Chris","Incarnate Word","V",10,7,NA,2
2017,5,14,"A&M-Corpus Chris","Incarnate Word","V",7,17,NA,2
2017,5,18,"A&M-Corpus Chris","Abilene Christian","H",11,3,NA,2
2017,5,19,"A&M-Corpus Chris","Abilene Christian","H",10,4,NA,2
2017,5,20,"A&M-Corpus Chris","Abilene Christian","H",7,3,NA,2
2017,2,17,"Abilene Christian","Michigan St.","H",2,9,NA,2
2017,2,18,"Abilene Christian","Michigan St.","H",7,9,NA,2
2017,2,18,"Abilene Christian","Michigan St.","H",7,19,NA,2
2017,2,19,"Abilene Christian","Michigan St.","H",5,14,NA,2
2017,2,24,"Abilene Christian","North Dakota St.","H",4,1,NA,2
2017,2,25,"Abilene Christian","North Dakota St.","H",9,1,NA,2
2017,2,26,"Abilene Christian","North Dakota St.","H",5,3,NA,2
2017,3,3,"Abilene Christian","Creighton","H",3,2,NA,2
2017,3,4,"Abilene Christian","Creighton","H",8,7,NA,2
2017,3,5,"Abilene Christian","Creighton","H",4,3,NA,2
2017,3,8,"Abilene Christian","UT Arlington","H",4,5,NA,2
2017,3,10,"Abilene Christian","Incarnate Word","H",3,6,NA,2
2017,3,11,"Abilene Christian","Incarnate Word","H",4,5,NA,2
2017,3,12,"Abilene Christian","Incarnate Word","H",5,0,NA,2
2017,3,15,"Abilene Christian","UT Arlington","V",9,1,NA,2
2017,3,17,"Abilene Christian","New Orleans","V",6,8,NA,2
2017,3,18,"Abilene Christian","New Orleans","V",6,12,NA,2
2017,3,19,"Abilene Christian","New Orleans","V",8,9,NA,2
2017,3,21,"Abilene Christian","TCU","H",0,3,NA,2
2017,3,25,"Abilene Christian","SFA","V",8,11,NA,2
2017,3,25,"Abilene Christian","SFA","V",6,14,NA,2
2017,3,26,"Abilene Christian","SFA","V",2,4,NA,2
2017,3,31,"Abilene Christian","Sam Houston St.","H",3,13,NA,2
2017,4,1,"Abilene Christian","Sam Houston St.","H",3,14,NA,2
2017,4,1,"Abilene Christian","Sam Houston St.","H",12,19,NA,2
2017,4,7,"Abilene Christian","McNeese","H",4,7,NA,2
2017,4,8,"Abilene Christian","McNeese","H",5,18,NA,2
2017,4,9,"Abilene Christian","McNeese","H",5,8,NA,2
2017,4,11,"Abilene Christian","Texas A&M","V",1,8,NA,2
2017,4,13,"Abilene Christian","Houston Baptist","V",7,8,NA,2
2017,4,14,"Abilene Christian","Houston Baptist","V",4,9,NA,2
2017,4,15,"Abilene Christian","Houston Baptist","V",3,10,NA,2
2017,4,21,"Abilene Christian","Lamar University","H",11,17,NA,2
2017,4,22,"Abilene Christian","Lamar University","H",8,13,NA,2
2017,4,23,"Abilene Christian","Lamar University","H",9,0,NA,2
2017,4,25,"Abilene Christian","DBU","H",7,11,NA,2
2017,4,28,"Abilene Christian","Kansas St.","V",1,11,NA,2
2017,4,28,"Abilene Christian","Kansas St.","V",5,6,NA,2
2017,4,30,"Abilene Christian","Kansas St.","V",3,14,NA,2
2017,5,5,"Abilene Christian","Central Ark.","V",1,2,NA,2
2017,5,6,"Abilene Christian","Central Ark.","V",8,16,NA,2
2017,5,7,"Abilene Christian","Central Ark.","V",2,10,NA,2
2017,5,12,"Abilene Christian","Northwestern St.","H",3,10,NA,2
2017,5,13,"Abilene Christian","Northwestern St.","H",9,4,NA,2
2017,5,14,"Abilene Christian","Northwestern St.","H",3,6,NA,2
2017,5,16,"Abilene Christian","DBU","V",6,10,NA,2
2017,5,18,"Abilene Christian","A&M-Corpus Chris","V",3,11,NA,2
2017,5,19,"Abilene Christian","A&M-Corpus Chris","V",4,10,NA,2
