Team,Pre_Tournament,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Game 7,Game 8,Game 9,Game 10,Game 11,Game 12,Game 13,Game 14
Oregon St.,34,50.1,49.4,43,42.7,42.1,80.3,78.8,79.1,77.5,77.9,50.1,52.6,0,0
LSU,28.7,25.8,41.8,37.9,37.8,36.3,10.9,12.8,10.4,22.5,22.1,49.9,47.4,100,100
Florida St.,24.5,22.1,6.1,13,13,21.6,8.8,8.4,10.5,0,0,0,0,0,0
Cal St. Fullerton,12.8,2,2.6,6,6.6,0,0,0,0,0,0,0,0,0,0
Louisville,42.1,41.6,42.2,51.5,50.9,50.1,58.6,62.2,21.2,21.2,0,0,0,0,0
Florida,18,18,17.2,18,28.5,27.9,31.1,27,67.3,66,67.7,70.8,45.2,47.1,100
TCU,17.8,23.6,22.7,20.9,11.5,12.7,6.5,10.8,11.5,12.8,32.3,29.2,54.8,52.9,0
Texas A&M,22.1,16.8,18,9.6,9,9.3,3.8,0,0,0,0,0,0,0,0
