"Team","Power_Rating"
"A&M-Corpus Chris",NA
"Abilene Christian",-1.56913162657734
"Air Force",1.54606304161478
"Alabama",1.6224418426551
"Alabama A&M",-7.2296698536515
"Alabama St.",-0.656177812880659
"Albany (NY)",-0.971688376237994
"Alcorn",-5.48968419311698
"Appalachian St.",0.10670703093687
"Arizona",5.4059821782274
"Arizona St.",2.12565509718646
"Ark.-Pine Bluff",-4.533173059609
"Arkansas",5.3107542226539
"Arkansas St.",0.565740259361383
"Army West Point",-1.58202734142558
"Auburn",3.48891605939425
"Austin Peay",0.144428543201081
"BYU",4.83788668733402
"Ball St.",1.129790781523
"Baylor",4.3954104729952
"Belmont",0.149881043071383
"Bethune-Cookman",1.53953102942091
"Binghamton",2.0648047305745
"Boston College",1.53184484288542
"Bowling Green",-2.81867955785647
"Bradley",-0.332496714421102
"Brown",0.275703637900311
"Bryant",0.202700616166206
"Bucknell",-1.81109376778009
"Buffalo",-1.42772009534767
"Butler",-0.342301042878977
"CSU Bakersfield",1.65350413830456
"CSUN",1.59247442720917
"Cal Poly",3.22795206343266
"Cal St. Fullerton",4.69305143757434
"California",2.65498031224485
"Campbell",0.206014220463231
"Canisius",-0.163514285075426
"Central Ark.",1.99478289345978
"Central Conn. St.",-0.0702810267049716
"Central Mich.",0.269878176619345
"Charleston So.",-0.901034167533483
"Charlotte",3.93550450826121
"Chicago St.",-3.30112383081571
"Cincinnati",1.72351069141134
"Clemson",4.85794867470731
"Coastal Caro.",3.12867025374789
"Col. of Charleston",1.19611036058545
"Columbia",1.29023797612181
"Coppin St.",-6.33296332381026
"Cornell",1.09841074376015
"Creighton",0.314705636162224
"DBU",3.32034296378993
"Dartmouth",1.33280050896273
"Davidson",0.685310609351911
"Dayton",-1.64244457485851
"Delaware",2.40603531541737
"Delaware St.",-3.48550639158827
"Duke",3.10303932336833
"ETSU",1.20440291117241
"East Carolina",3.05183248246593
"Eastern Ill.",-1.52439842130882
"Eastern Ky.",-1.45744351652352
"Eastern Mich.",0.16243826654994
"Elon",-0.109230004022924
"Evansville",-0.823084424626861
"FGCU",2.93304874131906
"FIU",2.33374785940203
"Fairfield",0.37396715874679
"Fairleigh Dickinson",-4.17778012889409
"Fla. Atlantic",3.56703262985794
"Florida",4.58841008125045
"Florida A&M",-0.272093972804672
"Florida St.",5.56825061548994
"Fordham",-0.715756865587617
"Fort Wayne",-5.79732319184046
"Fresno St.",3.62665464637343
"Furman",1.89005523338594
"Ga. Southern",2.28383159714911
"Gardner-Webb",-0.765826731289215
"George Mason",-0.172546810040428
"George Washington",-0.384258486795451
"Georgetown",-1.04369748156113
"Georgia",1.94979043948927
"Georgia St.",-1.16352790863025
"Georgia Tech",3.08825978974097
"Gonzaga",3.88083620245948
"Grambling",-4.47799054111622
"Grand Canyon",1.94914205303575
"Hartford",-1.65012747754135
"Harvard",0.0788719166322078
"Hawaii",2.40690995131779
"High Point",-0.139896208103232
"Hofstra",-2.28463301245239
"Holy Cross",-0.582080978251533
"Houston",4.33569432457343
"Houston Baptist",1.36377013102214
"Ill.-Chicago",3.19733749957061
"Illinois",1.15906773977424
"Illinois St.",-0.4429230000156
"Incarnate Word",-2.39584443090234
"Indiana",3.04567672257016
"Indiana St.",1.5688897705233
"Iona",-1.62659765710519
"Iowa",2.26406960793017
"Jackson St.",-1.20168602643311
"Jacksonville",1.81429731216332
"Jacksonville St.",0.687285311548661
"James Madison",-0.112015810857084
"Kansas",2.45553060878846
"Kansas St.",2.93932796317676
"Kennesaw St.",0.759580857009635
"Kent St.",1.9933689307567
"Kentucky",6.3555352292457
"LIU Brooklyn",-2.56334741835212
"LSU",5.78574637562353
"La Salle",-3.9730551189764
"La.-Monroe",-2.36681967496349
"Lafayette",-4.78414268894919
"Lamar University",2.33102564820452
"Lehigh",-1.68171418731671
"Liberty",2.8723735370402
"Lipscomb",0.60782208653922
"Little Rock",1.05312309073961
"Long Beach St.",4.77896659520225
"Longwood",-2.74246887934568
"Louisiana",2.93401127536198
