"Team","Power_Rating"
"Louisiana Tech",4.57270345085365
"Louisville",5.83504878480174
"Loyola Marymount",3.89197949247713
"Maine",-0.784656314091123
"Manhattan",-2.48977076417038
"Marist",0.91047524478859
"Marshall",0.632795543396849
"Maryland",2.86268777987104
"Massachusetts",-2.34424281042128
"McNeese",3.88461667946355
"Memphis",1.42194521625115
"Mercer",1.90948355372273
"Miami (FL)",2.88582921927501
"Miami (OH)",-0.282973976938436
"Michigan",4.12575301144494
"Michigan St.",3.53949609730849
"Middle Tenn.",1.06730463165137
"Milwaukee",0.600447050511286
"Minnesota",2.56744030341749
"Mississippi St.",3.35202647486576
"Mississippi Val.",-6.05460409544966
"Missouri",3.73273487456564
"Missouri St.",4.55509818906791
"Monmouth",-0.477511616053726
"Morehead St.",1.4961634226519
"Mt. St. Mary's",-6.7564221441264
"Murray St.",0.121663153967504
"N.C. A&T",-1.59944316680337
"N.C. Central",-1.09990335878513
"NJIT",-4.43887260979939
"NYIT",-6.11130633246019
"Navy",0.36292080060306
"Nebraska",3.57769996669266
"Nevada",1.02416912033553
"New Mexico",4.40421856779182
"New Mexico St.",3.08632130125687
"New Orleans",2.2962349205546
"Niagara",-0.508335015992897
"Nicholls St.",0.464840266060363
"Norfolk St.",-2.58919742162717
"North Carolina",6.35275605413488
"North Carolina St.",4.20322726727278
"North Dakota St.",-1.0761583657856
"North Florida",2.29603790803216
"Northeastern",0.173523769175648
"Northern Colo.",-1.08962183458708
"Northern Ill.",-1.54691965122605
"Northern Ky.",-0.584951247884367
"Northwestern",0.91011731232507
"Northwestern St.",-0.473459779878388
"Notre Dame",1.52232132275089
"Oakland",-1.10284156333916
"Ohio",0.303059395899535
"Ohio St.",0.977034343865415
"Oklahoma",3.97297717379304
"Oklahoma St.",3.88030060181658
"Old Dominion",3.4553548789819
"Ole Miss",3.51003814376691
"Omaha",-3.3810629536738
"Oral Roberts",3.14164671360621
"Oregon",3.20842374345991
"Oregon St.",6.06795272496736
"Pacific",0.447035167415939
"Penn",0.00473128466933916
"Penn St.",-0.864248592877752
"Pepperdine",1.65655049956481
"Pittsburgh",2.01089504861029
"Portland",-0.656891966519644
"Prairie View",-6.12067661971053
"Presbyterian",0.355125068286036
"Princeton",-1.51566921363091
"Purdue",1.15074678375413
"Quinnipiac",-2.08668663184031
"Radford",0.452774590059821
"Rhode Island",1.18586360447448
"Rice",3.28726985285934
"Richmond",-1.6622657313926
"Rider",-1.72103871344713
"Rutgers",0.414675438715677
"SFA",1.63991214568609
"SIUE",-1.12673130584561
"Sacramento St.",1.80852021882832
"Sacred Heart",-1.46798750399115
"Saint Joseph's",-0.51020641894332
"Saint Louis",1.18568405492605
"Saint Mary's (CA)",3.40794424850783
"Saint Peter's",-9.23560003135904
"Sam Houston St.",4.37148811587733
"Samford",1.38584849581129
"San Diego",3.90681923848059
"San Diego St.",4.3791515193117
"San Francisco",2.97846049729862
"San Jose St.",0.446878424267675
"Santa Clara",-0.325940933712746
"Savannah St.",-4.57891904888612
"Seattle U",-0.719780624491824
"Seton Hall",1.84533000677996
"Siena",-2.32223483236173
"South Ala.",4.71785492991023
"South Carolina",3.96594082585047
"South Dakota St.",-0.484461823196082
"South Fla.",3.62956175439134
"Southeast Mo. St.",1.26509577983811
"Southeastern La.",4.05677288739911
"Southern California",1.82971984345159
"Southern Ill.",-0.0278667035119749
"Southern Miss.",5.82868617290851
"Southern U.",-5.28195327991616
"St. Bonaventure",-0.317178116026032
"St. John's (NY)",3.43549728710875
"Stanford",5.04504622832856
"Stetson",1.10767487071545
"Stony Brook",0.760139662038124
"TCU",4.93989077024844
"Tennessee",2.84686069436685
"Tennessee Tech",2.21108971537538
"Texas",5.04748052688909
"Texas A&M",4.63571009814047
"Texas Southern",-4.15594605600224
"Texas St.",1.28726755510298
"Texas Tech",6.01023406995527
"The Citadel",-1.15571273723114
"Toledo",-1.65174693379713
"Towson",-1.92135430288644
"Troy",1.81706291923477
"Tulane",1.73571846237685
"UAB",0.319945271023456
"UC Davis",1.99813207188665
"UC Irvine",2.04138101474266
"UC Riverside",1.9234405113364
"UC Santa Barbara",2.56496889501238
"UCF",4.5777877545598
"UCLA",4.71759815856416
"UConn",2.66230838531085
"UMBC",-0.74844366963022
"UMES",-5.98654838295038
"UMass Lowell",0.911815078851327
"UNC Asheville",-2.15682128317471
"UNCG",2.23406380438816
"UNCW",1.34213863832641
"UNLV",0.603614502322794
"USC Upstate",-0.954464091504614
"UT Arlington",2.30706575358732
"UT Martin",-0.955646311509615
"UTRGV",-0.680941718473845
"UTSA",2.94410807202954
"Utah",4.26950113612242
"Utah Valley",-2.28445920820814
"VCU",1.55595530364482
"VMI",-0.737721491358385
"Valparaiso",0.466492349072657
"Vanderbilt",5.5017090950773
"Villanova",-2.62167768804251
"Virginia",5.28467879253855
"Virginia Tech",2.22597620495697
"Wagner",-2.13126707245881
"Wake Forest",5.3401840435442
"Washington",3.81296820532132
"Washington St.",1.58172184705829
"West Virginia",4.41708977149687
"Western Caro.",1.54287766563773
"Western Ill.",-2.1194022761653
"Western Ky.",-0.91941881294779
"Western Mich.",-0.576054616989126
"Wichita St.",1.79109719204855
"William & Mary",1.0571542609117
"Winthrop",0.416470061980567
"Wofford",0.913894042246575
"Wright St.",2.06707007661173
"Xavier",2.04824800597363
"Yale",2.11198966555338
"Youngstown St.",-2.52402427068866
