"
              Name
          ","team","Yr","Pos","WAR","FIP","FIPR","dPRW","RAAP","WPGAA","replacement.level","WPGAR","app","gs","w","l","sv","cg","ip","h","r","er","bb","k","k/7","hr","era","ipg"
"Meghan  Wimmer","Brown","Sophomore","P/UT",0.912783765955796,5.82794668859297,6.25555783622733,10.0908519119753,-0.270478867040976,-0.0268043639328396,0.0872727272727273,0.0604683633398876,22,14,6,11,0,8,105.6666,141,90,65,55,41,2.72,12,4.31,4.80302727272727
"Katie  Orona","Brown","Junior","P",3.57785537183412,4.0609609693981,4.48857211703247,9.43273923428209,1.49650685215389,0.15865029393742,0.0995454545454545,0.258195748482875,22,17,5,11,0,8,97,111,76,48,37,51,3.68,3,3.46,4.40909090909091
"Emily  Waters","Brown","Freshman","P",-0.214132554921459,6.6994489419067,7.12706008954106,10.1865173307808,-1.1419811203547,-0.112107119957864,0.0621428571428571,-0.0499642628150071,14,5,1,4,1,1,30,41,32,23,12,10,2.33,6,5.37,2.14285714285714
"Gina  Chieffallo","Brown","Senior","P",0.699815279766054,4.62709251220373,5.05470365983809,9.77067356869234,0.930375309348263,0.0952212048439952,0.084,0.179221204843995,10,6,3,1,0,3,27.3333,30,16,11,17,11,2.82,0,2.82,2.73333
"Leah  Nakashima","Brown","Senior","P/OF",0.19935603361531,5.46085245067862,5.88846359831299,9.9634703385654,0.0966153708733684,0.00969695975300908,0.06375,0.0734469597530091,8,3,1,2,0,1,19,27,20,20,10,10,3.68,2,7.37,2.375
"Lisa  Nelson","Cornell","Fr","P",0.873560917553502,5.90632179414037,6.33393294177473,10.1235872779719,-0.348853972588377,-0.0344595214136648,0.0975,0.0630404785863352,20,15,5,7,0,6,97,121,78,66,56,55,3.97,13,4.76,4.85
"Maddie  Orcutt","Cornell","Jr","P",-0.0282176625141044,6.54211679897384,6.9697279466082,10.3244840000099,-0.984648977421846,-0.0953702845992986,0.093,-0.00237028459929861,20,14,5,10,0,7,83.3333,88,66,52,58,54,4.54,14,4.37,4.166665
"Katie  Lew","Cornell","Fr","P",1.50313766929926,4.99915260235639,5.42676374999075,9.80889421761079,0.558315219195602,0.0569192823175938,0.084,0.140919282317594,20,12,2,8,1,2,74.6666,110,80,66,31,32,3,6,6.19,3.73333
"Cora  Geunes","Cornell","Fr","P",-0.716196036467114,8.70899111884304,9.1366022664774,10.3327601353675,-3.15152329729105,-0.305003044298285,0.0364285714285714,-0.268574472869714,14,1,1,3,1,0,18.6666,36,30,27,18,5,1.87,4,10.13,1.33332857142857
"Madison  Canby","Columbia","Fr","P",3.67063714734262,4.75789643049117,5.18550757812553,9.69647099568095,0.799571391060824,0.082460040505146,0.0935294117647059,0.175989452269852,34,24,12,11,2,9,146,194,115,88,53,64,3.07,11,4.22,4.29411764705882
"Erin  Gallo","Columbia","Fr","P",1.113168312356,5.17217621463397,5.59978736226833,9.88626922898791,0.385291606918027,0.0389723967650303,0.0790909090909091,0.118063305855939,22,12,4,6,2,3,66,81,54,45,36,40,4.24,6,4.77,3
"Tonia  Wu","Columbia","Sr","P/OF",1.38053093690915,4.82418012470239,5.25179127233676,9.74580131194306,0.7332876968496,0.0752413961026465,0.080625,0.155866396102647,16,9,2,8,0,4,62,78,50,37,12,44,4.97,10,4.18,3.875
"Maura  Lynch","Columbia","Jr","P/UT",0.26784398024726,5.39085975779413,5.8184709054285,9.95453489890543,0.166608063757859,0.0167369008647685,0.04125,0.0579869008647685,16,2,2,3,1,1,32.3333,54,29,20,10,5,1.08,3,4.33,2.02083125
"Breanna  Ethridge","Dartmouth","Jr","P",2.57399840951798,5.46469611538482,5.89230726301919,9.94289035826668,0.0927717061671691,0.0093304565196213,0.1003125,0.109642956519621,32,25,9,18,1,17,164.3333,163,112,94,48,98,4.17,28,4,5.135415625
"Morgan  Ebow","Dartmouth","Fr","P",-1.19992382537767,8.21802023123744,8.6456313788718,10.5971634006294,-2.66055240968545,-0.25106269565754,0.0915789473684211,-0.159483748289119,19,13,2,8,0,1,52.6666,99,85,71,40,9,1.2,11,9.44,2.77192631578947
"Tessa  Grossman","Dartmouth","Fr","OF",-1.30621577551493,8.8829578201421,9.31056896777646,10.604580695087,-3.3254899985901,-0.313589956473315,0.042,-0.271589956473315,15,2,0,2,0,1,33.6666,66,64,50,42,6,1.25,5,10.4,2.24444
"Kathleen  Duncan","Harvard","So","",4.7166345844339,3.77678988423307,4.20440103186743,9.35370226013215,1.78067793731893,0.190371458038453,0.0878571428571429,0.278228600895595,28,18,9,7,3,6,118.6666,171,79,59,29,57,3.36,4,3.48,4.23809285714286
"Taylor  Cabe","Harvard","Sr","",3.07780626481792,4.22365008033174,4.65126122796611,9.56648673856513,1.33381774122025,0.139426079570389,0.0819230769230769,0.221349156493466,26,15,7,8,2,3,97.3333,112,62,57,39,59,4.24,5,4.1,3.74358846153846
"Sarah  Smith","Harvard","So","",0.920075682844284,4.202479244937,4.63009039257136,9.7164336603109,1.354988576615,0.139453283373896,0.0557142857142857,0.195167569088182,14,4,4,3,2,1,33,38,17,15,15,25,5.3,2,3.18,2.35714285714286
"Olivia  Giaquinto","Harvard","Fr.","",0.246064306589262,5.53626780283037,5.96387895046473,9.97766018927871,0.0212000187216246,0.00212474852013948,0.075,0.0771247485201395,8,4,2,1,0,0,22.3333,25,16,15,19,13,4.07,1,4.7,2.7916625
"Alissa  Hiener","Harvard","Fr.","",0.0332649485674247,3.56611560857336,3.99372675620772,9.8166461129692,1.99135221297863,0.202854639971973,0.03,0.232854639971973,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
"Alexis  Sargent","Penn","Sr","P",5.05628677018499,3.88150022395798,4.30911137159234,9.25633950509334,1.67596759759402,0.181061595317653,0.0912,0.272261595317653,25,17,13,9,0,14,130,126,60,47,29,101,5.44,12,2.53,5.2
"Courtney  Cuzick","Penn","Sr","P",2.91055488530075,3.3305132676285,3.75812441526286,9.36073851316116,2.22695455392349,0.237903724240604,0.0821052631578947,0.320008987398498,19,11,4,3,0,3,63.6666,74,41,31,12,32,3.52,1,3.41,3.35087368421053
"Mason  Spichiger","Penn","Jr","P",0.499833402989105,5.54031170431026,5.96792285194462,9.97766769601141,0.0171561172417354,0.00171945165588082,0.066,0.0677194516558808,15,6,3,5,0,1,51.6666,55,32,31,15,30,4.06,9,4.2,3.44444
"Jennifer  Brann","Penn","Fr","P",0.879961361798119,4.17975266952457,4.60736381715893,9.74203896483071,1.37771515202743,0.141419589574734,0.0685714285714286,0.209991018146163,14,6,2,1,0,1,29.3333,48,29,26,8,16,3.82,2,6.2,2.09523571428571
"Claire  Klausner","Princeton","Sr","P/UT",2.21773708132115,5.37986970993557,5.80748085756993,9.89650640405863,0.177598111616425,0.017945535966469,0.1155,0.133445535966469,20,19,11,6,1,11,116.3333,126,64,59,34,69,4.15,19,3.55,5.816665
"Erica  Nori","Princeton","Sr","P",2.10222569109908,4.85527223507939,5.28288338271375,9.71276697480433,0.702195586472608,0.0722961426228136,0.105,0.177296142622814,18,15,9,3,0,4,83,75,44,39,40,52,4.39,7,3.29,4.61111111111111
"Ashley  Laguardia","Princeton","Jr","P",-0.144186996844083,6.75812071578153,7.18573186341589,10.3032788222732,-1.20065289422954,-0.116531146535025,0.0923076923076923,-0.0242234542273326,13,9,3,6,0,1,41.6666,60,48,43,33,22,3.7,6,7.22,3.20512307692308
"Riley  Wilkinson","Princeton","So","P",0.335553869497398,5.27686082406527,5.70447197169964,9.93768020130578,0.280606997486719,0.0282366701083667,0.03,0.0582366701083667,21,0,2,3,4,0,40.3333,54,29,21,14,19,3.3,5,3.64,1.92063333333333
"Caroline  Taber","Princeton","Fr","P",-0.130559916713056,13.3163593646673,13.7439705123016,10.844669638587,-7.75889154311527,-0.715456699161025,0.03,-0.685456699161025,1,0,0,0,0,0,1.3333,2,4,4,5,1,5.25,0,21,1.3333
"Terra  Jerpbak","Yale","So.","P/UTY",3.45552200918253,4.32071729851305,4.74832844614741,9.56779745668388,1.23675052303895,0.129261779279721,0.0933333333333333,0.222595112613054,27,19,7,8,1,9,108.6666,148,86,67,30,69,4.44,10,4.32,4.02468888888889
"Francesca  Casalino","Yale","Jr.","P",2.441004604227,4.39566106311882,4.82327221075318,9.5768818341217,1.16180675843318,0.121313677933641,0.0728571428571428,0.194170820790784,21,10,3,11,1,3,88,100,69,51,32,70,5.57,9,4.06,4.19047619047619
"Lindsay  Efflandt","Yale","Sr.","P",1.83290450729627,4.75387168021097,5.18148282784533,9.78727378358515,0.803596141341024,0.0821062288753775,0.075,0.157106228875377,28,14,5,8,1,2,81.6666,97,65,56,30,42,3.6,7,4.8,2.91666428571429
"Mary  Baumann","Yale","Fr.","P",-0.0240246135593284,6.1161219835893,6.54373313122366,10.0712671728447,-0.558654162037304,-0.0554700965081744,0.0428571428571429,-0.0126129536510315,7,1,2,1,0,0,13.3333,24,16,15,6,5,2.63,2,7.88,1.90475714285714
