"players","WAR","GP","GS","ipg","dPRW","RAAP","WPGAA","replacement.level","WPGAR","ERA","W","L","G","CG","SHO","SV","IP","H","R","ER","BB","SO","KL","h2B","h3B","HR","AB","BAA","WP","HPB","BK","FIP","FIPR","GP.1"
"Lynch, Maura (COL)",0.59527368846767,17,3,2.17647058823529,9.48896543542458,0.633265024829331,0.06673699352568,0.0458823529411765,0.112619346466856,3.41,2,4,"17-3",0,"0-0",0,37,57,22,18,8,5,2,11,1,2,162,0.352,1,2,0,4.06275509828833,5.02715411275596,17
"Casalino, Francesca (YALE)",0.512544858483994,26,7,2.08974230769231,9.58412334873328,0.113118129696929,0.0118026579563878,0.0542307692307692,0.066033427187157,3.61,2,5,"26-7",1,"1-1",0,54.3333,46,35,28,20,45,11,14,2,9,205,0.224,1,0,0,4.58290199342074,5.54730100788836,26
"Ladd, Grace (BRWN)",0.436437641405438,18,1,1.22222222222222,9.50328707565493,0.987073378637684,0.103866522265367,0.035,0.138866522265367,3.18,2,1,"18-1",0,"0-1",2,22,20,14,10,10,7,2,3,0,0,84,0.238,5,2,0,3.70894674447998,4.67334575894761,18
"Abramson, Abigail (PENN)",0.35545116301218,18,5,2.64814444444444,9.6097619100903,-0.0269150706786476,-0.00280080515318352,0.055,0.0521991948468165,4.85,4,6,"18-5",2,"0-0",0,47.6666,52,37,33,32,39,11,8,2,5,194,0.268,8,3,0,4.72293519379631,5.68733420826394,18
"Geunes, Cora (COR)",0.221438225661042,6,0,1.88888333333333,9.44508345604236,1.00846167683856,0.1067710710585,0.03,0.1367710710585,9.27,0,0,"6-0",0,"0-0",0,11.3333,14,16,15,4,2,1,2,4,0,46,0.304,0,3,0,3.6875584462791,4.65195746074673,6
"Baumann, Mary (YALE)",0.126786986023565,7,3,1.47618571428571,9.58340741508517,0.165954014323018,0.017316806761423,0.0685714285714286,0.0858882353328516,6.1,0,2,"7-3",0,"0-0",0,10.3333,20,9,9,8,4,0,6,0,0,47,0.426,2,1,0,4.53006610879465,5.49446512326227,7
"Curran, Ciana (PENN)",0.0269711619775645,9,2,1.96295555555556,9.66598281871361,-0.380001419929309,-0.0393132728514286,0.05,0.0106867271485714,5.95,1,1,"9-2",0,"0-0",0,17.6666,24,22,15,19,10,4,1,0,0,75,0.32,1,3,0,5.07602154304697,6.0404205575146,9
"Wimmer, Meghan (BRWN)",-0.00080195370361656,26,11,1.97435769230769,9.71278693308499,-0.662278813975901,-0.0681862804711548,0.0680769230769231,-0.000109357394231735,6.68,3,7,"26-11",3,"0-1",0,51.3333,69,55,49,36,32,9,17,3,6,216,0.319,9,6,0,5.35829893709357,6.32269795156119,26
"Orcutt, Maddie (COR)",-0.111092161286339,8,3,2.583325,9.81809623101192,-0.995340054367524,-0.10137811149412,0.06375,-0.0376281114941198,5.76,0,4,"8-3",0,"0-0",0,20.6666,35,25,17,11,8,3,4,1,3,92,0.38,1,4,0,5.69136017748519,6.65575919195282,8
"Dyer, Tabitha (PENN)",-0.199018232284365,27,5,1.22222222222222,9.6915586805932,-0.861411469847166,-0.0888826553330471,0.0466666666666667,-0.0422159886663804,6.36,1,1,"27-5",0,"0-0",0,33,49,33,30,23,18,9,6,1,4,143,0.343,5,3,0,5.55743159296483,6.52183060743246,27
"Giaquinto,Olivia (HARV)",-0.372441913185077,30,8,1.06666666666667,9.72088045110192,-1.31690389408959,-0.135471668509236,0.054,-0.0814716685092357,5.91,2,3,"30-8",0,"0-0",0,32,42,31,27,20,14,6,11,1,5,130,0.323,2,4,0,6.01292401720725,6.97732303167488,30
"Hiener,Alissa (HARV)",-0.456065552333534,15,1,1.6,9.82524284639479,-1.66065389408959,-0.169019119430614,0.036,-0.133019119430614,6.13,0,3,"15-1",0,"0-0",0,24,28,25,21,30,11,5,8,2,1,95,0.295,4,6,0,6.35667401720725,7.32107303167488,15
"LaGuardia, Ashley (PRIN)",-0.675163234669083,15,12,3.88888666666667,10.20935862885,-1.86851308429484,-0.183019634457224,0.102,-0.0810196344572239,7.44,3,7,"15-12",3,"0-0",0,58.3333,74,70,62,60,31,8,13,1,7,244,0.303,19,13,0,6.56453320741251,7.52893222188013,15
"Orona, Katie (BRWN)",-0.770556759788012,15,10,3.6,10.1839629398542,-1.93380204223774,-0.189886987379927,0.09,-0.0998869873799275,7.26,1,7,"15-10",2,"0-0",0,54,61,63,56,55,10,0,12,2,4,209,0.292,17,9,0,6.6298221653554,7.59422117982303,15
"Taber, Caroline (PRIN)",-1.17035077599626,11,1,1.66666363636364,10.2975373160958,-4.99475700154978,-0.485043836038604,0.0381818181818182,-0.446862017856785,10.69,0,3,"11-1",0,"0-0",0,18.3333,17,30,28,41,13,3,4,0,2,62,0.274,10,9,0,9.69077712466745,10.6551761391351,11
