"
              Name
          ","team","Yr","Pos","WAR","FIP","FIPR","dPRW","RAAP","WPGAA","replacement.level","WPGAR","app","gs","w","l","sv","cg","ip","h","r","er","bb","k","k/9","hr","era","ipg"
"Christian  Taugner","Brown","Senior","RHP",2.59356985235444,4.30121282783225,4.12665088152693,10.3135675360316,2.32889960656595,0.225809313647258,0.12,0.345809313647258,9,9,4,4,0,5,60,62,23,18,12,35,5.25,5,2.7,6.66666666666667
"Max  Ritchie","Brown","Senior","RHP",3.09043637357761,3.46068215677467,3.44907442679926,9.9742550165545,3.00647606129362,0.301423620741971,0.12,0.421423620741971,9,9,1,6,0,2,58.6666,65,25,21,11,39,5.98,2,3.22,6.51851111111111
"Reid  Anderson","Brown","Junior","RHP",1.28694731169771,4.97462978933387,4.66951206796481,11.0070937890359,1.78603842012807,0.162262487661105,0.093,0.255262487661105,10,7,1,4,1,0,40.3333,45,31,26,26,41,9.15,4,5.8,4.03333
"Will  Tomlinson","Brown","Freshman","RHP",1.14957134895777,3.94079616116559,3.83610842348969,11.0700792016411,2.61944206460319,0.236623606470211,0.0507692307692308,0.287392837239441,13,3,2,1,0,0,32,39,16,15,11,27,7.59,2,4.22,2.46153846153846
"Garett  Delano","Brown","Freshman","INF/RHP",1.03691312039026,4.36991272868579,4.18203188886354,10.8676058183106,2.27351859922934,0.209201422764041,0.0942857142857143,0.303487137049756,7,5,2,0,0,0,27.3333,17,8,6,4,24,7.9,4,1.98,3.90475714285714
"Samuel  Hauser","Brown","Senior","RHP",0.201077493877345,6.34010171672114,5.77025908344861,11.5431545816051,0.685291404644268,0.0593677750565978,0.03,0.0893677750565978,16,0,1,3,0,0,18,15,10,7,10,18,9,4,3.5,1.125
"Dante  Bosnic","Brown","Junior","RHP",0.54807389092167,3.5888935619208,3.55242940520268,11.3424338263841,2.9031210828902,0.255952216898734,0.03,0.285952216898734,14,0,0,1,1,0,15.3333,18,12,10,1,16,9.39,2,5.87,1.09523571428571
"Bobby  Leyman","Brown","Sophomore","RHP/INF",0.0799005680211985,7.41246157492236,6.63471985321209,11.6311792458004,-0.179169365119214,-0.0154042304166111,0.06,0.0445957695833889,9,3,1,3,1,0,14.3333,27,22,22,8,12,7.53,4,13.81,1.59258888888889
"JJ  Sliepka","Brown","Sophomore","RHP",0.307417740508326,5.17989824337973,4.83498499613866,11.4460947385278,1.62056549195422,0.141582393731144,0.03,0.171582393731144,12,0,0,1,3,0,14.3333,14,8,4,8,15,9.42,2,2.51,1.19444166666667
"Calvin  Farris","Brown","Freshman","",0.172888802719506,5.96636434298377,5.46897841230121,11.5069164578858,0.986572075791665,0.0857373110687319,0.04,0.125737311068732,9,1,1,0,0,0,11,15,13,11,6,10,8.18,2,9,1.22222222222222
"Cameron  Deere","Brown","Freshman","",0.299064131018431,3.53454616116559,3.50861836963267,10.9525268466882,2.94693211846021,0.269064131018431,0.03,0.299064131018431,3,0,0,0,0,0,8,4,3,2,2,4,4.5,0,2.25,2.66666666666667
"Jake  Spezial","Brown","Senior","RHP",0.0658759160623919,5.11787949449892,4.7849898615882,11.4681872652484,1.67056062650468,0.145669109499712,0.03,0.175669109499712,3,0,0,0,0,0,3,8,3,3,2,1,3,0,9,1
"Sam  Grigo","Brown","Junior","OF",0.0323092285212115,5.78454616116559,5.32240943714843,11.4185438089664,1.13314105094445,0.099236914084846,0.03,0.129236914084846,1,0,0,1,0,0,2,2,3,2,2,1,4.5,0,9,2
"Paul  Balestrieri","Cornell","Sr","RHP",1.57635689892802,3.76720510065569,5.36740499969903,11.0263853672626,1.08814548839385,0.0986856029560293,0.12,0.218685602956029,9,9,5,4,0,0,57.6666,50,23,14,15,36,5.62,2,2.18,6.4074
"Tim  Willittes","Cornell","Sr","RHP",0.308207117967309,5.32454616116559,7.19046397771878,11.9136146048013,-0.734913489625896,-0.0616868611252306,0.111,0.0493131388747695,10,9,4,3,0,2,50,64,40,34,18,34,6.12,7,6.12,5
"Justin  Lewis","Cornell","Jr","LHP",1.11994050593668,3.87213752991211,5.49024129554466,11.1992303843792,0.96530919254822,0.0861942436593361,0.11,0.196194243659336,9,8,3,2,0,1,45.6666,49,32,27,14,45,8.87,4,5.32,5.07406666666667
"Tommy  Morris","Cornell","Jr","",0.502671638044786,4.61433427796145,6.35907374291197,11.565415445238,0.096476745180909,0.0083418313538086,0.12,0.128341831353809,6,6,2,2,0,0,31.3333,33,16,16,10,15,4.31,2,4.6,5.22221666666667
"Scott  Soltis","Cornell","Sr","RHP",-0.149781591648327,5.8086474240602,7.75716396140877,11.9074941451309,-1.30161347331589,-0.109310444116249,0.066,-0.043310444116249,10,4,3,1,0,0,27.6666,30,18,15,10,13,4.23,4,4.88,2.76666
"Jeb  Bemiss","Cornell","Fr","RHP",-0.600092151937843,7.18161497607387,9.36439110368215,12.0300514629528,-2.90884061558927,-0.241797853030571,0.03,-0.211797853030571,13,0,1,2,2,0,22.6666,29,14,12,12,12,4.76,5,4.76,1.74358461538462
"Peter  Lannoo","Cornell","Sr","RHP",0.335405949573148,3.73692711354654,5.3319608971608,11.4917370164299,1.12358959093207,0.0977736950754849,0.03,0.127773695075485,17,0,0,0,8,0,21,20,9,9,6,16,6.86,1,3.86,1.23529411764706
"Jamie  Flynn","Cornell","Sr","RHP",0.258602686134791,3.72204616116559,5.31454091477705,11.4903740278863,1.14100957331583,0.0993013430673954,0.03,0.129301343067395,13,0,1,0,0,0,16,14,5,4,9,14,7.88,0,2.25,1.23076923076923
"Matt  Horton","Cornell","Sr","LHP",0.173829402762649,3.93839231501174,5.56780065866394,11.5334214983381,0.887749829428941,0.0769719401616304,0.03,0.10697194016163,13,0,2,1,0,0,13,12,7,7,10,14,9.69,0,4.85,1
"John  Natoli","Cornell","Fr","RHP",0.0237947519018873,4.78454616116559,6.5583276569771,11.6144081850326,-0.102777168884223,-0.00884910942054463,0.03,0.0211508905794554,11,0,0,0,1,0,9,12,6,6,2,5,5,1,6,0.818181818181818
"Colby  Wyatt","Cornell","Fr","RHP",-0.293223786975571,7.8956572722767,10.2002653073407,11.958467665095,-3.74471481924777,-0.313143366200508,0.0525,-0.260643366200508,8,2,0,2,0,0,9,14,15,13,4,7,7,3,13,1.125
"Adam  Saks","Cornell","So","RHP",-0.00221058049858033,5.0702788144892,6.89281282028775,11.6357413230047,-0.437262332194866,-0.037579241412867,0.03,-0.00757924141286705,3,0,0,0,0,0,2.3333,1,0,0,3,3,11.57,0,0,0.777766666666667
"Nick  Cintron","Cornell","Fr","LHP",0.0413835559869913,1.78454616116559,3.04645920841225,11.3233097108171,3.40909127968063,0.301068447895931,0.03,0.331068447895931,1,0,0,0,0,0,1,0,0,0,0,1,9,0,0,1
