"
              Name
          ","team","Yr","Pos","WAR","FIP","FIPR","dPRW","RAAP","WPGAA","replacement.level","WPGAR","app","gs","w","l","sv","cg","ip","h","r","er","bb","k","k/9","hr","era","ipg"
"Rob  Pannullo","Cornell","Sr","RHP",-0.0396594025089651,9.78514622117159,12.4121441818526,11.7728450406347,-5.95659369375975,-0.505960426150196,0.03,-0.475960426150196,2,0,0,0,0,0,0.6666,0,0,0,2,1,13.5,0,0,0.3333
"Josh  Simpson","Columbia","So","LHP",2.52959207381177,3.8738318754513,3.93750056678379,10.4323106875129,2.51804992130909,0.241370296258824,0.12,0.361370296258824,10,10,4,3,0,1,56,65,32,25,14,38,6.11,3,4.02,5.6
"Ty  Wiest","Columbia","Jr","RHP",1.07037993130354,5.60854907957025,5.3933551558741,11.2385834172119,1.06219533221878,0.0945132756315199,0.111,0.20551327563152,10,9,2,3,0,0,41.6666,40,21,20,14,35,7.56,8,4.32,4.16666
"Ethan  Abrams","Columbia","So","RHP",1.35894674175746,4.34206927182596,4.33046695962127,11.0010016262941,2.12508352847161,0.193171822045034,0.0954545454545454,0.28862636749958,11,8,1,4,1,0,37.6666,53,30,26,15,25,5.97,2,6.21,3.42423636363636
"Ian  Burns","Columbia","So","RHP",0.699634532458558,5.13748733763617,4.99801844213699,11.33208904211,1.45753204595589,0.128619889990249,0.036,0.164619889990249,15,1,3,1,2,0,34,24,17,14,16,14,3.71,2,3.71,2.26666666666667
"Brett  Gannaway","Columbia","Jr","RHP",0.793197878130447,4.34925270787917,4.33649563006892,11.2738461118524,2.11905485802396,0.187962017309794,0.036,0.223962017309794,15,1,0,2,4,0,28.3333,41,19,16,5,19,6.04,3,5.08,1.88888666666667
"Leo  Pollack","Columbia","Fr","LHP",0.77457150282196,3.56066523000002,3.67467669160245,11.2377215510336,2.78087379649043,0.247458862889751,0.03,0.277458862889751,14,0,1,1,0,0,22.3333,27,14,11,5,10,4.03,0,4.43,1.59523571428571
"Harrisen  Egly","Columbia","Jr","RHP",0.51519664860727,4.44556535106114,4.41732563696051,11.3504458247823,2.03822485113237,0.179572228491867,0.03,0.209572228491867,13,0,2,3,1,0,19.6666,28,17,16,17,19,8.69,0,7.32,1.51281538461538
"Zack  Bahm","Columbia","Jr","RHP",0.305754094747246,5.80179101848431,5.55553269288401,11.4623980337896,0.90001779520887,0.0785191538939532,0.048,0.126519153893953,10,2,1,2,0,0,19.3333,30,22,20,9,7,3.26,2,9.31,1.93333
"Jordan  Chriss","Columbia","Fr","RHP",0.104510659366244,6.8956572722767,6.47355564305329,11.6101014240346,-0.0180051549604068,-0.00155081805944723,0.048,0.0464491819405528,10,2,1,1,0,0,18,29,10,9,5,12,6,5,4.5,1.8
"Ben  Wereski","Columbia","Fr","LHP",0.13596857558876,7.00676838338781,6.56680520593647,11.6259431037644,-0.111254717843592,-0.00956952196055118,0.07,0.0604304780394488,9,4,2,1,0,0,18,16,20,18,27,18,9,1,9,2
"Dan  Harrington","Columbia","Fr","RHP",0.0547289323648963,6.78454616116559,6.3803060801701,11.6011302834636,0.0752444079227788,0.00648595490993089,0.03,0.0364859549099309,12,0,0,1,0,0,12,20,16,13,5,9,6.75,3,9.75,1
"Ryan  Marks","Columbia","Sr","LHP",0.145661817845048,5.95121282783225,5.68093435854621,11.5428493066616,0.774616129546673,0.0671078785633653,0.03,0.0971078785633653,12,0,0,0,0,0,12,9,7,5,12,5,3.75,0,3.75,1
"Nick  O'Brien","Columbia","Fr","RHP",0.0729345654519375,7.07026044687987,6.62009067044115,11.6313960940496,-0.16454018234827,-0.0141462109120715,0.0975,0.0833537890879285,4,3,1,0,0,0,7,6,13,12,6,4,5.14,1,15.43,1.75
"Jack  Harlan","Columbia","Fr","LHP",-0.0955135850422872,10.9846181618856,9.90519998347554,11.9268094469838,-3.44964949538266,-0.289234896450454,0.06,-0.229234896450454,3,1,0,0,0,0,3.3333,5,5,5,8,0,0,0,13.5,1.1111
"Bryce  Barr","Columbia","Jr","RHP",-0.0750115347800695,10.1178794944989,9.17779296666568,11.8342541906716,-2.7222424785728,-0.230030759413519,0.03,-0.200030759413519,3,0,0,1,0,0,3,8,7,6,4,3,9,1,18,1
"Will  West","Columbia","Fr","RHP",-0.103586437924156,11.6597430410876,10.4717958823699,11.7858959835968,-4.016245394277,-0.340767082949541,0.03,-0.310767082949541,5,0,0,0,0,0,2.6666,4,10,10,9,3,10.13,0,33.75,0.53332
"Michael  Danielak","Dartmouth","Sr","RHP",1.51607911029292,3.52592547151041,5.46840684348651,11.0772679527612,0.987143644606366,0.0891143600404021,0.12,0.209114360040402,9,9,7,2,0,2,58,57,22,17,10,55,8.53,5,2.64,6.44444444444444
"Cole  O'Connor","Dartmouth","So","RHP",0.962509270117637,3.89245990786612,5.92983623420054,11.3818629078287,0.525714253892336,0.0461887705158297,0.12,0.16618877051583,9,9,4,2,0,0,46.3333,57,28,22,9,24,4.66,2,4.27,5.14814444444444
"Beau  Sulser","Dartmouth","Sr","RHP",1.99766707979882,2.38454616116559,4.03152695579459,10.3088166156307,2.42402353229828,0.235140814186457,0.12,0.355140814186457,7,7,6,1,0,4,45,31,10,7,5,52,10.4,2,1.4,6.42857142857143
"Jack  Fossand","Dartmouth","Jr","RHP",0.328195468561782,4.32387321583312,6.47294149279608,11.6121777987547,-0.0173910047032031,-0.00149765229267056,0.09,0.0885023477073294,9,6,1,1,1,0,29.6666,36,23,20,11,15,4.55,1,6.07,3.29628888888889
"Michael  Parsons","Dartmouth","Fr","LHP",0.115627927065391,4.29591037862492,6.43773913892204,11.6040515120172,0.0178113491708363,0.00153492503479416,0.03,0.0315349250347942,13,0,0,0,1,0,29.3333,27,16,14,5,26,7.98,4,4.3,2.25640769230769
"Chris  Burkholder","Dartmouth","Sr","RHP",0.327165404951247,3.74966235911023,5.75006871611135,11.5082645539048,0.705481771981529,0.0613021858054312,0.03,0.0913021858054312,17,0,0,1,8,0,28.6666,19,10,7,16,31,9.73,1,2.2,1.68627058823529
"Austen  Michel","Dartmouth","Fr","RHP",0.715341132515613,2.43672007420906,4.0972085794537,11.1964774394367,2.35834190863918,0.210632488780134,0.0381818181818182,0.248814306961952,11,1,0,2,0,0,23,28,14,12,2,25,9.78,1,4.7,2.09090909090909
"Jackson  Bubala","Dartmouth","Sr","RHP",0.175948738923657,4.15296721379716,6.25778830508225,11.5760883051472,0.197762183010628,0.017083679546803,0.057,0.074083679546803,10,3,1,4,0,0,19,26,20,16,12,21,9.95,1,7.58,1.9
"Marc  Bachman","Dartmouth","Jr","LHP",-0.0471115872429604,4.83106022282619,7.11143809339316,11.6509239554806,-0.655887605300276,-0.0562949005423513,0.03,-0.0262949005423513,18,0,0,0,1,0,14.3333,10,3,3,4,5,3.14,1,1.88,0.796294444444444
"Clay  Chatham","Dartmouth","Jr","RHP",-0.289723844122932,6.6345532861834,9.38185151936191,12.0718917167455,-2.92630103126903,-0.24240616963204,0.0685714285714286,-0.173834741060612,7,3,0,0,0,0,13.3333,21,18,12,4,13,8.78,4,8.1,1.90475714285714
"Patrick  Peterson","Dartmouth","Jr","RHP",0.124465738715929,3.86349394510129,5.89337104778338,11.5650143287749,0.562179440309502,0.0486103539803444,0.03,0.0786103539803444,14,0,2,3,0,0,12.6666,16,8,7,9,13,9.24,0,4.97,0.904757142857143
"Sam  Fichthorn","Dartmouth","Jr","RHP",0.0803462814559498,4.19363892976908,6.30898983830464,11.5850095421844,0.146560649788245,0.0126508872741601,0.075,0.0876508872741601,4,2,1,1,0,0,7.3333,13,6,4,3,3,3.68,0,4.91,1.833325
"Tyler  Fagler","Dartmouth","Fr","RHP",0.0509317515329844,3.78454616116559,5.79398385731399,11.5430825916407,0.66156663077889,0.0573128213825645,0.03,0.0873128213825645,4,0,0,0,0,0,4.6666,4,2,2,2,3,5.79,0,3.86,1.16665
"Alec  Vaules","Dartmouth","Fr","RHP",-0.00891380138170312,4.98459416308566,7.30472163098442,11.6663685102381,-0.849171142891536,-0.072787958150501,0.03,-0.042787958150501,2,0,0,0,0,0,1.6666,4,3,3,2,2,10.8,0,16.2,0.8333
"Zac  Bygum","Dartmouth","So","RHP",-0.10344739313742,10.5347149153844,14.2917563625237,12.0427345379729,-7.83620587443082,-0.650699876321431,0.03,-0.620699876321431,2,0,0,0,0,0,1.3333,2,2,2,3,0,0,0,13.5,0.66665
"Eric  Stolt","Dartmouth","Fr","LHP",-0.0294257932808032,6.78454616116559,9.57067721771269,11.737197597858,-3.11512672961981,-0.265406346246425,0.03,-0.235406346246425,2,0,0,0,0,0,1,3,4,4,1,0,0,0,36,0.5
"Ian  Miller","Harvard","Jr.","RHP",1.43447513390606,5.45667730870657,5.59407191989236,11.1694823786219,0.861478568200519,0.07712788641391,0.111,0.18812788641391,10,9,3,5,0,6,61,58,33,33,20,44,6.49,10,4.87,6.1
"Kevin  Stone","Harvard","So.","RHP",1.36648370793007,5.38218024260587,5.52765417305843,11.1718051384261,0.927896315034453,0.0830569727575089,0.111,0.194056972757509,10,9,4,2,0,0,56.3333,57,35,33,25,25,3.99,5,5.27,5.63333
"Noah  Zavolas","Harvard","Jr.","RHP",2.40119035106564,3.82026044687987,4.13512693678831,10.4042180686326,2.32042355130457,0.223027193009378,0.12,0.343027193009378,9,9,3,6,0,1,56,80,46,37,15,41,6.59,3,5.95,6.22222222222222
"Simon  Rosenblum0Larson","Harvard","So.","RHP",1.96152101132053,4.31284804795804,4.57429266900279,10.6841907951259,1.88125781909009,0.176078643218194,0.12,0.296078643218194,9,9,3,4,0,2,53,56,38,26,28,54,9.17,4,4.42,5.88888888888889
"Grant  Stone","Harvard","Fr.","RHP",0.892249486881604,3.99384897349771,4.28988952567462,11.1370814345385,2.16566096241826,0.194454981329495,0.0545454545454545,0.24900043587495,11,3,3,2,0,0,28.6666,30,18,15,9,17,5.34,1,4.71,2.60605454545455
"Garrett  Rupp","Harvard","Jr.","RHP",0.252697932743476,5.6768596759764,5.7903751770818,11.5323376956158,0.665175311011084,0.057679139179558,0.035625,0.093304139179558,16,1,0,1,1,0,21.6666,32,23,19,13,12,4.98,2,7.89,1.3541625
"Kieran  Shaw","Harvard","Fr.","RHP",0.305812925385401,5.33142357816155,5.48240214548675,11.4920647311387,0.973148342606128,0.0846800262070661,0.03,0.114680026207066,15,0,2,1,3,0,21.3333,27,18,16,20,20,8.44,1,6.75,1.42222
"Hunter  Bigge","Harvard","Fr.","RHP",0.459510751832309,3.85121282783225,4.16272248530593,11.249146275355,2.29282800278694,0.203822400977231,0.04125,0.245072400977231,8,1,1,0,1,0,15,15,10,10,9,13,7.8,0,6,1.875
"Matt  Hink","Harvard","Sr.","1B/P",0.422796257986175,3.35597228360057,3.72119152562737,11.1643357581308,2.73435896246551,0.244919090728181,0.045,0.289919090728181,6,1,0,0,0,0,11.6666,16,8,5,1,4,3.09,0,3.86,1.94443333333333
"JT  Bernard","Harvard","Fr.","LHP",0.345857559132036,3.6963106075316,4.02461964461103,11.3523037199717,2.43093084348185,0.214135465668101,0.03,0.244135465668101,9,0,0,2,0,0,11.3333,14,11,10,9,14,11.12,0,7.94,1.25925555555556
"John  Fallon","Harvard","Jr.","INF",0.00974066151369432,3.78454616116559,4.10328591926797,11.5420665023914,2.35226456882491,0.203799256254289,0.03,0.233799256254289,1,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0.3333
"Jake  Cousins","Penn","Sr","RHP",2.51593224182884,3.74085679836038,4.61210761506178,10.6484388751445,1.84344287303109,0.173118604017538,0.12,0.293118604017538,11,11,7,2,0,3,68.6666,72,27,24,21,59,7.73,4,3.15,6.24241818181818
"Mike  Reitcheck","Penn","Sr","LHP",2.21834325969477,3.76916154578097,4.64074373787431,10.7137458116677,1.81480675021857,0.1693904990953,0.103636363636364,0.273026862731664,11,9,4,4,0,3,65,64,29,25,9,40,5.54,4,3.46,5.90909090909091
"Adam  Bleday","Penn","Sr","LHP",2.67465616316461,3.05526399029146,3.91848828825727,10.4477844779016,2.53706219983561,0.242832555093554,0.111818181818182,0.354650736911736,11,10,2,5,1,2,60.3333,61,39,32,26,74,11.04,2,4.77,5.48484545454545
"Gabe  Kleiman","Penn","Jr","LHP",1.23450282172546,4.34424848907951,5.22256346201689,11.0974623332079,1.23298702607599,0.111105313003535,0.11,0.221105313003535,9,8,3,0,0,1,44.6666,47,22,21,20,37,7.46,3,4.23,4.96295555555556
"Mitchell  Holcomb","Penn","Fr","RHP",0.863209307295681,4.32709992983981,5.20521413749726,11.1993051927268,1.25033635059562,0.111644100154323,0.10875,0.220394100154323,8,7,1,1,0,0,31.3333,39,19,16,10,26,7.47,3,4.6,3.9166625
"Billy  Lescher","Penn","Jr","RHP",0.921725872330124,3.00807465943441,3.87074649237464,11.2259630098953,2.58480399571824,0.230252317190055,0.03,0.260252317190055,16,0,2,2,4,0,28.3333,20,11,10,9,31,9.85,1,3.18,1.77083125
"Grant  Guillory","Penn","So","RHP/INF",0.241274603913461,4.76730647626958,5.65057436414489,11.5263441669513,0.804976123947991,0.0698379392709826,0.03,0.0998379392709826,16,0,1,1,0,0,19.3333,13,12,6,16,21,9.78,1,2.79,1.20833125
"Jake  Nelson","Penn","So","RHP",0.502544312139104,3.09704616116559,3.96075962029731,11.2747618684178,2.49479086779557,0.221272156069552,0.03,0.251272156069552,10,0,1,2,3,0,16,11,8,4,5,13,7.31,0,2.25,1.6
"Christian  Scafidi","Penn","Fr","RHP",-0.0258409956543871,6.09223846885789,6.9910178838915,11.6654096186687,-0.535467395798623,-0.0459021511719305,0.03,-0.0159021511719305,10,0,0,1,0,0,13,16,11,10,4,17,11.77,4,6.92,1.3
"John alan  Kendrick","Penn","So","LHP",0.213476528647234,3.66916065820018,4.53957209851739,11.469025498198,1.91597838957549,0.167056773034162,0.03,0.197056773034162,10,0,0,3,0,0,8.6666,13,10,7,7,11,11.42,0,7.27,0.86666
"Andrew  Burnick","Penn","Sr","RHP",0.287898217571865,2.65954616116559,3.51813762673861,11.3898145129124,2.93741286135427,0.257898217571865,0.03,0.287898217571865,9,0,1,1,0,0,8,6,3,2,5,12,13.5,0,2.25,0.888888888888889
"Jack  Hartman","Penn","Jr","LHP",0.112703448153681,4.56716166216994,5.44808637187696,11.5001253119935,1.00746411621592,0.0876046207222825,0.03,0.117604620722283,6,0,1,0,0,0,7.6666,8,7,7,3,8,9.39,1,8.22,1.27776666666667
"Chris  Rabasco","Penn","So","RHP",-0.28341302381279,14.2846511622156,15.2793425430677,12.4244102634807,-8.82379205497487,-0.710198059131288,0.03,-0.680198059131288,3,0,0,0,0,0,3.3333,10,10,6,3,0,0,2,16.2,1.1111
"Nick  Pedalino","Penn","Sr","RHP",-0.132526213085946,13.9849541774862,14.976136881709,12.7907680910906,-8.52058639361614,-0.666151268863297,0.03,-0.636151268863297,1,0,0,0,0,0,1.6666,4,4,4,2,1,5.4,1,21.6,1.6666
"Jordan  Della valle","Penn","Jr","RHP",-0.0245266064601145,12.7854462511746,13.7625858196895,11.8103535571256,-7.30703533159665,-0.618697424785227,0.03,-0.588697424785227,1,0,0,0,0,0,0.3333,1,0,0,1,0,0,0,0,0.3333
"Chad  Powers","Princeton","Sr","P",1.66431791040942,3.50640028159878,4.88382798407924,10.8749008330936,1.57172250401364,0.14452752518264,0.12,0.26452752518264,9,9,1,3,0,0,50.3333,57,27,22,14,41,7.33,2,3.93,5.59258888888889
"Ben  Gross","Princeton","Jr","P",1.87285769192992,3.15616735820693,4.48827604950294,10.7087697242971,1.96727443858993,0.183706857952729,0.12,0.303706857952729,9,9,3,5,0,1,49.3333,56,29,23,13,48,8.76,2,4.2,5.48147777777778
"James  Proctor","Princeton","Fr","P",0.302763236763394,5.61063311768732,7.26034176540234,11.9501821207556,-0.804791277309457,-0.0673455240411489,0.12,0.0526544759588511,9,9,1,6,0,1,46,55,43,34,24,20,3.91,4,6.65,5.11111111111111
"Chris  Giglio","Princeton","Sr","P",1.19378191632068,3.69432052941699,5.09606450613627,11.1051464850915,1.35948598195661,0.122419455140164,0.093,0.215419455140164,10,7,3,3,0,0,44.3333,59,28,26,17,34,6.9,1,5.28,4.43333
"Ryan  Smith","Princeton","So","P",0.518386509159926,4.01096146910456,5.45367776261286,11.4669265651905,1.00187272548002,0.0873706411028522,0.03,0.117370641102852,21,0,1,1,5,0,35.3333,43,22,15,13,35,8.92,3,3.82,1.6825380952381
"Eli  Kimbell","Princeton","Fr","OF/P",0.408328784557646,3.78454616116559,5.19796504375819,11.4327362552649,1.25758544433469,0.109998640417822,0.03,0.139998640417822,14,0,2,1,0,0,23.3333,24,20,19,14,21,8.1,0,7.33,1.66666428571429
"Andrew  Gnazzo","Princeton","Fr","P",-0.0138587945138567,5.58454943389881,7.23088293702177,11.7390154876974,-0.775332448928891,-0.0660474849651101,0.06,-0.00604748496511012,9,3,1,3,0,0,18.3333,23,20,19,18,17,8.35,1,9.33,2.03703333333333
"Nick  Brady","Princeton","Jr","P",-0.207132787897093,6.50548272148317,8.27098202305814,11.8045303842762,-1.81543153496526,-0.15379108493663,0.0381818181818182,-0.115609266754812,11,1,0,1,0,0,14.3333,25,13,12,6,9,5.65,3,7.53,1.30302727272727
"Conor  Nolan","Princeton","Fr","OF/P",-0.129066492364406,6.16690610928308,7.88859468876348,11.8329717596719,-1.4330442006706,-0.121106027274955,0.03,-0.0911060272749552,6,0,0,1,1,0,11.3333,10,11,11,15,9,7.15,0,8.74,1.88888333333333
"Bryce  Keller","Princeton","Sr","P",0.0699327138256469,4.61213807559258,6.1326446838703,11.5837536716458,0.322905804222581,0.0278757485160424,0.03,0.0578757485160424,11,0,0,1,0,0,9.6666,14,14,13,10,11,10.24,0,12.1,0.878781818181818
"T.  Ramsey","Princeton","So","P",-0.158025724559932,6.5776688723567,8.35250882913655,11.798412499744,-1.89695834104367,-0.160780811917267,0.03,-0.130780811917267,8,0,0,0,0,0,9.6666,18,13,13,3,4,3.72,2,12.1,1.208325
"Keelan  Smithers","Princeton","Sr","P",-0.222476815033391,7.64170279386784,9.5542253097932,11.9516966235688,-3.09867482170032,-0.259266522511099,0.0685714285714286,-0.19069509393967,7,3,0,2,0,0,9.3333,9,22,20,18,9,8.68,0,19.29,1.33332857142857
"Eric  Rojas","Princeton","Fr","P",-0.286707749544902,9.60814408584705,11.7751177654201,12.2353977327426,-5.31956727732719,-0.434768643694493,0.03,-0.404768643694493,4,0,0,0,0,0,5.6666,8,15,13,13,3,4.76,0,20.65,1.41665
"Kevin  Thomsen","Princeton","Jr","P",-0.176897063482396,21.7845461611656,25.5271070142505,13.1966970279703,-19.0715565261576,-1.44517650785917,0.03,-1.41517650785917,1,0,0,0,0,0,1,4,5,5,3,2,18,1,45,1
"Scott  Politz","Yale","So.","RHP",2.68402210802549,3.94039031700974,4.7679883431316,10.6229893995631,1.68756214496128,0.158859439794856,0.12,0.278859439794856,11,11,9,2,0,6,77,76,33,31,15,62,7.25,7,3.62,7
"Eric  Brodkowitz","Yale","Jr.","RHP",1.68537104977501,4.40688724876249,5.23543804179849,11.07642635477,1.22011244629439,0.11015397992232,0.105,0.21515397992232,12,10,5,2,0,1,62.6666,69,38,32,31,53,7.61,4,4.6,5.22221666666667
"Alex  Stiegler","Yale","Fr.","RHP/SS",0.652678921387228,4.89959238248633,5.72914946970754,11.4173933132967,0.726401018385339,0.0636223171482911,0.075,0.138622317148291,12,6,2,3,0,1,37.6666,59,36,32,8,30,7.17,6,7.65,3.13888333333333
"Tyler  Duncan","Yale","Jr.","RHP",0.255126427391821,5.65954783527422,6.49065704505478,11.6158022124766,-0.035106556961904,-0.00302231015299107,0.0576923076923077,0.0546699975393166,13,4,1,3,1,0,37.3333,54,36,31,15,20,4.82,5,7.47,2.87179230769231
"Mason  Kukowski","Yale","Jr.","RHP/IF",0.188778084747679,5.81484919146862,6.64627558660203,11.6448645094262,-0.190725098509152,-0.0163784729616017,0.0621428571428571,0.0457643841812555,14,5,2,1,2,0,33,32,26,21,24,22,6,3,5.73,2.35714285714286
"Kumar  Nambiar","Yale","So.","LHP",0.0794554218829055,5.89679536983744,6.72838913071793,11.6604525008094,-0.27283864262505,-0.0233986324806959,0.0428571428571429,0.019458510376447,14,2,3,1,1,0,32.6666,39,22,19,10,26,7.16,7,5.23,2.33332857142857
"Griffin  Dey","Yale","So.","1B/RHP",0.14303083582553,5.4988318754513,6.32961284116706,11.5901150914085,0.125937646925817,0.0108659530930087,0.03,0.0408659530930087,17,0,6,0,2,0,28,21,10,9,16,13,4.18,2,2.89,1.64705882352941
"Tyler  Sapsford","Yale","Fr.","RHP/MIF",0.319809438899497,4.81086330105656,5.64023916922282,11.4844570422528,0.81531131887006,0.070992587274298,0.03,0.100992587274298,14,0,1,1,0,0,25.3333,22,15,12,11,23,8.17,3,4.26,1.80952142857143
"Thomas  Espig","Yale","Fr.","LHP",0.591621776900056,4.0657966006194,4.89365075480923,11.3297300209567,1.56189973328365,0.137858512991448,0.084,0.221858512991448,10,6,1,0,0,0,21.3333,24,14,10,12,15,6.33,0,4.22,2.13333
