"
              Name
          ","Yr","team","Pos","WAR","wOBA","wRAA","wSB","wGDP","br.runs","rep.runs","g","ab","r","h","h.1b","h.2b","h.3b","hr","rbi","bb","k","sb","cs","avg","obp","slg","hbp","sf","sh","tb","xbh","hdp","go","fo","go/fo","pa"
"Sarah  Fringer","Freshman","Brown","2B/SS",0.184642306183219,0.246511627906977,-0.305177135316249,-0.114183901339612,0,-0.114183901339612,2.50497981331631,20,36,2,8,8,0,0,0,2,4,11,0,0,0.222,0.3,0.222,1,2,0,23,7,0,7,13,0.54,41
"Meghan  Wimmer","Sophomore","Brown","P/UT",0.225707549311023,0.255526315789474,-0.0153629876551165,0.120949606764884,0,0.120949606764884,2.44388274469884,27,36,4,14,7,6,0,1,7,2,3,1,0,0.389,0.415,0.639,0,0,0,8,0,0,7,8,0.88,40
"Annie  Scarangella","Sophomore","Brown","3B/1B",0.0345253170327531,0.19325,-1.96606982522673,-0.08783377026124,0,-0.08783377026124,2.44388274469884,22,34,1,6,4,2,0,0,6,5,10,0,0,0.176,0.3,0.235,1,0,0,8,2,0,9,8,1.13,40
"Ashli  Lotz","Sophomore","Brown","OF",0.0216021987511437,0.225714285714286,-0.16610607219463,-0.017566754052248,0,-0.017566754052248,0.427679480322297,3,6,0,1,1,0,0,0,0,1,3,0,0,0.167,0.286,0.167,0,0,0,1,0,0,0,1,0,7
"Rebecca  Mandelbaum","Freshman","Brown","UT",0.0833022045180673,0.79,0.836308881487293,-0.017566754052248,0,-0.017566754052248,0.122194137234942,7,1,2,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,2
"Jessica  Bigbie","Sr","Cornell","OF",0.415559949594813,0.216273291925466,-5.04185194492826,-0.160118458071084,-0.00181619147136388,-0.161934649542448,9.8977251160303,42,145,22,38,26,11,1,0,16,13,16,1,0,0.262,0.329,0.352,2,1,1,51,12,2,42,40,1.05,162
"Megan  Murray","Jr","Cornell","INF",1.04370173394967,0.27746835443038,2.70454472737874,-0.751166483575591,-0.00092079637534183,-0.752087279950933,9.83662804741282,42,143,25,49,35,12,0,2,20,5,5,0,1,0.343,0.386,0.469,7,3,3,67,14,1,45,40,1.13,161
"Bridgette  Rooney","Fr","Cornell","INF",1.41156629484249,0.318783783783784,7.37278832577375,-0.593065697105359,0,-0.593065697105359,9.16456029262064,42,136,18,37,18,7,2,10,30,10,20,0,1,0.272,0.324,0.574,1,1,2,78,19,0,28,49,0.57,150
"Madeline  Avery","So","Cornell","C",0.989425578007532,0.280425531914894,2.69509329442347,-0.133768326992712,0,-0.133768326992712,8.61468667506341,41,126,19,39,24,11,0,4,17,10,14,1,0,0.31,0.376,0.492,4,1,0,62,15,0,29,42,0.69,141
"Tori  Togashi","Jr","Cornell","C",0.556330099750772,0.239166666666667,-1.76814023139808,-0.133768326992712,-0.00109728234728235,-0.134865609339994,8.18700719474111,40,120,16,34,26,8,0,0,10,7,7,1,0,0.283,0.348,0.35,5,0,2,42,8,1,32,45,0.71,134
"Rebecca  Kubena","Jr","Cornell","INF",0.434172950419801,0.228467741935484,-2.82609544069633,-0.272284687809844,-0.00115503404977089,-0.273439721859615,8.0037159888887,40,114,9,28,22,4,2,0,12,9,8,0,0,0.246,0.298,0.316,0,1,7,36,6,1,47,37,1.27,131
"Olivia  Lam","So","Cornell","C",1.16197717974664,0.321965811965812,6.14560289949757,-0.289851441862092,-0.00124220643088568,-0.291093648292978,7.27055116547904,38,106,13,32,22,5,0,5,20,11,16,0,0,0.302,0.368,0.491,0,0,2,52,10,1,31,26,1.19,119
"Sarah  Murray","Fr","Cornell","INF",0.461023767847113,0.24989010989011,-0.446186564654322,-0.0283678026792239,0,-0.0283678026792239,5.6820273814248,27,89,14,28,24,4,0,0,9,2,15,1,0,0.315,0.33,0.36,0,0,2,32,4,0,31,13,2.38,93
"Erin  Rockstroh","Fr","Cornell","INF",0.124349337479883,0.201911764705882,-2.92345027255222,0.112334827208129,0,0.112334827208129,4.2156977346055,32,61,9,12,10,2,0,0,4,7,12,3,1,0.197,0.279,0.23,0,0,1,14,2,0,17,19,0.89,69
"Ivey  Wagner","So","Cornell","OF",0.31486319216987,0.248,-0.420614098993218,-0.114015303870243,-0.00235131931560503,-0.116366623185848,4.09350359737055,33,56,6,12,11,1,0,0,4,5,10,2,1,0.214,0.323,0.232,4,0,2,13,1,1,18,18,1,67
"Zoe  Hernandez","Jr","Cornell","OF",0.314405258094049,0.265094339622642,0.383859251701662,-0.13175065539186,0,-0.13175065539186,3.29924170534343,25,46,7,10,8,1,0,1,4,7,13,0,0,0.217,0.321,0.304,0,0,1,14,2,0,14,8,1.75,54
"Michiko  McGivney","Sr","Cornell","OF",0.504035194806897,0.546,4.54163227611021,-0.070267016208992,0,-0.070267016208992,1.22194137234942,8,18,6,10,6,2,0,2,2,2,1,0,0,0.556,0.6,1,0,0,0,18,4,0,3,4,0.75,20
"Kim  Dolhon","So","Cornell","INF/OF",0.00770988813115037,0.186666666666667,-0.977527036074033,-0.035133508104496,0,-0.035133508104496,1.09974723511448,11,16,3,3,3,0,0,0,1,1,2,0,0,0.188,0.222,0.188,0,1,0,3,0,0,7,5,1.4,18
"Madison  Gott","Jr","Columbia","SS",2.10903645915512,0.358922155688623,13.7798115776213,-0.404035343201704,-0.000849508914025043,-0.404884852115729,10.4475987335875,48,155,26,59,36,13,0,10,40,10,19,0,0,0.381,0.413,0.658,0,2,4,102,23,1,29,47,0.62,171
"Kerry  Cook","Sr","Columbia","1B",0.444085663605267,0.219151515151515,-4.79219563596616,-0.333768326992712,0,-0.333768326992712,10.1421133905002,48,151,24,40,25,12,2,1,17,3,15,0,0,0.265,0.293,0.391,10,1,0,100,25,0,38,34,1.12,166
"Sommer  Grzybek","Fr","Columbia","OF",2.13727612850909,0.364050632911392,13.9589552601956,0.101533778581153,0,0.101533778581153,10.0810163218827,48,145,28,53,28,13,2,10,35,10,15,4,1,0.366,0.44,0.69,3,0,8,59,15,0,64,33,1.94,165
"Bonnie  Schipper","So","Columbia","C/UT",1.02042343257775,0.291287878787879,3.67349745429097,-0.272116090340475,-0.00114499027542506,-0.2732610806159,8.12591012612364,45,115,17,35,23,8,1,3,20,13,13,2,1,0.304,0.38,0.47,2,2,4,43,10,1,30,38,0.79,133
"Jordan  Townsend","So","Columbia","3B",0.645956758541462,0.255,-0.104305459136721,-0.601849074131483,-0.00118625118625119,-0.603035325317734,8.0037159888887,45,111,16,25,15,6,0,4,14,14,22,0,1,0.225,0.318,0.387,1,0,2,54,12,1,30,35,0.86,131
"Amber  Swinarski","Fr","Columbia","OF",1.29412601224132,0.318076923076923,6.36638907733699,0.248833516424409,-0.00119703528794438,0.247636481136464,8.0037159888887,39,110,30,29,27,0,1,1,10,15,13,5,1,0.264,0.377,0.309,5,0,1,34,2,1,38,27,1.41,131
"Alexandra  Yule","So","Columbia","INF",0.41840320058428,0.234716981132076,-1.86811071283339,-0.245934556731472,-0.00277208171945014,-0.248706638450922,6.84287168515675,39,95,1,23,17,5,0,1,16,9,19,0,0,0.242,0.321,0.326,2,0,6,31,6,2,30,27,1.11,112
"Taylor  Troutt","Jr","Columbia","2B",0.652544594261135,0.266923076923077,0.905299578533786,-0.0108010486269759,0,-0.0108010486269759,6.47628927345192,36,94,15,21,14,3,0,4,10,10,15,1,0,0.223,0.298,0.383,0,0,2,36,7,0,31,24,1.29,106
"Olivia  Parker","Jr","Columbia","OF",0.886300416160287,0.297473684210526,3.27889382071767,0.563017417764021,-0.00154910449028096,0.56146831327374,6.17080393036457,39,85,19,25,24,1,0,0,4,10,10,6,1,0.294,0.368,0.306,0,0,6,26,1,1,36,16,2.25,101
"Krystin  Wong","So","Columbia","UT",-0.101357520739979,0.154736842105263,-4.67933930058019,-0.070267016208992,0,-0.070267016208992,3.60472704843079,24,55,4,10,6,3,0,1,6,2,11,0,0,0.182,0.211,0.291,0,0,2,16,4,0,24,11,2.18,59
"Amanda  Nishihira","Fr","Columbia","C/OF",0.0760309208793241,0.19804347826087,-2.13370802094456,0.120949606764884,0,0.120949606764884,2.87156222502114,22,40,4,7,4,2,0,1,5,5,8,1,0,0.175,0.267,0.3,0,1,2,12,3,0,17,11,1.55,47
"Maura  Lynch","Jr","Columbia","P/UT",0.134261886061276,0.222727272727273,-1.19915215065166,-0.08783377026124,-0.00693020429862535,-0.0947639745598653,2.81046515640366,29,38,5,7,4,2,0,1,4,6,6,0,0,0.184,0.289,0.316,0,0,1,12,3,2,10,15,0.67,46
"Genny  Soltesz","Fr","Columbia","OF",0.454256356096744,0.351395348837209,3.28634069329775,-0.843579690191883,0,-0.843579690191883,2.68827101916872,27,34,10,11,10,1,0,0,3,9,2,0,2,0.324,0.465,0.353,0,0,1,12,1,0,14,6,2.33,44
"Reilly  Metzger","So","Columbia","UT",-0.0819833940807707,0.1264,-2.74052704588865,0.164866491895504,0,0.164866491895504,1.64962085267172,14,23,6,2,2,0,0,0,0,2,5,1,0,0.087,0.16,0.087,0,0,2,2,0,0,12,4,3,27
"Nina  Mandracchia","Jr","Columbia","C",-0.0370200034601542,0,-0.601448972209154,0,0,0,0.183291205852413,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Emma  Trussell","Fr","Columbia","C/OF",-0.0246800023067694,0,-0.40096598147277,0,0,0,0.122194137234942,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
"Morgan  Martinelli","So","Dartmouth","3B",1.23189727922322,0.311384615384615,5.80993739444776,-0.0810680648359679,-0.00103680221790458,-0.0821048670538725,8.18700719474111,39,127,15,41,29,6,0,6,26,3,7,1,0,0.323,0.348,0.512,0,0,4,59,12,1,37,36,1.03,134
"Maddie  Damore","Sr","Dartmouth","1B",1.20897791302742,0.303257575757576,4.88315203563982,0.710148558137908,-0.00215858822416199,0.707989969913746,8.06481305750617,40,122,20,35,23,6,0,6,18,8,11,5,0,0.287,0.331,0.484,2,0,0,65,12,2,37,39,0.95,132
"Calista  Almer","Fr","Dartmouth","SS",0.923267921043968,0.277460317460317,2.16618358606428,0.383276233294596,-0.00225083558416892,0.381025397710427,7.88152185165375,37,117,23,39,30,7,1,1,13,5,11,12,5,0.333,0.365,0.436,2,2,3,51,9,2,37,28,1.32,129
"Karen  Chaw","Sr","Dartmouth","C",1.39050756925006,0.339370078740158,8.28963903317452,-0.342551704018836,0,-0.342551704018836,7.75932771441881,38,115,11,39,28,6,0,5,19,8,13,0,0,0.339,0.394,0.522,3,1,0,60,11,0,36,27,1.33,127
"Alyssa  Jorgensen","Sr","Dartmouth","2B",1.34401953041895,0.333193277310924,7.55447319308546,-0.0102952562188697,0,-0.0102952562188697,7.63713357718387,39,104,15,33,30,1,2,0,12,13,10,7,3,0.317,0.403,0.365,2,0,6,38,3,0,48,17,2.82,125
"Claire  Bird","Jr","Dartmouth","C",0.696810946559931,0.277128712871287,1.75243928919179,-0.357932189000863,0,-0.357932189000863,6.47628927345192,37,96,17,28,20,4,2,2,13,5,25,1,1,0.292,0.324,0.438,0,0,2,35,5,0,29,15,1.93,106
"Lourlin  Lara","Jr","Dartmouth","UT",0.87470962219388,0.298,3.45202677142667,0.0158862773901334,-0.00286247568856265,0.0130238017015708,6.41519220483445,34,92,14,28,23,3,2,0,9,12,14,5,2,0.304,0.385,0.38,0,1,3,42,8,2,23,22,1.05,105
"Tiffany  Dyson","Jr","Dartmouth","OF",0.618972959575011,0.27010101010101,1.1029154996591,-0.219415828183731,-0.00162560347745533,-0.221041431661187,6.1097068617471,36,81,7,16,15,0,1,0,6,4,17,2,1,0.198,0.235,0.222,13,1,4,29,7,1,19,17,1.12,100
"Chloe  Madill","Sr","Dartmouth","SS",0.204985485538404,0.216585365853659,-2.84079093589416,-0.461315041713499,-0.00342010082269823,-0.464735142536198,5.62093031280733,37,77,9,16,9,4,0,3,16,5,25,0,1,0.208,0.354,0.377,0,0,7,18,1,2,27,20,1.35,92
"Micah  Schroder","Fr","Dartmouth","SS",0.279539844800209,0.230263157894737,-1.53271356064809,0.0506825905558921,-0.00381663425141686,0.0468659563044752,4.64337721492779,33,69,5,15,12,1,1,1,7,5,6,1,0,0.217,0.263,0.304,0,2,0,21,3,2,21,27,0.78,76
"Taylor  Ward","So","Dartmouth","IF",-0.0071535863805171,0.176666666666667,-1.67772360031309,-0.052700262156744,0,-0.052700262156744,1.64962085267172,22,24,4,3,3,0,0,0,0,2,6,0,0,0.125,0.222,0.125,1,0,0,3,0,0,7,8,0.88,27
"Loghan  Thomas","Fr","Dartmouth","IF",0.0661370811840784,0.245333333333333,-0.12549074984765,-0.04391688513062,0,-0.04391688513062,0.916456029262064,20,11,2,1,1,0,0,0,0,3,3,0,0,0.091,0.333,0.091,1,0,0,1,0,0,4,3,1.33,15
"Sophia  Ausmus","Fr","Dartmouth","OF",-0.0863800080736931,0,-1.40338093515469,0,0,0,0.427679480322297,3,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,2,7
"Jade  Bravo","Fr","Dartmouth","OF",0.0105400180372274,0.197142857142857,-0.23051653103957,0.0440854825999887,0,0.0440854825999887,0.305485343087355,22,5,7,0,0,0,0,0,0,2,2,2,1,0,0.286,0,0,0,0,0,0,0,0,1,0,5
"Tatyanah  Castillo","Fr","Dartmouth","1B",-0.0370200034601542,0,-0.601448972209154,0,0,0,0.183291205852413,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3
"Tessa  Grossman","Fr","Dartmouth","OF",0.0239038475734652,0.296666666666667,0.0954969949012609,-0.008783377026124,0,-0.008783377026124,0.183291205852413,17,3,1,1,1,0,0,0,0,0,1,0,0,0.333,0.333,0.333,0,0,0,1,0,0,0,0,0,3
"Rhianna  Rich","So","Harvard","",2.49635211168015,0.402704402515723,18.493897696635,-0.133093937115237,0,-0.133093937115237,9.83662804741282,41,141,29,59,48,4,7,0,18,18,4,9,4,0.418,0.484,0.546,0,0,2,77,11,0,43,32,1.34,161
"Maddy  Kaplan","Jr","Harvard","",1.44774124450095,0.309539473684211,6.49648993707621,0.387349877241541,-0.000990029185517907,0.386359848056023,9.470045635708,41,133,27,49,38,10,0,1,21,13,6,6,1,0.368,0.428,0.466,3,3,3,62,11,1,51,24,2.13,155
"Elizabeth  Shively","So","Harvard","",0.802970316580867,0.259370629370629,0.380820891964433,-0.168901835097208,-0.001079294112081,-0.169981129209289,8.85907494953329,41,122,7,31,21,8,1,1,20,3,12,1,0,0.254,0.282,0.361,18,0,3,65,16,1,31,30,1.03,145
"Erin  Lockhart","So","Harvard","",1.69262045810252,0.360615384615385,10.8939816164353,0.101533778581153,-0.00250807393664537,0.0990257046445074,8.12591012612364,41,105,22,35,19,9,0,7,35,19,10,4,1,0.333,0.507,0.619,3,3,2,44,10,2,47,33,1.42,133
"Kaitlyn  Schiffhauer","So","Harvard","",0.843288874048494,0.285588235294118,2.477796245295,0.510148558137908,0,0.510148558137908,6.53738634206939,35,90,20,29,21,7,0,1,16,10,9,4,0,0.322,0.402,0.433,2,0,5,39,8,0,34,19,1.79,107
"Catherine  Callaway","Sr","Harvard","",-0.031670315766922,0.175222222222222,-6.32690344151457,-0.140534032417984,0,-0.140534032417984,6.1097068617471,38,87,3,18,13,4,0,1,9,2,11,0,0,0.207,0.217,0.287,1,0,2,23,4,0,29,23,1.26,100
"Olivia  Giaquinto","Fr.","Harvard","",1.14467869765405,0.346428571428571,6.93841475434957,0.00676570542527208,-0.00302698578560648,0.0037387196396656,5.98751272451215,32,87,15,24,14,2,1,7,18,8,16,1,0,0.276,0.344,0.563,0,3,6,25,5,2,35,29,1.21,98
"Giana  Panariello","Sr","Harvard","",0.381050299481354,0.231326530612245,-1.85611892057899,0.29493667062525,0,0.29493667062525,5.86531858727721,38,85,16,17,13,3,0,1,5,12,12,6,2,0.2,0.306,0.271,1,0,0,49,10,0,15,29,0.52,96
"Dallas  Hogan","Jr","Harvard","",0.394855851446893,0.257916666666667,0.0758764779259744,1.26824934460814,0,1.26824934460814,3.11595049949102,32,43,14,11,10,1,0,0,2,4,8,7,0,0.256,0.333,0.279,1,0,3,12,1,0,15,8,1.88,51
"Jillian  Leslie","Sr","Harvard","",-0.146060490445527,0.133170731707317,-4.42515127901341,-0.035133508104496,0,-0.035133508104496,2.81046515640366,20,40,3,5,3,1,0,1,4,1,14,0,0,0.125,0.143,0.225,0,0,1,11,3,0,17,8,2.13,46
"Melissa  Lacro","Jr","Harvard","",0.0598034381994645,0.201739130434783,-1.78516933977634,-0.105400524313488,0,-0.105400524313488,2.56607688193378,23,38,4,8,5,3,0,0,3,7,6,0,0,0.211,0.333,0.289,0,1,0,9,2,0,7,15,0.47,42
"Nicki  Nishizawa","So","Harvard","",0.170472186061552,0.23475,-0.682801837106417,0.103382852712636,0,0.103382852712636,2.50497981331631,18,38,4,10,9,1,0,0,7,2,10,1,0,0.263,0.3,0.289,0,0,1,11,1,0,11,6,1.83,41
"Alexa  Altchek","Jr","Harvard","",-0.0262455278801627,0.155769230769231,-2.04106206611546,0.15608311486938,0,0.15608311486938,1.58852378405424,22,24,4,3,3,0,0,0,2,2,6,1,0,0.125,0.192,0.125,0,0,0,3,0,0,8,7,1.14,26
"Lindey  Kneib","Fr.","Harvard","",0.163960825772179,0.29,0.585458777018016,-0.070267016208992,-0.00731521564854898,-0.077582231857541,1.34413550958436,12,18,3,4,4,0,0,0,2,2,1,0,0,0.222,0.364,0.222,2,0,0,4,0,1,7,4,1.75,22
"Isabelle  Haugh","Fr.","Harvard","",0.0341759500212673,0.22125,-0.435605690466572,-0.155914517400011,0,-0.155914517400011,0.977553097879535,26,14,5,1,0,0,0,1,1,0,3,1,1,0.071,0.188,0.286,2,0,0,4,1,0,5,5,1,16
"Savannah  Bradley","Sr","Harvard","",0.0169989011065007,0.197333333333333,-0.689312206386413,-0.035133508104496,0,-0.035133508104496,0.916456029262064,16,12,2,1,1,0,0,0,2,3,3,0,0,0.083,0.267,0.083,0,0,0,1,0,0,5,2,2.5,15
"Morgan  Macchiarulo","Jr","Harvard","",-0.135740012687232,0,-2.20531289810023,0,0,0,0.672067754792181,8,10,1,1,0,1,0,0,2,0,5,0,0,0.1,0.1,0.2,0,0,1,2,1,0,2,3,0.67,11
"Lindsey  Hagberg","Sr","Harvard","",0.0115638464200804,0.2225,-0.104985995835124,-0.008783377026124,0,-0.008783377026124,0.244388274469884,4,4,0,1,1,0,0,0,0,0,1,0,0,0.25,0.25,0.25,0,0,0,1,0,0,2,0,0,4
"Chanel  Varney","Fr.","Harvard","",-0.0793143337630391,0,-0.801931962945539,-0.338347763347763,0,-0.338347763347763,0.244388274469884,21,4,6,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,1,4
"Leah  Allen","Sr","Penn","OF",2.62670725124684,0.408421052631579,18.1405243274117,2.24257360340724,0,2.24257360340724,9.28675442985559,40,142,34,58,38,8,3,9,27,7,18,20,4,0.408,0.434,0.697,1,2,0,99,20,0,25,33,0.76,152
"Sarah  Cwiertnia","So","Penn","INF",1.62658642005103,0.347925925925926,10.0761789708526,-0.256735605358448,0,-0.256735605358448,8.55358960644594,39,117,16,39,34,3,0,2,29,15,4,1,0,0.333,0.41,0.41,3,0,3,39,1,0,41,22,1.86,140
"Jess  England","So","Penn","INF",1.73560090588048,0.341544117647059,9.04165285384017,2.31691426356318,-0.00227023933920486,2.31464402422398,8.24810426335858,39,116,26,37,36,0,1,0,6,18,13,14,0,0.319,0.423,0.336,1,1,1,48,5,2,37,33,1.12,135
"Jurie  Joyner","Jr","Penn","INF",1.69336447538829,0.378709677419355,11.9137974807165,-0.360118458071084,-0.00239407057588876,-0.362512528646973,7.5760365085664,36,110,10,40,28,5,2,5,23,12,16,0,0,0.364,0.427,0.582,1,1,0,64,12,2,20,32,0.63,124
"Alexis  Sargent","Sr","Penn","P",0.562679535302509,0.24825,-0.735928175108815,-0.298634818888216,-0.0024611940499791,-0.301096012938195,7.39274530271399,37,107,5,31,21,9,0,1,11,12,12,0,0,0.29,0.367,0.402,1,0,1,43,10,2,23,40,0.58,121
"Sam  Pederson","So","Penn","INF",0.673773324908745,0.269191919191919,1.05236044024957,0.327715312190156,-0.00140078597525406,0.326314526214902,6.23190099898204,32,94,11,27,26,1,0,0,4,3,14,3,0,0.287,0.323,0.298,2,0,3,28,1,1,33,18,1.83,102
"Molly  Oretsky","Jr","Penn","3B",1.02176306072245,0.346136363636364,6.28084809512453,-0.175498943053111,-0.00171005041134911,-0.17720899346446,5.43763910695492,35,77,20,26,17,5,0,4,16,9,10,2,1,0.338,0.409,0.558,1,1,1,43,9,1,19,22,0.86,89
"Corey  Burrough","Fr","Penn","C",0.459343934300697,0.259036144578313,0.198611350248861,-0.140534032417984,-0.00173255107465634,-0.14226658349264,5.13215376386756,25,76,7,16,10,2,0,4,14,4,13,0,0,0.211,0.265,0.395,2,1,1,30,6,1,17,32,0.53,84
"Lainey  Dorris","Sr","Penn","OF",0.10645019035946,0.192465753424658,-3.83197257824538,0.329901581260377,0,0.329901581260377,4.70447428354526,35,66,10,12,8,3,0,1,13,7,15,4,1,0.182,0.26,0.273,0,0,4,18,4,0,21,17,1.24,77
"Katie  Petroski","Jr","Penn","2B/OF",0.0177397804057526,0.180441176470588,-4.08356819599411,0.0682493446081401,0,0.0682493446081401,4.2156977346055,35,62,11,14,9,5,0,0,5,2,15,1,0,0.226,0.294,0.306,4,0,1,19,5,0,12,17,0.71,69
"Cedar  Slovacek","Sr","Penn","C/1B",0.112530103297551,0.210754716981132,-1.91397913721103,-0.114183901339612,0,-0.114183901339612,3.29924170534343,28,51,7,14,11,3,0,0,3,2,7,0,0,0.275,0.302,0.333,0,0,1,17,3,0,17,12,1.42,54
"Sydney  Kranzmann","Sr","Penn","INF",0.067122679169771,0.205526315789474,-1.54199535775622,-0.079050393235116,-0.00355875355875356,-0.0826091467938695,2.38278567608137,20,37,2,9,8,1,0,0,1,1,7,0,0,0.243,0.263,0.27,0,0,1,10,1,1,9,13,0.69,39
"Jennifer  Brann","Fr","Penn","P",0.00555621333085354,0.19,-1.3958128720437,-0.191048025504507,0,-0.191048025504507,1.64962085267172,22,24,7,4,4,0,0,0,0,2,2,1,1,0.167,0.231,0.167,0,0,2,9,1,0,6,7,0.86,27
"Raven  Houck","Fr","Penn","INF",0.231914992976624,0.2896,0.683761739679369,0.347299737843256,0,0.347299737843256,1.58852378405424,30,24,7,6,5,0,0,1,3,1,7,2,0,0.25,0.28,0.375,0,0,0,4,0,0,13,5,2.6,26
"Hannah  Gibbons","So","Penn","INF",0.0437587276996304,0.23,-0.264853664224529,-0.035133508104496,0,-0.035133508104496,0.794261892027122,8,10,0,1,1,0,0,0,1,2,4,0,0,0.1,0.308,0.1,1,0,0,1,0,0,4,1,4,13
"Berit  Batterton","Fr","Penn","UTL",0.0655391098095701,0.254166666666667,-0.0188343481190727,-0.035133508104496,0,-0.035133508104496,0.794261892027122,7,9,0,1,1,0,0,0,0,0,5,0,0,0.111,0.111,0.111,3,0,0,0,0,0,2,2,1,13
"Julia  Duarte","Fr","Penn","INF",-0.0516781164678543,0.11125,-1.24701219332341,-0.008783377026124,0,-0.008783377026124,0.672067754792181,3,8,1,1,1,0,0,0,0,0,2,0,0,0.125,0.125,0.125,0,0,2,1,0,0,3,2,1.5,11
"Clare  Sebastianelli","Fr","Penn","OF",0.00150539126984946,0.207,-0.307074575851924,-0.164697894426135,0,-0.164697894426135,0.488776548939768,25,7,10,0,0,0,0,0,1,3,2,1,1,0,0.462,0,0,0,0,1,0,0,3,2,1.5,8
"Megan  Donahey","Fr","Princeton","OF",1.96056270099243,0.349182389937107,11.7460167059089,0.563691807641496,-0.00088968838968839,0.562802119251807,9.83662804741282,43,148,28,57,51,4,2,0,7,11,12,14,5,0.385,0.428,0.439,0,0,2,65,6,1,47,30,1.57,161
"Allison  Harvey","Fr","Princeton","IF",1.37122319379498,0.308141025641026,6.49001972500808,-0.715864378001727,0,-0.715864378001727,9.71443391017788,43,133,32,43,30,9,1,3,31,20,4,2,2,0.323,0.404,0.474,0,3,3,63,13,0,54,36,1.5,159
"Kaylee  Grant","So","Princeton","1B/3B/C",1.32551867016626,0.32375,7.31964328464359,-0.777516614653963,-0.00118625118625119,-0.778702865840214,8.43139546921099,42,111,6,35,25,8,0,2,26,14,14,0,1,0.315,0.441,0.441,11,0,2,49,10,1,38,24,1.58,138
