"
              Name
          ","Yr","team","Pos","WAR","wOBA","wRAA","wSB","wGDP","br.runs","rep.runs","g","ab","r","h","h.1b","h.2b","h.3b","hr","rbi","bb","k","sb","cs","avg","obp","slg","hbp","sf","sh","tb","xbh","hdp","go","fo","go/fo","pa"
"Annie  McGregor","Junior","Brown","1B",1.95423764322319,0.346510067114094,11.6925548243661,0.301365181111784,-0.00093385731683604,0.300431323794948,10.0810163218827,45,141,30,49,27,10,3,9,33,5,18,3,0,0.348,0.391,0.652,2,1,2,68,11,1,31,47,0.66,165
"Kaitlin  Okimoto","Freshman","Brown","SS/2B",1.98069333067279,0.373575757575758,13.9008658881868,-0.750829288636854,-0.00286247568856265,-0.753691764325416,9.22565736123811,45,138,33,45,34,5,0,6,25,22,15,4,3,0.326,0.423,0.493,5,0,0,92,22,3,29,42,0.69,151
"Christina  Andrews","Senior","Brown","SS/UT",1.28204513540348,0.307123287671233,5.84303072915188,-0.280899467366599,-0.00102072776491381,-0.281920195131513,8.92017201815076,42,129,26,41,24,10,2,5,19,12,18,2,1,0.318,0.384,0.543,3,2,0,70,17,1,23,45,0.51,146
"Sofia  Venegas","Sophomore","Brown","UT",0.513977129863289,0.233925925925926,-2.31806917365279,-0.0633327133143511,0,-0.0633327133143511,8.18700719474111,41,117,13,27,23,3,1,0,5,8,18,3,1,0.231,0.28,0.274,6,4,2,44,10,0,35,27,1.3,134
"Cat  Seitz","Sophomore","Brown","C/UT",1.18349139039304,0.30752,5.20275292640809,0.283798427059536,0,0.283798427059536,7.88152185165375,40,115,20,36,26,6,0,4,21,10,13,3,0,0.313,0.368,0.47,0,0,4,32,4,0,54,20,2.7,129
"Grayson  Metzger","Junior","Brown","UT",0.53274203497828,0.239918032786885,-1.58844326101663,-0.0898514418620919,-0.00237250237250237,-0.0922239442345942,7.69823064580134,44,111,17,32,22,9,0,1,18,11,21,1,0,0.288,0.371,0.396,0,0,1,54,10,2,34,28,1.21,126
"Lauren  Hanna","Senior","Brown","OF",0.281721372327256,0.205769230769231,-4.24959688905428,0.833284433973013,0,0.833284433973013,6.59848341068686,45,95,13,17,17,0,0,0,2,7,21,7,1,0.179,0.235,0.179,2,0,1,38,9,0,29,26,1.12,108
"Julia  Schoenewald","Senior","Brown","C/1B",0.606305279170546,0.268285714285714,1.0088004597587,-0.575498943053111,0,-0.575498943053111,6.41519220483445,39,92,12,23,14,5,2,2,15,13,9,0,1,0.25,0.355,0.413,0,0,3,17,0,0,45,6,7.5,105
"Raquel  Blanchard","Freshman","Brown","C/1B",0.497191950167539,0.264823529411765,0.586197157806669,-0.158100786470232,-0.00533813033813034,-0.163438916808362,5.19325083248503,32,74,10,15,8,3,0,4,11,7,9,0,0,0.203,0.294,0.405,3,1,0,30,7,3,22,26,0.85,85
"Sarah  Syrop","Senior","Brown","OF",0.0655699414318895,0.1994,-2.26112430515938,-0.114183901339612,0,-0.114183901339612,3.11595049949102,22,41,3,7,5,2,0,0,4,8,10,0,0,0.171,0.3,0.22,0,1,1,9,2,0,16,10,1.6,51
