"
              Name
          ","Yr","team","Pos","WAR","wOBA","wRAA","wSB","wGDP","br.runs","rep.runs","g","ab","r","h","h.1b","h.2b","h.3b","hr","rbi","bb","k","sb","cs","avg","obp","slg","hbp","sf","sh","tb","xbh","hdp","go","fo","go/fo","pa"
"Sam  Grigo","Junior","Brown","OF",1.05054161542078,0.278802395209581,3.98387279771729,-0.0844314802104782,-0.0029872311827957,-0.0874187113932739,10.5527291806126,37,150,24,47,34,9,4,0,21,10,24,2,1,0.313,0.36,0.427,6,1,2,67,12,3,26,41,0.63,168
"Rob  Henry","Senior","Brown","OF",1.65384486427739,0.345828220858896,12.573077734469,-0.18818062228323,-0.00214908718186741,-0.190329709465098,10.3642875881017,37,139,31,44,32,4,5,3,13,20,30,9,5,0.317,0.422,0.482,2,2,1,64,13,2,35,41,0.85,165
"Josh  Huntley","Senior","Brown","C",1.13546228670996,0.299,6.36432631336251,-0.853726264012812,-0.00644726154560223,-0.860173525558414,10.1130321314204,37,139,13,39,31,4,0,4,36,13,33,0,2,0.281,0.35,0.396,4,4,1,55,8,6,21,49,0.43,161
"Marc  Sredojevic","Senior","Brown","INF",1.53191778147418,0.342993630573248,11.762938450895,-0.68029627087623,0,-0.68029627087623,9.98740440307978,37,124,15,42,30,9,0,3,19,25,19,1,2,0.339,0.459,0.484,5,3,2,60,12,0,32,35,0.91,159
"Garett  Delano","Freshman","Brown","INF/RHP",0.751877783740104,0.257173913043478,1.00971055327862,-0.0227279226721574,-0.00489710029966508,-0.0276250229718225,9.35926576137665,37,122,12,31,18,9,0,4,12,15,39,4,2,0.254,0.345,0.426,1,0,5,38,8,4,39,29,1.34,149
"Willy  Homza","Sophomore","Brown","INF",0.700669978625779,0.254965517241379,0.706610587331717,0.137710192175704,-0.00122427507491627,0.136485917100787,8.79394098384383,37,122,18,25,17,4,3,1,8,21,30,3,1,0.205,0.326,0.311,2,0,1,52,13,1,28,23,1.22,140
"Rich  Ciufo","Freshman","Brown","",0.254289913705276,0.200661764705882,-5.17186117922968,0.0035489590482729,-0.00248935931899642,0.00105959972927649,8.6683132555032,37,120,13,24,19,5,0,0,6,14,38,6,3,0.2,0.287,0.242,1,1,2,29,5,2,22,36,0.61,138
"Brian  Ginsberg","Junior","Brown","INF",-0.00944537972289266,0.171607142857143,-6.86616343600982,-0.420220630290551,-0.00430850651364764,-0.424529136804199,7.16078051541569,30,104,10,18,13,4,0,1,7,7,24,0,1,0.173,0.232,0.24,1,0,2,25,5,3,26,37,0.7,114
"Cameron  Deere","Freshman","Brown","",0.719061389975953,0.347183098591549,5.48556337813119,-0.0553541809654542,0,-0.0553541809654542,4.45978435609223,20,60,6,21,16,3,0,2,15,9,15,0,0,0.35,0.423,0.5,0,2,0,30,5,0,10,16,0.63,71
"Jake  Rosander","Sophomore","Brown","INF",0.201331577928928,0.236326530612245,-0.46788625122919,0.166787491420728,-0.00765956713537359,0.159127924285354,3.07787934434534,14,39,7,7,6,1,0,0,3,8,17,1,0,0.179,0.327,0.205,1,1,0,8,1,2,6,10,0.6,49
"Calvin  Farris","Freshman","Brown","",0.0698361831927675,0.213888888888889,-1.03053293139272,-0.395864790665752,0,-0.395864790665752,2.3869268384719,23,30,2,4,4,0,0,0,1,6,11,0,1,0.133,0.278,0.133,0,0,2,4,0,0,8,8,1,38
"Mark  Sluys","Junior","Brown","C/INF",0.147165922200302,0.342666666666667,1.10587056490347,-0.013285003431709,-0.0106686827956989,-0.0239536862274079,0.942207962554696,4,14,2,7,5,2,0,0,2,1,3,0,0,0.5,0.533,0.643,0,0,0,9,2,1,3,1,3,15
"Dalton  Schroeder","Sophomore","Brown","OF/RHP",-0.072486242749085,0.089,-1.24917947722175,-0.375937285518188,0,-0.375937285518188,0.628138641703131,13,10,2,1,1,0,0,0,0,0,5,0,1,0.1,0.1,0.1,0,0,0,1,0,0,2,2,1,10
"Frank  Caprio","Sophomore","Brown","OF",0.0217634911323967,0.296666666666667,0.113108333810765,-0.00221416723861817,0,-0.00221416723861817,0.188441592510939,4,3,1,1,1,0,0,0,0,0,2,0,0,0.333,0.333,0.333,0,0,0,1,0,0,0,0,0,3
"Tommy  Wagner","Sr","Cornell","IF",1.14031636502673,0.29189349112426,5.74008061725464,-0.664797100205903,-0.00687849285512167,-0.671675593061024,10.6155430447829,38,152,23,45,40,2,2,1,22,9,13,1,2,0.296,0.343,0.355,4,4,0,54,5,7,42,55,0.76,169
