"
              Name
          ","Yr","team","Pos","WAR","wOBA","wRAA","wSB","wGDP","br.runs","rep.runs","g","ab","r","h","h.1b","h.2b","h.3b","hr","rbi","bb","k","sb","cs","avg","obp","slg","hbp","sf","sh","tb","xbh","hdp","go","fo","go/fo","pa"
"Ryan  Krainz","Jr","Cornell","IF",1.56075647395464,0.342422360248447,11.912409430831,-0.616964796385266,-0.00459574028122415,-0.621560536666491,10.1758459955907,38,130,26,48,38,9,1,0,10,28,16,7,5,0.369,0.478,0.454,1,2,1,59,10,4,42,22,1.91,162
"Frankie  Padulo","Sr","Cornell","IF",1.12210142141505,0.307588652482269,6.56829876290472,-0.0492979295355754,-0.00515039859102707,-0.0544483281266024,8.91956871218446,38,116,24,34,24,6,2,2,21,19,19,4,2,0.293,0.397,0.431,3,3,1,50,10,4,33,32,1.03,142
"Cole  Rutherford","Sr","Cornell","1B",1.29836440645878,0.343153846153846,9.70791317584519,-0.0774958533516358,-0.00128759964775677,-0.0787834529993926,8.22861620631101,31,116,24,36,22,6,1,7,33,10,29,0,0,0.31,0.367,0.56,3,1,0,44,8,1,25,25,1,131
"Trey  Baur","Jr","Cornell","IF",0.793196544304973,0.276124031007752,2.76686601888517,0.109219143216655,-0.00660891854600818,0.102610224670647,8.04017461380007,35,113,19,34,26,7,0,1,18,14,25,1,0,0.301,0.389,0.389,1,1,0,65,14,5,21,28,0.75,128
"Ellis  Bitar","Jr","Cornell","C",1.04566056005374,0.323983739837398,7.26860848342224,-0.609736044383436,-0.00292865802234872,-0.612664702405785,7.72610529294851,29,102,15,29,20,4,3,2,18,12,25,3,3,0.284,0.398,0.441,8,1,0,45,9,2,26,21,1.24,123
"Pierre  Le dorze","Jr","Cornell","OF",0.733033493847073,0.28495652173913,3.28126451625681,-0.418299588194921,-0.00439298703352309,-0.422692575228444,7.223594379586,32,102,22,33,19,10,2,2,16,8,25,2,2,0.324,0.4,0.52,5,0,0,53,14,3,23,19,1.21,115
"Dale  Wickham","Jr","Cornell","OF",0.895057184869074,0.307363636363636,5.06873600897889,0.335496024937085,-0.00311169914874552,0.33238432578834,6.90952505873444,25,96,25,39,27,12,0,0,17,10,13,4,1,0.406,0.482,0.531,4,0,0,51,12,2,21,20,1.05,110
"Will  Simoneit","So","Cornell","C",0.732865794352528,0.306195652173913,4.15516039922315,0.1512883207504,-0.00546444728560189,0.145823873464798,5.7788755036688,24,82,16,26,12,9,0,5,28,7,14,1,0,0.317,0.391,0.61,3,0,0,50,14,3,16,23,0.7,92
"Josh  Arndt","So","Cornell","IF/OF",-0.160370077925059,0.134878048780488,-7.38629612234972,-0.0309983413406543,-0.00199148745519713,-0.0329898287958515,5.21355072613598,28,75,5,14,7,7,0,0,3,7,20,0,0,0.187,0.256,0.28,0,0,1,21,7,1,18,21,0.86,83
"Kaleb  Lepper","Fr","Cornell","OF",0.118310497874576,0.191375,-3.5799667496456,0.184207704186685,-0.00210368393154627,0.182104020255139,5.02510913362505,19,71,9,13,11,2,0,0,5,8,16,3,1,0.183,0.263,0.211,0,1,0,15,2,1,23,20,1.15,80
"Kyle  Gallagher","Jr","Cornell","OF",-0.0183474033904635,0.1675,-4.56809380216733,-0.204721459620224,-0.00213373655913978,-0.206855196179364,4.52259822026254,20,70,6,17,12,5,0,0,6,2,13,1,1,0.243,0.264,0.314,0,0,0,22,5,1,17,19,0.89,72
"Mitch  Blackstone","So","Cornell","C",-0.089834746259999,0.102916666666667,-2.73648023632673,-0.0066425017158545,0,-0.0066425017158545,1.50753274008751,8,22,1,3,2,1,0,0,2,1,10,0,0,0.136,0.167,0.182,0,1,0,4,1,0,3,7,0.43,24
"Matt  Collins","Fr","Cornell","IF",0.0364841418199865,0.248571428571429,0.00056141787231826,-0.378151452756806,0,-0.378151452756806,0.879394098384383,9,12,3,1,0,0,0,1,2,2,5,0,1,0.083,0.214,0.333,0,0,0,4,1,0,4,2,2,14
"C.j.  Price","Sr","Cornell","C/IF",0.0555151334563109,0.29125,0.267688524722206,-0.0066425017158545,0,-0.0066425017158545,0.502510913362505,3,6,2,1,1,0,0,0,1,0,2,0,0,0.167,0.375,0.167,2,0,0,1,0,0,1,2,0.5,8
"Randell  Kanemaru","Jr","Columbia","3B/SS",1.89250449783463,0.348,14.2559121995749,0.282649136353237,-0.00393056734578381,0.278718569007453,11.4949371431673,38,152,35,60,39,14,0,7,42,11,29,2,0,0.395,0.435,0.625,3,4,3,59,12,4,42,41,1.02,183
"Julian  Bury","Fr","Columbia","OF",0.913424086639571,0.267869822485207,2.60621124351304,-0.842948552962709,-0.00398297491039427,-0.846931527873103,10.8039846372938,37,150,32,50,36,14,0,0,17,15,23,2,3,0.333,0.408,0.427,4,0,3,64,14,4,55,22,2.5,172
"Ben  Porter","So","Columbia","OF",1.02033395019835,0.277977528089888,3.87535464884615,-0.390394789521849,-0.00398297491039427,-0.394377764432243,10.5527291806126,41,150,35,42,30,9,1,2,25,23,29,8,5,0.28,0.378,0.393,2,3,0,95,21,4,29,34,0.85,168
"Kyle  Bartelman","Sr","Columbia","2B/OF",1.75243803017439,0.355443037974684,13.8153994448096,-0.0755748112560055,-0.00102302437766976,-0.0765978356336753,10.3642875881017,39,146,25,51,35,7,2,7,33,5,16,2,1,0.349,0.369,0.568,6,1,0,62,9,1,29,24,1.21,165
"Joe  Engel","So","Columbia","SS",0.841008123560743,0.268974358974359,2.59480864273208,-1.20117250057195,-0.00222927700208634,-1.20340177757404,10.1758459955907,41,134,21,33,26,5,1,1,16,13,36,2,4,0.246,0.353,0.321,9,0,6,43,7,2,42,25,1.68,162
"Liam  McGill","Fr","Columbia","C",1.69514705346896,0.360548780487805,13.7732843505984,-0.313215654312514,-0.00673811544991511,-0.319953769762429,9.86177667473915,39,133,25,45,36,5,0,4,25,25,34,1,1,0.338,0.461,0.466,2,4,0,83,16,6,34,48,0.71,157
"Chandler  Bengtson","So","Columbia","1B/OF",1.66270681698554,0.380073529411765,14.0103760244279,0.31586164493251,0,0.31586164493251,8.54268552716258,34,116,21,35,20,4,2,9,32,17,43,2,0,0.302,0.39,0.603,1,2,0,70,15,0,20,20,1,136
"Shane  Adams","Sr","Columbia","OF",0.854972177721277,0.275230769230769,2.74007991278875,0.7946922900938,-0.00407349706744868,0.790618793026351,8.22861620631101,36,110,21,30,20,7,1,2,14,15,25,10,3,0.273,0.369,0.409,3,2,1,45,10,3,25,32,0.78,131
"Aj  Difillipo","Fr","Columbia","INF",0.273507046730867,0.2086,-3.18861578904011,0.546859986273164,-0.00343359906068471,0.543426387212479,6.40701414537193,30,87,10,13,11,1,0,1,12,13,28,3,0,0.149,0.26,0.195,0,0,2,17,2,2,23,23,1,102
"Lane  Robinette","Jr","Columbia","C",0.285831723344242,0.224838709677419,-1.66901790191219,-0.0509258464882178,-0.00196528367289191,-0.0528911301611097,5.65324777532818,26,76,8,14,7,5,1,1,6,7,19,0,0,0.184,0.271,0.316,9,1,2,29,6,1,14,16,0.88,90
"Matt  Karo","Jr","Columbia","C",0.537905940518817,0.28025,2.11200576702935,-0.0464975120109815,-0.0063110517946388,-0.0528085638056203,5.33917845447661,27,71,16,18,12,3,1,2,7,7,26,0,0,0.254,0.386,0.408,2,0,0,24,7,3,20,22,0.91,85
"Mark  Patrick","Jr","Columbia","OF",-0.0689678964366851,0.135909090909091,-1.9400507621823,-0.382579787234043,-0.00786113469156763,-0.39044092192561,1.38190501174689,13,19,4,2,1,1,0,0,0,2,11,0,1,0.105,0.227,0.158,1,0,0,3,1,1,2,2,1,22
"Michael  Kuzbel","So","Columbia","OF",-0.0427159536328322,0.118666666666667,-1.52529623227742,-0.00442833447723633,0,-0.00442833447723633,0.942207962554696,7,15,0,2,2,0,0,0,0,0,4,0,0,0.133,0.133,0.133,0,0,0,2,0,0,5,4,1.25,15
"Alex  Fisher","Fr","Columbia","1B/3B",0.0435269822647935,0.296666666666667,0.226216667621529,-0.00442833447723633,0,-0.00442833447723633,0.376883185021878,2,6,1,2,2,0,0,0,2,0,1,0,0,0.333,0.333,0.333,0,0,0,2,0,0,2,1,2,6
"Lynnard  Rose","Fr","Columbia","OF",-0.0367544432830646,0,-0.194612544433217,-0.37372311827957,0,-0.37372311827957,0.0628138641703131,4,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Jake  Poliner","So","Columbia","2B",NA,NA,NA,0,NA,NA,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Matt  Feinstein","So","Dartmouth","OF",1.19532633346362,0.290677966101695,5.94236055981667,-0.801465625714939,-0.00683353538548036,-0.80829916110042,11.3064955506564,39,153,22,50,43,6,1,0,21,11,31,6,5,0.327,0.38,0.379,6,7,0,58,10,7,32,62,0.52,180
"Dustin  Shirley","Jr","Dartmouth","IF",1.10748307738011,0.280578034682081,4.41830502552225,-0.236306051246854,-0.00488109670391454,-0.241187147950769,11.0552400939751,40,153,25,43,33,6,3,1,24,14,19,5,3,0.281,0.35,0.379,5,1,3,54,9,5,37,39,0.95,176
"Kyle  Holbrook","Jr","Dartmouth","OF/C",1.40626110063647,0.318197674418605,9.38490390799572,-0.845162720201327,-0.00196528367289191,-0.847128003874219,10.8039846372938,40,152,23,50,38,8,0,4,31,15,13,2,3,0.329,0.395,0.461,3,2,0,70,12,2,35,53,0.66,172
"Michael  Ketchmark","Sr","Dartmouth","1B",1.41974154265134,0.313727810650888,8.62966558201581,0.287077470830474,-0.0051151218883488,0.281962348942125,10.6155430447829,39,146,31,48,30,12,1,5,25,19,19,2,0,0.329,0.408,0.527,2,2,0,77,18,5,32,45,0.71,169
"Trevor  Johnson","Fr","Dartmouth","OF/P",1.62159941610974,0.320414201183432,9.34565466124318,2.53077456531686,0,2.53077456531686,10.427101452272,39,140,28,35,26,3,2,4,21,27,28,17,2,0.25,0.387,0.386,2,0,0,58,7,0,34,36,0.94,166
"Nate  Ostmo","So","Dartmouth","IF",1.05393388890481,0.291133333333333,5.03882555043809,-0.0230210478151451,-0.00485728647609057,-0.0278783342912356,9.48489348971727,39,123,21,32,23,4,4,1,20,18,23,6,3,0.26,0.367,0.382,5,4,1,47,9,4,25,46,0.54,151
"Justin  Fowler","Jr","Dartmouth","IF",0.655871297032167,0.267723577235772,1.86469568623709,-0.627156257149394,-0.0055836096874686,-0.632739866836862,7.78891915711882,34,107,15,33,23,8,1,1,14,9,15,1,2,0.308,0.374,0.43,4,3,1,46,10,4,30,31,0.97,124
"Adam  Gauthier","Sr","Dartmouth","C",0.538511791959737,0.254,0.502062919951068,-0.444576469915351,0,-0.444576469915351,7.34922210792663,36,89,13,17,12,3,1,1,12,17,28,0,1,0.191,0.336,0.281,3,1,7,25,5,0,22,29,0.76,117
"Michael  Calamari","Fr","Dartmouth","1B",1.0386976282932,0.347623762376238,7.83825987207282,0.109219143216655,-0.00539861057131753,0.103820532645338,6.34420028120162,33,83,10,27,23,3,0,1,16,14,8,1,0,0.325,0.446,0.398,4,0,0,33,4,3,24,22,1.09,101
"Mike  Brown","So","Dartmouth","OF",0.284308865211623,0.229428571428571,-1.04652728808555,0.562359156943491,-0.0024090574054804,0.559950099538011,4.39697049192192,20,62,10,14,11,2,0,1,9,5,15,3,0,0.226,0.286,0.306,1,2,0,19,3,1,13,21,0.62,70
"Hayden  Rappoport","Jr","Dartmouth","OF",0.421927275338457,0.342093023255814,3.15084618060112,-0.039855010295127,-0.00878597406704617,-0.0486409843621732,2.70099615932346,15,34,8,12,11,1,0,0,5,4,4,0,0,0.353,0.442,0.382,3,2,0,13,1,2,6,12,0.5,43
"Blake  Crossing","Fr","Dartmouth","IF",0.310428910084974,0.357586206896552,2.4768313563075,-0.0287841741020362,0,-0.0287841741020362,1.82160206093908,13,23,3,7,7,0,0,0,1,6,7,0,0,0.304,0.448,0.304,0,0,0,7,0,0,3,5,0.6,29
"Ben  Socher","Sr","Dartmouth","OF",-0.00757673398212891,0.153333333333333,-1.86348641166571,0.188929163806909,0,0.188929163806909,1.57034660425783,21,19,3,2,1,1,0,0,1,3,2,1,0,0.105,0.25,0.158,1,1,1,3,1,0,4,13,0.31,25
"Steffen  Torgersen","So","Dartmouth","IF",0.179157930227462,0.411666666666667,1.66084872085422,-0.013285003431709,0,-0.013285003431709,0.81658023421407,9,10,7,4,4,0,0,0,2,2,4,0,0,0.4,0.5,0.4,0,0,1,4,0,0,2,1,2,13
"John  Melody","Sr","Dartmouth","C",0.0250594391829303,0.209090909090909,-0.339641669266559,-0.0066425017158545,0,-0.0066425017158545,0.690952505873444,7,9,1,1,1,0,0,0,0,1,2,0,0,0.111,0.273,0.111,1,0,0,1,0,0,4,2,2,11
"Sean  Sullivan","So","Dartmouth","IF",0.0930276235065027,0.351111111111111,0.723036826021175,-0.00885666895447267,0,-0.00885666895447267,0.565324777532818,5,7,2,2,2,0,0,0,0,2,2,0,0,0.286,0.444,0.286,0,0,0,2,0,0,2,1,2,9
"Henry  Eilen","Fr","Dartmouth","OF",0.0217634911323967,0.296666666666667,0.113108333810765,-0.00221416723861817,0,-0.00221416723861817,0.188441592510939,2,3,0,1,1,0,0,0,0,0,2,0,0,0.333,0.333,0.333,0,0,0,1,0,0,0,0,0,3
"Sean  McGowan","Fr","Dartmouth","UT",-0.019165096866139,0,-0.389225088866434,0,0,0,0.125627728340626,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
"Quinn  Hoffman","Fr.","Harvard","INF",0.673434617472171,0.240745341614907,-1.01676160030849,-0.209736044383436,-0.000976219340782908,-0.210712263724219,10.4899153164423,41,153,24,44,32,9,2,1,15,4,40,5,3,0.288,0.323,0.392,4,0,6,60,12,1,33,36,0.92,167
"Patrick  Robinson","So.","Harvard","OF",1.75454706126384,0.376830985915493,14.870785800934,-0.03158459162663,-0.00355622759856631,-0.0351408192251964,9.29645189720633,39,126,28,47,22,13,3,9,34,10,22,4,2,0.373,0.436,0.738,6,0,0,77,19,3,29,23,1.26,148
"Patrick  McColl","So.","Harvard","1B",1.57285556473404,0.360890410958904,12.3193632266845,0.522211021505376,-0.0024090574054804,0.519801964099896,8.79394098384383,38,124,30,44,25,11,2,6,36,18,26,5,1,0.355,0.459,0.621,4,0,0,93,25,2,33,22,1.5,140
"Drew  Reid","Sr.","Harvard","INF",0.0170150703993256,0.174580152671756,-7.64298260545732,-0.409442919240448,-0.00497871863799283,-0.414421637878441,8.29143007048133,39,120,14,22,17,5,0,0,16,6,17,2,2,0.183,0.252,0.225,5,0,1,27,5,4,41,38,1.08,132
"Trent  Bryan","So.","Harvard","OF",0.516644020292692,0.238650793650794,-0.973803934528937,0.16649436627774,-0.00129879616643291,0.165195570111307,7.91454688545945,36,115,17,29,17,7,3,2,16,9,40,3,1,0.252,0.31,0.417,1,1,0,48,12,1,17,26,0.65,126
"Josh  Ellis","Sr.","Harvard","C",0.803620805345042,0.282612612612613,3.07018421120626,0.762066031800503,-0.00281814262527896,0.759247889175224,7.223594379586,31,106,20,29,25,1,0,3,10,2,12,6,1,0.274,0.306,0.368,2,1,5,28,4,2,29,20,1.45,115
"John  MacLean","So.","Harvard","OF",0.502085582842394,0.241851851851852,-0.595296697249585,0.34021748455731,0,0.34021748455731,7.16078051541569,34,97,15,23,16,5,0,2,15,8,35,2,0,0.237,0.315,0.351,3,0,3,39,4,0,25,40,0.63,114
"Ben  Skinner","So.","Harvard","OF",0.791022305007721,0.279,2.57777315735981,1.51807581217113,0,1.51807581217113,6.78389733039381,32,92,15,23,19,3,1,0,8,15,23,8,0,0.25,0.364,0.304,3,0,0,34,7,0,15,21,0.71,108
"John  Fallon","Jr.","Harvard","INF",0.783316947223531,0.306274509803922,4.61310699874376,-0.244576469915351,-0.00177811379928315,-0.246354583714634,6.40701414537193,27,84,18,21,14,4,0,3,11,16,16,1,1,0.25,0.382,0.405,2,0,0,34,7,1,25,19,1.32,102
"Matt  Rothenberg","Jr.","Harvard","INF",0.211288635013227,0.207865168539326,-2.83343736293531,0.149074153511782,0,0.149074153511782,5.59043391115786,26,78,4,20,13,7,0,0,6,9,20,1,0,0.256,0.337,0.346,1,1,0,27,7,0,15,23,0.65,89
"Jake  Suddleson","Fr.","Harvard","OF",0.402151456401179,0.258767123287671,0.585766636954659,0.362359156943491,-0.00233377436155914,0.360025382581932,4.58541208443285,25,64,13,14,8,3,1,2,11,6,32,2,0,0.219,0.315,0.391,3,0,0,25,6,1,6,11,0.55,73
"Chad  Minato","Fr.","Harvard","INF",0.124027359400791,0.200606060606061,-2.55141956710313,-0.00914979409746053,-0.00489710029966508,-0.0140468943971256,4.27134276358129,31,61,9,13,11,2,0,0,4,5,16,2,1,0.213,0.273,0.246,0,0,2,15,2,2,16,18,0.89,68
"Matt  Hink","Sr.","Harvard","1B/P",0.405905727888192,0.31188679245283,2.62993608474194,-0.376230410661176,0,-0.376230410661176,3.32913480102659,24,46,5,11,6,2,0,3,8,5,21,2,2,0.239,0.34,0.478,2,0,0,22,5,0,6,7,0.86,53
"Jake  Allen","So.","Harvard","C",0.272383738937189,0.293953488372093,1.56543762079758,-0.58287291237703,0,-0.58287291237703,2.76381002349378,15,35,6,9,8,1,0,0,3,8,12,1,2,0.257,0.395,0.286,0,0,1,10,1,0,8,6,1.33,44
"Austin  Black","Jr.","Harvard","OF",0.196925340868716,0.297391304347826,1.03329623952891,-0.013285003431709,-0.00746807795698925,-0.0207530813886982,1.69597433259845,13,20,2,5,3,1,0,1,5,3,7,0,0,0.25,0.36,0.45,0,0,1,3,0,1,3,4,0.75,27
"Devan  Peterson","So","Harvard","C/OF",0.330728736467369,0.392142857142857,2.81171961436256,0.166787491420728,0,0.166787491420728,1.57034660425783,10,15,5,3,3,0,0,0,2,11,4,1,0,0.2,0.538,0.2,1,1,0,9,2,0,2,6,0.33,25
"Jake  Forte","Jr.","Harvard","UTIL",0.0318225257447216,0.192307692307692,-0.572249686872225,0.193357498284146,0,0.193357498284146,0.81658023421407,8,12,2,3,2,1,0,0,3,0,3,1,0,0.25,0.308,0.333,1,0,0,4,1,0,4,2,2,13
"Rey  Pascual","So","Harvard","C",-0.0287476452992086,0,-0.58383763329965,0,0,0,0.188441592510939,2,3,1,1,0,1,0,0,0,0,0,0,0,0.333,0.333,0.667,0,0,0,0,0,0,1,0,0,3
"Chase  Aldridge","So.","Harvard","INF",0.0103764979712503,0.23,-0.0435087374500028,-0.00221416723861817,0,-0.00221416723861817,0.188441592510939,10,2,5,0,0,0,0,0,0,1,1,0,0,0,0.333,0,0,0,0,2,1,0,1,1,1,3
"Edwin  Owolo","So","Harvard","INF",-0.019165096866139,0,-0.389225088866434,0,0,0,0.125627728340626,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
"Tim  Graul","Sr","Penn","C/OF",1.876654760462,0.3351269035533,13.4284443960784,-0.0540193891557994,0,-0.0540193891557994,12.437145105722,45,175,33,65,40,16,3,6,41,13,28,6,3,0.371,0.431,0.6,7,2,1,105,25,0,29,53,0.55,198
"Chris  Adams","Fr","Penn","INF",1.03347323306843,0.262328042328042,2.06522647578973,0.152623112560055,-0.000873459410174181,0.151749653149881,11.9974480565298,44,171,29,50,40,9,0,1,20,12,22,7,3,0.292,0.354,0.363,5,1,2,62,10,1,55,41,1.34,191
"Sean  Phelan","So","Penn","INF",1.27099451318454,0.286542553191489,5.59764979064295,0.0782208018760009,-0.00357752237460563,0.0746432795013952,11.8090064640189,45,167,20,54,37,13,0,4,31,14,13,1,0,0.323,0.383,0.473,4,3,0,79,17,4,59,41,1.44,188
"Matt  Tola","So","Penn","INF",0.754051393445176,0.241657142857143,-0.962013056185923,0.0915058053077099,-0.00192724592438432,0.0895785593833255,11.243681686486,45,155,23,39,31,7,0,1,12,12,17,1,0,0.252,0.305,0.316,6,2,2,57,10,2,51,37,1.38,179
"Andrew  Murnane","Jr","Penn","OF",0.969003163338597,0.260591715976331,1.59755908240735,1.11556851978952,-0.000969880254154448,1.11459863953537,10.6155430447829,45,154,29,45,35,8,2,0,14,15,22,8,1,0.292,0.373,0.37,0,0,2,49,8,1,44,56,0.79,169
"Matt  McGeagh","So","Penn","INF",0.61998589512194,0.234076433121019,-1.88888980585214,-0.0686391843971632,-0.00508032514080901,-0.0737195095379722,10.4899153164423,43,147,20,41,24,12,0,5,20,5,30,0,0,0.279,0.325,0.463,2,3,3,65,12,5,43,31,1.39,167
"Matt  O'Neill","So","Penn","C",1.28429008453291,0.309580838323353,7.74613961731084,-0.253726264012812,-0.00409209751067904,-0.257818361523491,10.1758459955907,42,146,16,41,29,6,0,6,23,13,32,3,2,0.281,0.341,0.445,6,2,2,68,17,4,47,32,1.47,162
"Daniel  Halevy","Jr","Penn","OF",0.917377496613701,0.278639455782313,3.4671321625223,-0.079710020590254,-0.00342049372075843,-0.0831305143110124,9.23363803303602,39,131,15,31,21,4,1,5,24,10,28,0,0,0.237,0.313,0.397,5,1,0,52,10,3,33,37,0.89,147
"Peter  Matt","Fr","Penn","INF/OF",0.34671787286016,0.228807339449541,-1.69805542449837,-0.437933968199497,-0.00476685827041867,-0.442700826469915,6.90952505873444,32,94,10,21,14,6,0,1,4,14,26,0,1,0.223,0.33,0.319,1,0,1,30,7,3,24,20,1.2,110
"Tommy  Pellis","Fr","Penn","INF",0.804579454569737,0.305700934579439,4.79117975034432,-0.437933968199497,-0.0081174760402057,-0.446051444239702,6.7210834662235,32,92,14,23,15,3,1,4,12,13,23,0,1,0.25,0.346,0.435,1,1,0,40,8,5,31,14,2.21,107
"Holden  Morris","Jr","Penn","OF",0.0494007691027965,0.192105263157895,-1.67875358744423,-0.0199275051475635,-0.00878597406704617,-0.0287134792146097,2.3869268384719,16,34,4,8,5,3,0,0,2,1,15,0,0,0.235,0.316,0.324,3,0,0,11,3,2,4,7,0.57,38
"Kevin  Thomas","So","Penn","INF",-0.0523363270151302,0.0766666666666667,-1.34576000449923,-0.00221416723861817,0,-0.00221416723861817,0.628138641703131,5,8,0,0,0,0,0,0,0,1,2,0,0,0,0.111,0,0,0,1,0,0,0,5,2,2.5,10
"Jakob  Levison","Jr","Penn","OF",-0.0355434467485588,0,-0.973062722166084,0.2,-0.029872311827957,0.170127688172043,0.314069320851565,7,5,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,5
"Willy  Thomas","So","Penn","C",-0.0383301937322781,0,-0.778450177732867,0,0,0,0.251255456681252,4,4,1,1,0,1,0,0,0,0,0,0,0,0.25,0.25,0.5,0,0,0,2,1,0,1,1,1,4
"Lee  Jerrette","Fr","Penn","OF",-0.019165096866139,0,-0.389225088866434,0,0,0,0.125627728340626,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
"Jacob  Sadowitz","Fr","Penn","INF",0.00989903163441187,0.345,0.075551903491607,-0.00221416723861817,0,-0.00221416723861817,0.0628138641703131,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,1
"Nick  Hernandez","Sr","Princeton","OF",1.29958024199507,0.300958083832335,6.93970173523794,0.322211021505376,-0.0029872311827957,0.319223790322581,10.6155430447829,40,150,11,46,34,6,2,4,24,10,35,4,1,0.307,0.354,0.453,3,4,0,52,8,3,34,42,0.81,169
