"Team","champ","playoff_prob","seed1_prob","seed2_prob","seed3_prob","seed4_prob"
"Princeton",26.8,89.4,18,23.9,29.2,18.3
"Yale",1.2,34.8,1.1,4.2,8.1,21.4
"Harvard",0.2,5.6,0.1,0.8,1.4,3.3
"Penn",53.8,98.8,64.7,23.7,8.1,2.3
"Brown",0.1,4.3,0,0.1,1.4,2.8
"Cornell",10.3,83.7,2.7,19.5,31.1,30.4
"Dartmouth",7.5,82.6,13.4,27.7,20.6,20.9
"Columbia",0,0.6,0,0,0,0.6
