"Team","YUSAG_Coefficient","Expected_Wins","Expected_Losses"
"Princeton",1.4,4,2
"Yale",3.8,7,-1
"Harvard",1.1,2,4
"Penn",0.8,3,3
"Brown",3.5,5,1
"Cornell",0.8,3,3
"Dartmouth",-6.1,0,6
