"Team","YUSAG_Coefficient","Expected_Wins","Expected_Losses"
"Princeton",1.6,9,-2
"Yale",-4.7,1,6
"Harvard",-2.4,4,3
"Penn",0.8,6,1
"Columbia",-6.2,2,5
"Brown",-6.2,1,6
"Cornell",0.3,7,0
"Dartmouth",-4.9,2,5
