Year,NL MVP,AL MVP,NL Cy Young,AL Cy Young
1996,Ken Caminiti - VSDP 146 G .326/.408/.621,Juan Gonzalez - VTEX 134 G .314/.368/.643,John Smoltz - VATL 24-8 2.94 276 SO,Pat Hentgen - VTOR 20-10 3.22 177 SO
1995,Barry Larkin - VCIN 131 G .319/.394/.492,Mo Vaughn - VBOS 140 G .300/.388/.575,Greg Maddux - VATL 19-2 1.63 181 SO,Randy Johnson - VSEA 18-2 2.48 294 SO
1994,Jeff Bagwell - VHOU 110 G .368/.451/.750,Frank Thomas - VCHW 113 G .353/.487/.729,Greg Maddux - VATL 16-6 1.56 156 SO,David Cone - VKCR 16-5 2.94 132 SO
1993,Barry Bonds - VSFG 159 G .336/.458/.677,Frank Thomas - VCHW 153 G .317/.426/.607,Greg Maddux - VATL 20-10 2.36 197 SO,Jack McDowell - VCHW 22-10 3.37 158 SO
1992,Barry Bonds - VPIT 140 G .311/.456/.624,Dennis Eckersley - VOAK 7-1 (51 SV) 1.91 93 SO,Greg Maddux - VCHC 20-11 2.18 199 SO,Dennis Eckersley - VOAK 7-1 (51 SV) 1.91 93 SO
1991,Terry Pendleton - VATL 153 G .319/.363/.517,Cal Ripken - VBAL 162 G .323/.374/.566,Tom Glavine - VATL 20-11 2.55 192 SO,Roger Clemens - VBOS 18-10 2.62 241 SO
1990,Barry Bonds - VPIT 151 G .301/.406/.565,Rickey Henderson - VOAK 136 G .325/.439/.577,Doug Drabek - VPIT 22-6 2.76 131 SO,Bob Welch - VOAK 27-6 2.95 127 SO
1989,Kevin Mitchell - VSFG 154 G .291/.388/.635,Robin Yount - VMIL 160 G .318/.384/.511,Mark Davis - VSDP 4-3 (44 SV) 1.85 92 SO,Bret Saberhagen - VKCR 23-6 2.16 193 SO
1988,Kirk Gibson - VLAD 150 G .290/.377/.483,Jose Canseco - VOAK 158 G .307/.391/.569,Orel Hershiser - VLAD 23-8 (1 SV) 2.26 178 SO,Frank Viola - VMIN 24-7 2.64 193 SO
1987,Andre Dawson - VCHC 153 G .287/.328/.568,George Bell - VTOR 156 G .308/.352/.605,Steve Bedrosian - VPHI 5-3 (40 SV) 2.83 74 SO,Roger Clemens - VBOS 20-9 2.97 256 SO
1986,Mike Schmidt - VPHI 160 G .290/.390/.547,Roger Clemens - VBOS 24-4 2.48 238 SO,Mike Scott - VHOU 18-10 2.22 306 SO,Roger Clemens - VBOS 24-4 2.48 238 SO
1985,Willie McGee - VSTL 152 G .353/.384/.503,Don Mattingly - VNYY 159 G .324/.371/.567,Dwight Gooden - VNYM 24-4 1.53 268 SO,Bret Saberhagen - VKCR 20-6 2.87 158 SO
