"year","month","day","team","opponent","location","teamscore","oppscore","OT","D1"
2018,2,16,"A&M-Corpus Christi","UT Arlington","V",9,7,NA,2
2018,2,17,"A&M-Corpus Christi","UT Arlington","V",3,6,NA,2
2018,2,18,"A&M-Corpus Christi","UT Arlington","V",2,1,NA,2
2018,2,20,"A&M-Corpus Christi","UTRGV","V",5,4,NA,2
2018,2,23,"A&M-Corpus Christi","Nicholls St.","H",12,1,NA,2
2018,2,24,"A&M-Corpus Christi","UC Santa Barbara","H",2,1,NA,2
2018,2,25,"A&M-Corpus Christi","Mississippi St.","H",6,3,NA,2
2018,3,2,"A&M-Corpus Christi","Utah Valley","H",5,6,NA,2
2018,3,3,"A&M-Corpus Christi","Utah Valley","H",6,0,NA,2
2018,3,3,"A&M-Corpus Christi","Utah Valley","H",12,6,NA,2
2018,3,4,"A&M-Corpus Christi","Utah Valley","H",15,9,NA,2
2018,3,9,"A&M-Corpus Christi","Oklahoma","V",7,11,NA,2
2018,3,10,"A&M-Corpus Christi","Oklahoma","V",2,3,NA,2
2018,3,10,"A&M-Corpus Christi","Oklahoma","V",3,7,NA,2
2018,3,11,"A&M-Corpus Christi","Oklahoma","V",14,4,NA,2
2018,3,13,"A&M-Corpus Christi","Columbia","H",6,3,NA,2
2018,3,16,"A&M-Corpus Christi","Sam Houston St.","H",1,3,NA,2
2018,3,17,"A&M-Corpus Christi","Sam Houston St.","H",3,5,NA,2
2018,3,18,"A&M-Corpus Christi","Sam Houston St.","H",0,9,NA,2
2018,3,20,"A&M-Corpus Christi","UTRGV","H",6,5,NA,2
2018,3,23,"A&M-Corpus Christi","Northwestern St.","V",NA,NA,NA,2
2018,3,24,"A&M-Corpus Christi","Northwestern St.","V",NA,NA,NA,2
2018,3,25,"A&M-Corpus Christi","Northwestern St.","V",NA,NA,NA,2
2018,3,27,"A&M-Corpus Christi","Texas A&M","H",NA,NA,NA,2
2018,3,29,"A&M-Corpus Christi","New Orleans","H",NA,NA,NA,2
2018,3,30,"A&M-Corpus Christi","New Orleans","H",NA,NA,NA,2
2018,3,31,"A&M-Corpus Christi","New Orleans","H",NA,NA,NA,2
2018,4,3,"A&M-Corpus Christi","Texas","H",NA,NA,NA,2
2018,4,6,"A&M-Corpus Christi","Southeastern La.","V",NA,NA,NA,2
2018,4,7,"A&M-Corpus Christi","Southeastern La.","V",NA,NA,NA,2
2018,4,8,"A&M-Corpus Christi","Southeastern La.","V",NA,NA,NA,2
2018,4,10,"A&M-Corpus Christi","Houston Baptist","V",NA,NA,NA,2
2018,4,13,"A&M-Corpus Christi","Lamar University","H",NA,NA,NA,2
2018,4,14,"A&M-Corpus Christi","Lamar University","H",NA,NA,NA,2
2018,4,15,"A&M-Corpus Christi","Lamar University","H",NA,NA,NA,2
2018,4,17,"A&M-Corpus Christi","UTSA","V",NA,NA,NA,2
2018,4,20,"A&M-Corpus Christi","SFA","V",NA,NA,NA,2
2018,4,21,"A&M-Corpus Christi","SFA","V",NA,NA,NA,2
2018,4,22,"A&M-Corpus Christi","SFA","V",NA,NA,NA,2
2018,4,24,"A&M-Corpus Christi","Houston Baptist","H",NA,NA,NA,2
2018,4,27,"A&M-Corpus Christi","Central Ark.","V",NA,NA,NA,2
2018,4,28,"A&M-Corpus Christi","Central Ark.","V",NA,NA,NA,2
2018,4,29,"A&M-Corpus Christi","Central Ark.","V",NA,NA,NA,2
2018,5,1,"A&M-Corpus Christi","UTSA","H",NA,NA,NA,2
2018,5,2,"A&M-Corpus Christi","Texas Southern","H",NA,NA,NA,2
2018,5,4,"A&M-Corpus Christi","McNeese","H",NA,NA,NA,2
2018,5,5,"A&M-Corpus Christi","McNeese","H",NA,NA,NA,2
2018,5,6,"A&M-Corpus Christi","McNeese","H",NA,NA,NA,2
2018,5,11,"A&M-Corpus Christi","Incarnate Word","H",NA,NA,NA,2
2018,5,12,"A&M-Corpus Christi","Incarnate Word","H",NA,NA,NA,2
2018,5,13,"A&M-Corpus Christi","Incarnate Word","H",NA,NA,NA,2
2018,5,17,"A&M-Corpus Christi","Abilene Christian","V",NA,NA,NA,2
2018,5,18,"A&M-Corpus Christi","Abilene Christian","V",NA,NA,NA,2
2018,5,19,"A&M-Corpus Christi","Abilene Christian","V",NA,NA,NA,2
2018,2,16,"Abilene Christian","Quinnipiac","H",10,9,NA,2
2018,2,17,"Abilene Christian","Quinnipiac","H",5,4,NA,2
2018,2,18,"Abilene Christian","Quinnipiac","H",11,2,NA,2
2018,2,24,"Abilene Christian","Texas Southern","H",6,5,NA,2
2018,2,24,"Abilene Christian","Texas Southern","H",6,8,NA,2
2018,2,25,"Abilene Christian","Texas Southern","H",8,1,NA,2
2018,3,2,"Abilene Christian","Mississippi Val.","H",8,7,NA,2
2018,3,3,"Abilene Christian","Mississippi Val.","H",11,3,NA,2
2018,3,3,"Abilene Christian","Mississippi Val.","H",15,4,NA,2
2018,3,9,"Abilene Christian","Incarnate Word","V",2,5,NA,2
2018,3,10,"Abilene Christian","Incarnate Word","V",7,8,NA,2
2018,3,11,"Abilene Christian","Incarnate Word","V",6,7,NA,2
2018,3,16,"Abilene Christian","New Orleans","H",7,6,NA,2
2018,3,17,"Abilene Christian","New Orleans","H",6,5,NA,2
2018,3,18,"Abilene Christian","New Orleans","H",10,14,NA,2
2018,3,20,"Abilene Christian","UT Arlington","V",0,3,NA,2
2018,3,23,"Abilene Christian","SFA","H",NA,NA,NA,2
2018,3,24,"Abilene Christian","SFA","H",NA,NA,NA,2
2018,3,25,"Abilene Christian","SFA","H",NA,NA,NA,2
2018,3,27,"Abilene Christian","Seattle U","H",NA,NA,NA,2
2018,3,29,"Abilene Christian","Sam Houston St.","V",NA,NA,NA,2
2018,3,30,"Abilene Christian","Sam Houston St.","V",NA,NA,NA,2
2018,3,31,"Abilene Christian","Sam Houston St.","V",NA,NA,NA,2
2018,4,3,"Abilene Christian","UT Arlington","H",NA,NA,NA,2
2018,4,4,"Abilene Christian","Prairie View","V",NA,NA,NA,2
2018,4,6,"Abilene Christian","McNeese","V",NA,NA,NA,2
2018,4,7,"Abilene Christian","McNeese","V",NA,NA,NA,2
2018,4,8,"Abilene Christian","McNeese","V",NA,NA,NA,2
2018,4,13,"Abilene Christian","Houston Baptist","H",NA,NA,NA,2
2018,4,14,"Abilene Christian","Houston Baptist","H",NA,NA,NA,2
2018,4,15,"Abilene Christian","Houston Baptist","H",NA,NA,NA,2
2018,4,17,"Abilene Christian","TCU","V",NA,NA,NA,2
2018,4,20,"Abilene Christian","Lamar University","V",NA,NA,NA,2
2018,4,21,"Abilene Christian","Lamar University","V",NA,NA,NA,2
2018,4,22,"Abilene Christian","Lamar University","V",NA,NA,NA,2
2018,4,24,"Abilene Christian","Texas A&M","V",NA,NA,NA,2
2018,4,27,"Abilene Christian","Siena","V",NA,NA,NA,2
2018,4,28,"Abilene Christian","Siena","V",NA,NA,NA,2
2018,4,28,"Abilene Christian","Siena","V",NA,NA,NA,2
2018,5,1,"Abilene Christian","TCU","H",NA,NA,NA,2
2018,5,4,"Abilene Christian","Central Ark.","H",NA,NA,NA,2
2018,5,5,"Abilene Christian","Central Ark.","H",NA,NA,NA,2
