"team","yusag_coeff","rank"
"Arkansas",5.59734302819286,1
"Vanderbilt",5.532914938941,2
"Texas Tech",5.36216505856707,3
"Oregon St.",5.34910774077363,4
"Kentucky",5.29022246214627,5
"North Carolina",5.23910163990739,6
"Southern Miss.",4.9845056931637,7
"Stanford",4.61929452274655,8
"LSU",4.52487592515883,9
"Louisville",4.50601193953182,10
"Texas A&M",4.42759220130166,11
"Arizona",4.35700409221716,12
"Florida St.",4.25525830138334,13
"Florida",4.1872335478756,14
"UCLA",4.18631440492397,15
"Clemson",3.83408882501736,16
"Auburn",3.745014976811,17
"Ole Miss",3.73762100710243,18
"Missouri",3.678735840286,19
"NC State",3.66989615951985,20
"TCU",3.57330160214583,21
"Sam Houston St.",3.56914662180284,22
"Texas",3.55907645196949,23
"Coastal Caro.",3.54340993463176,24
"Louisiana Tech",3.51316293825713,25
"South Ala.",3.42630598987696,26
"East Carolina",3.35435706544527,27
"Cal St. Fullerton",3.33354869811635,28
"Missouri St.",3.26934427093701,29
"South Carolina",3.2585957045044,30
"UCF",3.14744601539948,31
"Baylor",3.11300127633435,32
"South Fla.",3.08493768193436,33
"Virginia",3.08466395931199,34
"San Diego St.",3.06449268095235,35
"Fla. Atlantic",3.02991754155408,36
"Houston",2.86569323912097,37
"Wake Forest",2.85501320971604,38
"Mississippi St.",2.81367062921222,39
"Gonzaga",2.78406276084697,40
"Alabama",2.74473046199056,41
"California",2.7134368504961,42
"BYU",2.71284801586101,43
"Long Beach St.",2.70854117825728,44
"St. John's (NY)",2.70743777907848,45
"New Mexico St.",2.56216028534904,46
"Tennessee Tech",2.54455745063051,47
"DBU",2.52365788149304,48
"Charlotte",2.51146102825221,49
"Indiana",2.49443135193954,50
"Loyola Marymount",2.48629660812788,51
"Washington",2.43745635985044,52
"New Mexico",2.41056360057579,53
"Southeastern La.",2.40631345598049,54
"Saint Mary's (CA)",2.39981256031444,55
"Oregon",2.38218649451502,56
"Nebraska",2.33001298530177,57
"Georgia",2.31391987552819,58
"Duke",2.20537458417917,59
"Minnesota",2.2035489776865,60
"Fresno St.",2.18399870744606,61
"Michigan",2.15169602331514,62
"FGCU",2.1483712256316,63
"Rice",2.13875169823763,64
"Oral Roberts",2.13631662341056,65
"West Virginia",2.09881737030082,66
"San Francisco",2.0734944423776,67
"Georgia Tech",2.05153855135101,68
"San Diego",2.03479589794622,69
"Wichita St.",2.03401318637774,70
"Louisiana",2.03251077870482,71
"UTSA",2.02709951546588,72
"Illinois",1.95889151659387,73
"Utah",1.94435819185614,74
"Oklahoma",1.88533370331473,75
"Indiana St.",1.87828689880824,76
"UNLV",1.86352348799318,77
"Troy",1.85336969577376,78
"Hawaii",1.85217524473943,79
"Michigan St.",1.84631465001853,80
"McNeese",1.8092735860947,81
"UConn",1.70721089090254,82
"Texas St.",1.68770580648816,83
"Ill.-Chicago",1.63191977161121,84
"Kansas St.",1.57613269363683,85
"UNCG",1.57398897457946,86
"Oklahoma St.",1.53944511977043,87
"Kent St.",1.52803651263011,88
"Miami (FL)",1.51029083322204,89
"Arizona St.",1.50341050373929,90
"Old Dominion",1.50290468477023,91
"Mercer",1.5017100784853,92
"Liberty",1.49553388621482,93
"Cal Poly",1.4847292855225,94
